source,target,weight
1,47,10.0
1,832,14.0
47,6,17.0
47,14,1.0
47,15,117.0
47,68,2130.0
47,70,310.0
47,81,160.0
47,88,131624.0
47,97,44.0
47,99,2.0
47,153,3.0
47,269,60.0
47,392,148.0
47,402,2.0
47,410,1.0
47,440,122.0
47,483,1165.0
47,679,918.0
47,743,2.0
47,793,15.0
47,815,121.0
47,820,5000.0
47,825,44.0
47,831,60.0
47,832,5344.0
47,837,16.0
47,839,24.0
47,861,55.0
47,864,774.0
47,1131,149.0
47,1181,6152.0
47,1203,4253.0
47,1307,4.0
47,1465,44.0
47,1477,7.0
47,1547,88.0
47,1609,5.0
47,1653,7.0
47,1715,6.0
47,866,3.0
832,392,24.0
832,820,19.0
832,864,9.0
832,1181,29.0
832,1203,110.0
832,88,1.0
832,68,2.0
2,679,7.0
679,7,855.0
679,11,895.0
679,19,49.0
679,21,20.0
679,22,74.0
679,23,2.0
679,24,70.0
679,68,8.0
679,88,50938.0
679,402,5.0
679,483,10.0
679,505,54.0
679,720,26.0
679,726,43.0
679,800,5616.0
679,820,11.0
679,1057,2.0
679,1181,1.0
679,1247,4432.0
679,1494,10641.0
679,1539,3.0
679,1574,10.0
679,1587,4.0
679,1588,16.0
679,1683,1.0
3,424,7.0
3,1688,28265.0
424,525,33.0
424,577,226.0
424,868,1612.0
424,1245,566.0
424,1688,9145.0
1688,240,51.0
1688,577,79529.0
1688,868,2113.0
1688,1245,132.0
1688,1372,368.0
1688,1442,20.0
1688,1485,5.0
1688,1482,2.0
1688,702,6.0
1688,1249,11.0
4,685,8.0
685,38,4663.0
685,52,8.0
685,55,14.0
685,57,11.0
685,60,17.0
685,114,389476.0
685,123,57.0
685,126,4.0
685,128,5.0
685,143,16.0
685,144,2.0
685,145,45.0
685,149,230.0
685,151,28.0
685,163,10.0
685,167,26.0
685,202,11.0
685,203,9.0
685,206,400.0
685,215,90.0
685,226,2.0
685,234,3.0
685,237,5.0
685,239,96.0
685,240,75.0
685,251,193.0
685,255,8.0
685,284,12.0
685,293,3.0
685,296,144.0
685,317,73566.0
685,322,17.0
685,334,2.0
685,344,28.0
685,356,6819.0
685,383,76966.0
685,389,81.0
685,417,2.0
685,432,298.0
685,435,112790.0
685,452,12.0
685,459,4.0
685,478,4.0
685,489,2.0
685,500,111.0
685,502,5.0
685,511,1.0
685,517,3.0
685,519,2.0
685,521,57.0
685,526,183545.0
