source,target,weight
Napoleon,Myriel,1
MlleBaptistine,Myriel,8
MmeMagloire,Myriel,10
MmeMagloire,MlleBaptistine,6
CountessDeLo,Myriel,1
Geborand,Myriel,1
Champtercier,Myriel,1
Cravatte,Myriel,1
Count,Myriel,2
OldMan,Myriel,1
Valjean,Myriel,1
Valjean,MlleBaptistine,3
Valjean,MmeMagloire,3
Valjean,Labarre,5
Marguerite,Valjean,1
MmeDeR,Valjean,1
Isabeau,Valjean,1
Gervais,Valjean,1
Listolier,Tholomyes,4
Fameuil,Tholomyes,4
Fameuil,Listolier,4
Blacheville,Tholomyes,4
Blacheville,Listolier,4
Blacheville,Fameuil,4
Favourite,Tholomyes,3
Favourite,Listolier,3
Favourite,Fameuil,3
Favourite,Blacheville,4
Dahlia,Tholomyes,3
Dahlia,Listolier,3
Dahlia,Fameuil,3
Dahlia,Blacheville,3
Dahlia,Favourite,5
Zephine,Tholomyes,3
Zephine,Listolier,3
Zephine,Fameuil,3
Zephine,Blacheville,3
Zephine,Favourite,4
Zephine,Dahlia,4
Fantine,Valjean,3
Fantine,Marguerite,3
Fantine,Tholomyes,3
Fantine,Listolier,3
Fantine,Fameuil,4
Fantine,Blacheville,4
Fantine,Favourite,4
Fantine,Dahlia,2
Fantine,Zephine,9
MmeThenardier,Valjean,2
MmeThenardier,Fantine,7
Thenardier,Valjean,13
Thenardier,Fantine,1
Thenardier,MmeThenardier,12
Cosette,Valjean,4
Cosette,Tholomyes,31
Cosette,MmeThenardier,1
Cosette,Thenardier,1
Javert,Valjean,17
Javert,Fantine,5
Javert,MmeThenardier,5
Javert,Thenardier,1
Javert,Cosette,1
Fauchelevent,Valjean,8
Fauchelevent,Javert,1
Bamatabois,Valjean,1
Bamatabois,Fantine,1
Bamatabois,Javert,2
Perpetue,Fantine,1
Simplice,Valjean,2
Simplice,Fantine,3
Simplice,Javert,2
Simplice,Perpetue,1
Scaufflaire,Valjean,1
Woman1,Valjean,2
Woman1,Javert,1
Judge,Valjean,3
Judge,Bamatabois,2
Champmathieu,Valjean,3
Champmathieu,Bamatabois,3
Champmathieu,Judge,2
Brevet,Valjean,2
Brevet,Bamatabois,2
Brevet,Judge,2
Brevet,Champmathieu,1
Chenildieu,Valjean,2
Chenildieu,Bamatabois,2
Chenildieu,Judge,2
Chenildieu,Champmathieu,2
Chenildieu,Brevet,1
Cochepaille,Valjean,2
Cochepaille,Bamatabois,2
Cochepaille,Judge,2
Cochepaille,Champmathieu,2
Cochepaille,Brevet,2
Cochepaille,Chenildieu,1
