source,target,weight
"Alexander, L. (TN-R)","Boxer, B. (CA-D)",10
"Alexander, L. (TN-R)","Cantwell, M. (WA-D)",15
"Alexander, L. (TN-R)","Carper, T. (DE-D)",12
"Alexander, L. (TN-R)","Cochran, T. (MS-R)",40
"Alexander, L. (TN-R)","Collins, S. (ME-R)",48
"Alexander, L. (TN-R)","Cornyn, J. (TX-R)",48
"Alexander, L. (TN-R)","Crapo, M. (ID-R)",42
"Alexander, L. (TN-R)","Durbin, R. (IL-D)",16
"Alexander, L. (TN-R)","Enzi, M. (WY-R)",52
"Alexander, L. (TN-R)","Feinstein, D. (CA-D)",18
"Alexander, L. (TN-R)","Graham, L. (SC-R)",37
"Alexander, L. (TN-R)","Grassley, C. (IA-R)",32
"Alexander, L. (TN-R)","Hatch, O. (UT-R)",52
"Alexander, L. (TN-R)","Inhofe, J. (OK-R)",48
"Alexander, L. (TN-R)","Leahy, P. (VT-D)",9
"Alexander, L. (TN-R)","McCain, J. (AZ-R)",40
"Alexander, L. (TN-R)","McConnell, M. (KY-R)",30
"Alexander, L. (TN-R)","Mikulski, B. (MD-D)",11
"Alexander, L. (TN-R)","Murkowski, L. (AK-R)",46
"Alexander, L. (TN-R)","Murray, P. (WA-D)",27
"Alexander, L. (TN-R)","Nelson, B. (FL-D)",17
"Alexander, L. (TN-R)","Reed, J. (RI-D)",9
"Alexander, L. (TN-R)","Reid, H. (NV-D)",4
"Alexander, L. (TN-R)","Roberts, P. (KS-R)",57
"Alexander, L. (TN-R)","Schumer, C. (NY-D)",11
"Alexander, L. (TN-R)","Sessions, J. (AL-R)",30
"Alexander, L. (TN-R)","Shelby, R. (AL-R)",21
"Alexander, L. (TN-R)","Stabenow, D. (MI-D)",19
"Alexander, L. (TN-R)","Wyden, R. (OR-D)",15
"Alexander, L. (TN-R)","Baldwin, T. (WI-D)",23
"Alexander, L. (TN-R)","Blunt, R. (MO-R)",50
"Alexander, L. (TN-R)","Boozman, J. (AR-R)",48
"Alexander, L. (TN-R)","Brown, S. (OH-D)",17
"Alexander, L. (TN-R)","Burr, R. (NC-R)",38
"Alexander, L. (TN-R)","Capito, S. (WV-R)",46
"Alexander, L. (TN-R)","Cardin, B. (MD-D)",15
"Alexander, L. (TN-R)","Flake, J. (AZ-R)",43
"Alexander, L. (TN-R)","Isakson, J. (GA-R)",78
"Alexander, L. (TN-R)","Kirk, M. (IL-R)",52
"Alexander, L. (TN-R)","Markey, E. (MA-D)",12
"Alexander, L. (TN-R)","Menéndez, R. (NJ-D)",11
"Alexander, L. (TN-R)","Moran, J. (KS-R)",39
"Alexander, L. (TN-R)","Portman, R. (OH-R)",35
"Alexander, L. (TN-R)","Sanders, B. (VT-I)",4
"Alexander, L. (TN-R)","Toomey, P. (PA-R)",26
"Alexander, L. (TN-R)","Udall, T. (NM-D)",17
"Alexander, L. (TN-R)","Vitter, D. (LA-R)",43
"Alexander, L. (TN-R)","Wicker, R. (MS-R)",53
"Alexander, L. (TN-R)","Thune, J. (SD-R)",41
"Alexander, L. (TN-R)","Coats, D. (IN-R)",41
"Alexander, L. (TN-R)","Murphy, C. (CT-D)",20
"Alexander, L. (TN-R)","Hirono, M. (HI-D)",12
"Alexander, L. (TN-R)","Donnelly, J. (IN-D)",21
"Alexander, L. (TN-R)","Heller, D. (NV-R)",34
"Alexander, L. (TN-R)","Gillibrand, K. (NY-D)",17
"Alexander, L. (TN-R)","Klobuchar, A. (MN-D)",24
"Alexander, L. (TN-R)","McCaskill, C. (MO-D)",13
"Alexander, L. (TN-R)","Tester, J. (MT-D)",15
"Alexander, L. (TN-R)","Casey, R. (PA-D)",19
"Alexander, L. (TN-R)","Whitehouse, S. (RI-D)",15
"Alexander, L. (TN-R)","Corker, B. (TN-R)",34
"Alexander, L. (TN-R)","Barrasso, J. (WY-R)",41
"Alexander, L. (TN-R)","Cassidy, B. (LA-R)",44
"Alexander, L. (TN-R)","Heinrich, M. (NM-D)",17
"Alexander, L. (TN-R)","Peters, G. (MI-D)",18
"Alexander, L. (TN-R)","Warner, M. (VA-D)",23
"Alexander, L. (TN-R)","Risch, J. (ID-R)",41
"Alexander, L. (TN-R)","Shaheen, J. (NH-D)",27
"Alexander, L. (TN-R)","Merkley, J. (OR-D)",11
"Alexander, L. (TN-R)","Bennet, M. (CO-D)",27
"Alexander, L. (TN-R)","Franken, A. (MN-D)",20
"Alexander, L. (TN-R)","Coons, C. (DE-D)",29
"Alexander, L. (TN-R)","Manchin, J. (WV-D)",22
"Alexander, L. (TN-R)","Gardner, C. (CO-R)",42
"Alexander, L. (TN-R)","Lankford, J. (OK-R)",33
"Alexander, L. (TN-R)","Scott, T. (SC-R)",49
"Alexander, L. (TN-R)","Blumenthal, R. (CT-D)",17
"Alexander, L. (TN-R)","Rubio, M. (FL-R)",43
"Alexander, L. (TN-R)","Paul, R. (KY-R)",28
"Alexander, L. (TN-R)","Ayotte, K. (NH-R)",50
"Alexander, L. (TN-R)","Hoeven, J. (ND-R)",32
"Alexander, L. (TN-R)","Lee, M. (UT-R)",29
"Alexander, L. (TN-R)","Johnson, R. (WI-R)",36
"Alexander, L. (TN-R)","Schatz, B. (HI-D)",14
"Alexander, L. (TN-R)","Cotton, T. (AR-R)",38
"Alexander, L. (TN-R)","Warren, E. (MA-D)",13
"Alexander, L. (TN-R)","King, A. (ME-I)",22
"Alexander, L. (TN-R)","Daines, S. (MT-R)",44
"Alexander, L. (TN-R)","Heitkamp, H. (ND-D)",22
"Alexander, L. (TN-R)","Fischer, D. (NE-R)",44
"Alexander, L. (TN-R)","Cruz, T. (TX-R)",27
"Alexander, L. (TN-R)","Kaine, T. (VA-D)",19
"Alexander, L. (TN-R)","Booker, C. (NJ-D)",11
"Alexander, L. (TN-R)","Sullivan, D. (AK-R)",21
"Alexander, L. (TN-R)","Perdue, D. (GA-R)",45
"Alexander, L. (TN-R)","Ernst, J. (IA-R)",26
"Alexander, L. (TN-R)","Tillis, T. (NC-R)",35
"Alexander, L. (TN-R)","Rounds, M. (SD-R)",38
"Alexander, L. (TN-R)","Sasse, B. (NE-R)",16
"Boxer, B. (CA-D)","Cantwell, M. (WA-D)",82
"Boxer, B. (CA-D)","Carper, T. (DE-D)",55
"Boxer, B. (CA-D)","Cochran, T. (MS-R)",25
"Boxer, B. (CA-D)","Collins, S. (ME-R)",64
"Boxer, B. (CA-D)","Cornyn, J. (TX-R)",14
"Boxer, B. (CA-D)","Crapo, M. (ID-R)",18
"Boxer, B. (CA-D)","Durbin, R. (IL-D)",126
"Boxer, B. (CA-D)","Enzi, M. (WY-R)",13
"Boxer, B. (CA-D)","Feinstein, D. (CA-D)",152
"Boxer, B. (CA-D)","Graham, L. (SC-R)",28
"Boxer, B. (CA-D)","Grassley, C. (IA-R)",31
"Boxer, B. (CA-D)","Hatch, O. (UT-R)",14
"Boxer, B. (CA-D)","Inhofe, J. (OK-R)",26
