index,label
0,"Alexander, L. (TN-R)"
1,"Boxer, B. (CA-D)"
2,"Cantwell, M. (WA-D)"
3,"Carper, T. (DE-D)"
4,"Cochran, T. (MS-R)"
5,"Collins, S. (ME-R)"
6,"Cornyn, J. (TX-R)"
7,"Crapo, M. (ID-R)"
8,"Durbin, R. (IL-D)"
9,"Enzi, M. (WY-R)"
10,"Feinstein, D. (CA-D)"
11,"Graham, L. (SC-R)"
12,"Grassley, C. (IA-R)"
13,"Hatch, O. (UT-R)"
14,"Inhofe, J. (OK-R)"
15,"Leahy, P. (VT-D)"
16,"McCain, J. (AZ-R)"
17,"McConnell, M. (KY-R)"
18,"Mikulski, B. (MD-D)"
19,"Murkowski, L. (AK-R)"
20,"Murray, P. (WA-D)"
21,"Nelson, B. (FL-D)"
22,"Reed, J. (RI-D)"
23,"Reid, H. (NV-D)"
24,"Roberts, P. (KS-R)"
25,"Schumer, C. (NY-D)"
26,"Sessions, J. (AL-R)"
27,"Shelby, R. (AL-R)"
28,"Stabenow, D. (MI-D)"
29,"Wyden, R. (OR-D)"
30,"Baldwin, T. (WI-D)"
31,"Blunt, R. (MO-R)"
32,"Boozman, J. (AR-R)"
33,"Brown, S. (OH-D)"
34,"Burr, R. (NC-R)"
35,"Capito, S. (WV-R)"
36,"Cardin, B. (MD-D)"
37,"Flake, J. (AZ-R)"
38,"Isakson, J. (GA-R)"
39,"Kirk, M. (IL-R)"
40,"Markey, E. (MA-D)"
41,"Menéndez, R. (NJ-D)"
42,"Moran, J. (KS-R)"
43,"Portman, R. (OH-R)"
44,"Sanders, B. (VT-I)"
45,"Toomey, P. (PA-R)"
46,"Udall, T. (NM-D)"
47,"Vitter, D. (LA-R)"
48,"Wicker, R. (MS-R)"
49,"Thune, J. (SD-R)"
50,"Coats, D. (IN-R)"
51,"Murphy, C. (CT-D)"
52,"Hirono, M. (HI-D)"
53,"Donnelly, J. (IN-D)"
54,"Heller, D. (NV-R)"
55,"Gillibrand, K. (NY-D)"
56,"Klobuchar, A. (MN-D)"
57,"McCaskill, C. (MO-D)"
58,"Tester, J. (MT-D)"
59,"Casey, R. (PA-D)"
60,"Whitehouse, S. (RI-D)"
61,"Corker, B. (TN-R)"
62,"Barrasso, J. (WY-R)"
63,"Cassidy, B. (LA-R)"
64,"Heinrich, M. (NM-D)"
65,"Peters, G. (MI-D)"
66,"Warner, M. (VA-D)"
67,"Risch, J. (ID-R)"
68,"Shaheen, J. (NH-D)"
69,"Merkley, J. (OR-D)"
70,"Bennet, M. (CO-D)"
71,"Franken, A. (MN-D)"
72,"Coons, C. (DE-D)"
73,"Manchin, J. (WV-D)"
74,"Gardner, C. (CO-R)"
75,"Lankford, J. (OK-R)"
76,"Scott, T. (SC-R)"
77,"Blumenthal, R. (CT-D)"
78,"Rubio, M. (FL-R)"
79,"Paul, R. (KY-R)"
80,"Ayotte, K. (NH-R)"
81,"Hoeven, J. (ND-R)"
82,"Lee, M. (UT-R)"
83,"Johnson, R. (WI-R)"
84,"Schatz, B. (HI-D)"
85,"Cotton, T. (AR-R)"
86,"Warren, E. (MA-D)"
87,"King, A. (ME-I)"
88,"Daines, S. (MT-R)"
89,"Heitkamp, H. (ND-D)"
90,"Fischer, D. (NE-R)"
91,"Cruz, T. (TX-R)"
92,"Kaine, T. (VA-D)"
93,"Booker, C. (NJ-D)"
94,"Sullivan, D. (AK-R)"
95,"Perdue, D. (GA-R)"
96,"Ernst, J. (IA-R)"
97,"Tillis, T. (NC-R)"
98,"Rounds, M. (SD-R)"
99,"Sasse, B. (NE-R)"
