source,target,weight
2191,597,826
2191,700,1216
2191,625,90
2191,571,661
2191,579,107
2191,506,361
2191,574,2252
2191,691,308
2191,554,370
2191,627,185
2191,591,1266
2191,682,1268
2191,575,184
597,691,526
597,571,359
597,625,114
597,702,5512
597,733,240
597,627,201
597,579,287
597,498,1896
597,682,2645
597,575,411
597,730,2933
597,554,352
597,720,1054
597,700,419
597,574,251
597,647,170
597,506,1452
597,645,445
597,648,270
597,613,926
597,663,449
597,591,714
597,529,430
627,702,497
627,571,236
627,648,1035
627,578,288
627,2189,178
627,579,516
627,663,424
627,2190,93
627,712,701
627,554,512
627,575,962
627,653,144
627,591,365
627,691,1024
627,730,497
627,673,509
627,506,949
627,613,827
627,736,295
627,574,627
627,682,508
627,625,141
627,647,437
627,529,175
627,720,2039
627,700,414
627,733,387
702,682,732
702,625,3011
702,571,3906
702,712,219
702,700,444
702,578,1460
702,645,498
702,506,737
702,579,377
702,554,411
702,653,930
702,574,1479
702,647,880
702,2190,344
702,2189,957
702,736,706
702,733,842
702,730,1012
702,663,312
702,691,830
702,673,2758
702,529,300
702,648,1431
702,575,669
702,591,530
529,574,467
529,2207,103
529,625,329
529,700,819
529,645,1004
529,575,634
529,673,353
529,682,472
529,554,584
529,648,1378
529,736,137
529,730,384
529,691,1387
529,723,1115
529,579,422
529,519,113
529,591,665
529,498,110
529,506,1275
529,720,319
529,733,995
529,571,1227
529,663,556
529,647,199
574,591,432
574,554,407
574,673,223
574,575,1051
574,2190,249
574,700,464
574,691,1141
574,579,557
574,653,144
574,625,478
574,645,161
574,663,462
574,712,132
574,506,1218
574,578,191
574,571,180
574,736,1085
574,648,1706
574,2189,263
574,647,1192
574,733,950
574,567,7
574,2219,97
574,730,1131
574,682,1050
591,498,188
591,625,214
591,673,461
591,578,1455
591,575,576
591,733,956
591,720,148
591,613,366
591,663,898
591,736,2659
591,647,292
591,648,795
591,723,153
591,682,390
591,700,8
591,691,787
591,579,516
591,730,351
591,554,669
591,506,1072
591,2189,1236
591,571,228
498,700,260
498,625,177
498,663,118
498,554,822
498,579,95
498,691,211
498,571,179
498,682,1358
498,506,2532
498,647,1501
613,625,75
613,691,212
613,554,317
613,579,86
613,700,165
613,571,540
613,506,437
613,575,1390
625,663,183
625,645,264
625,647,460
625,700,138
625,579,272
625,506,702
625,723,191
625,673,178
625,682,230
625,720,127
625,575,365
625,730,141
625,691,192
625,648,737
625,2189,829
625,733,566
625,554,493
691,712,2113
691,723,407
691,554,693
691,2189,248
691,645,610
691,720,417
691,2190,2470
691,579,1005
691,663,748
691,730,1038
691,700,781
691,647,778
691,673,709
691,733,1380
691,736,603
691,571,1131
691,506,2130
691,682,1153
691,653,265
691,575,1423
691,648,1777
691,578,535
712,648,36
712,575,1205
712,647,8
712,736,278
712,733,362
712,730,590
712,682,1044
554,663,564
554,700,471
554,733,284
554,648,290
554,723,157
554,647,240
554,653,577
554,506,1023
554,682,334
554,571,414
554,673,338
554,730,5468
554,575,490
554,579,546
554,720,345
554,736,4506
554,645,635
554,578,1501
663,571,521
663,506,1473
663,733,195
663,673,403
663,579,370
663,682,293
663,575,658
663,647,158
663,700,809
663,730,6626
663,736,135
663,645,813
663,723,3164
663,648,816
663,720,940
700,720,283
700,645,221
700,648,450
700,579,546
700,506,1312
700,647,308
700,575,583
700,624,123
700,571,137
700,730,6956
700,723,269
700,635,88
700,673,343
700,736,4778
700,733,540
700,682,379
571,578,2523
571,736,2642
571,730,3664
571,723,123
571,653,1691
571,575,443
571,733,8269
571,647,7566
571,648,252
571,673,447
571,682,420
571,506,1172
571,645,395
571,579,385
682,648,602
682,723,748
682,575,651
682,578,140
682,736,184
682,506,828
682,647,442
682,730,539
682,720,2139
682,579,266
682,733,493
682,673,210
682,645,245
682,2190,977
682,2189,431
648,506,1457
648,730,1757
648,733,3959
648,736,1062
648,673,594
648,2190,535
648,579,382
648,575,1513
648,647,2605
648,645,3288
648,563,10
578,506,1316
578,575,146
578,579,523
578,647,1185
579,720,80
579,733,164
579,575,631
579,730,247
579,673,265
579,736,113
579,645,118
579,653,829
579,2189,532
579,647,431
579,723,95
579,506,927
720,506,695
720,575,4081
720,673,1568
720,645,232
723,506,3563
723,645,230
673,733,354
673,645,545
673,2189,1628
673,575,508
673,730,4457
673,647,225
673,506,1273
506,733,755
506,490,109
506,736,458
506,730,517
506,653,309
506,2190,2637
506,575,1564
506,2189,203
506,647,931
506,645,663
736,645,254
736,647,504
736,534,55
736,575,536
736,733,437
736,730,549
736,2190,348
736,2189,730
645,733,2004
645,647,1034
645,730,589
645,575,168
647,2189,524
647,730,919
647,575,762
647,2190,145
647,733,1253
647,653,925
2189,575,372
730,2190,1651
730,733,1599
730,575,735
2190,733,128
2190,575,292
733,575,851
733,716,94
575,653,367
