0 1 2
0 2 4
0 3 1
0 4 2
0 5 1
0 6 1
0 7 1
0 8 1
0 9 2
0 10 1
0 11 2
0 12 1
0 13 1
0 14 1
0 15 1
1 2 47
1 3 7
1 4 29
1 5 2
1 6 1
1 7 5
1 9 4
1 10 3
1 11 6
1 13 11
1 14 7
1 16 2
1 17 12
1 18 17
1 19 5
1 20 1
1 21 8
1 22 3
1 23 1
1 24 3
1 25 1
1 26 1
1 27 2
1 28 2
1 29 8
2 3 17
2 4 38
2 5 5
2 6 2
2 7 3
2 8 2
2 9 8
2 10 3
2 11 5
2 13 18
2 14 10
2 15 2
2 16 2
2 17 10
2 18 28
2 19 17
2 20 2
2 21 16
2 30 1
2 22 5
2 31 3
2 23 6
2 24 5
2 28 3
2 29 17
2 32 1
2 33 1
2 34 1
2 35 1
3 4 14
3 5 2
3 9 2
3 12 1
3 13 2
3 14 1
3 16 1
3 17 1
3 18 15
3 19 4
3 25 1
3 28 1
3 29 6
3 33 1
4 5 5
4 7 2
4 9 13
4 10 1
4 11 1
4 13 7
4 14 4
4 17 6
4 18 20
4 19 8
4 21 1
4 30 1
4 22 1
4 36 1
4 23 2
4 24 2
4 25 2
4 26 2
4 28 1
4 29 16
4 33 1
5 9 1
5 14 1
5 18 7
5 19 1
5 20 2
5 27 1
6 7 2
6 8 2
6 9 2
6 10 4
6 11 1
6 12 2
6 15 1
6 18 1
6 22 1
6 24 1
6 25 6
6 26 2
6 27 3
6 28 1
6 32 1
6 33 2
6 34 3
6 35 1
6 37 2
6 38 2
6 39 2
6 40 2
6 41 1
7 8 2
7 9 3
7 10 4
7 11 1
7 13 2
7 15 1
7 17 1
7 18 2
7 21 1
7 36 3
7 24 2
7 28 4
7 33 1
7 34 1
7 37 1
7 41 2
8 9 1
8 10 4
8 11 1
8 12 3
8 15 3
8 24 2
8 25 1
8 26 1
8 27 1
8 28 1
8 32 1
8 33 3
8 34 2
8 37 4
8 38 4
8 42 1
8 39 1
8 40 1
8 41 7
9 10 1
9 11 1
9 13 2
9 14 1
9 15 1
9 18 5
9 19 2
9 21 1
9 30 1
9 24 2
9 25 3
9 26 1
9 28 1
9 33 1
9 34 1
9 37 1
10 11 2
10 12 2
10 13 1
10 15 3
10 20 1
10 36 1
10 25 1
10 26 2
10 28 8
10 32 2
10 33 3
10 34 3
10 35 2
10 37 6
10 42 1
10 41 6
11 12 1
11 13 2
11 15 1
11 17 1
11 18 4
11 21 1
11 29 1
11 37 1
12 15 2
12 17 1
12 24 2
12 33 2
12 34 2
12 37 3
12 41 2
13 14 2
13 17 2
13 18 5
13 19 2
13 21 4
13 22 1
13 31 1
13 23 1
13 24 2
13 29 1
13 35 1
14 18 2
14 19 2
14 21 1
14 29 7
15 18 1
15 24 1
15 33 2
15 34 2
15 37 2
15 41 2
16 17 1
16 18 3
16 19 2
16 20 1
17 18 18
17 19 1
17 21 1
17 30 3
17 22 1
17 36 1
18 19 9
18 20 4
18 21 7
18 30 3
18 22 1
18 36 1
18 31 1
18 26 1
18 27 2
18 28 1
18 29 4
18 33 2
18 34 2
18 37 1
19 20 1
19 21 7
19 31 2
19 24 3
19 25 2
19 29 2
19 40 1
20 21 2
20 28 1
21 30 1
21 31 2
21 23 1
21 24 3
21 29 1
22 36 1
23 31 1
23 29 1
24 31 1
24 25 1
25 26 5
25 27 4
25 28 5
25 33 5
25 34 5
25 35 1
25 37 3
25 38 2
25 39 5
25 40 4
26 27 6
26 28 9
26 39 2
26 40 1
27 28 6
27 29 1
27 32 1
27 33 4
27 34 2
27 37 1
27 38 1
27 39 2
27 40 1
27 41 1
28 36 1
28 33 2
28 34 2
28 39 2
28 40 1
32 33 9
32 34 8
32 35 1
32 37 6
32 41 6
33 34 22
33 35 1
33 37 15
33 41 12
34 35 1
34 37 13
34 38 1
34 39 1
34 40 1
34 41 10
37 38 4
37 42 4
37 39 3
37 40 1
37 41 17
38 42 3
38 39 4
38 40 3
38 41 1
39 42 2
39 40 4
40 42 1
41 42 1
