source,target,weight,gloss_alpha,nc_score,mlf_score,pf_alpha,df_alpha,hss_score,global_score
1,2002,10,0.680808,0.9999821093518978,108.9020627551771,0.573406890783185,0.36595031245237,0.0007315288953913,10
1,2,7,0.594995,0.9998560941029656,63.01172060064975,0.064664513350323,0.5617443828165987,0.9996342355523042,7
2002,2,22,0.0626192,0.9998910247299608,198.2987176564634,0.201085116356147,0.1528221769251494,0.9996342355523042,22
2002,3,11,0.125165,0.9999608919657114,111.83171184112146,0.254989678195394,0.3587075375419157,0.0,11
2002,2018,1,0.000414769,0.9998334950374675,10.01576746292362,0.59013160260048,0.7901234567901234,0.0,1
2002,2019,1,1.0,0.9999118894643958,10.60354419661866,0.725171857508684,0.64,0.0,1
2,3,24,0.0152457,0.9999183245963376,222.2905313957903,0.836128468865273,0.0500072896923751,0.9996342355523042,24
2,16,19,0.157634,0.996675736879286,108.34248014628108,0.269667577027396,0.5982381555591956,0.0,19
2,1029,17,0.0902529,0.9991662332795131,120.82802603013532,0.469922419724902,0.2868081992315562,0.0,17
2,1666,49,0.0100114,0.9804315751310444,184.103453648338,0.387212619138774,0.8542836562904553,1.0,49
2,1852,7,1.0,0.9999504255732732,69.22262861702048,0.739905602155485,0.5617443828165987,1.0,7
2,1853,7,0.0,0.9999420385246822,68.28793030354521,0.77825088157302,0.125,1.0,7
2,1854,8,0.61491,0.9999188200115394,75.66125560884161,0.767576674920223,0.3333333333333333,0.9996342355523042,8
2,1950,7,0.0365992,0.9999038401577772,65.44976028630063,0.594765865375753,0.1736111111111111,0.9996342355523042,7
2,2654,7,1.0,0.9999504255732732,69.22262861702048,0.0120034954691245,0.5617443828165987,1.0,7
2,2655,5,1.0,0.9999505155970264,49.82518047313085,0.028127653559624,0.6636233662273024,1.0,5
2,2656,6,0.0197568,0.99994015036208,58.6056694278052,0.282029216630141,0.1428571428571429,1.0,6
2,1008,19,0.208432,0.9941767661151282,98.07723803201786,0.761562158189954,0.8226786590746797,0.0,19
2,2018,7,0.00687897,0.9999324888060304,67.4634704888396,0.766141572968585,0.0493827160493826,1.0,7
2,2698,4,1.0,0.9999505674705804,40.1007753122226,0.144267463020477,0.7208806109878175,1.0,4
2,2699,3,0.0,0.9999257956947718,29.48381494778578,0.893294416310355,0.25,1.0,3
2,2700,2,1.0,0.9999506961912676,20.540795308678288,0.0417944180990333,0.8496786673717107,1.0,2
2,2019,2,0.674448,0.9998265598140692,18.70826283880786,0.698328887031387,0.3599999999999999,0.9996342355523042,2
3,2018,1,0.00139616,0.999859702016458,10.184840317048817,0.0275583483546902,0.7901234567901234,0.0,1
3,2019,2,0.0,0.9999709540412424,22.238377603789896,0.327800801511285,0.3599999999999999,0.0007315288953913,2
16,5,48,1.0,0.9997597147479288,388.4492928643867,0.785016237662447,0.268228586904587,1.0,48
16,6,28,1.0,0.9997600742920192,227.5171683653679,0.286936399693587,0.4675059613198162,1.0,28
16,7,35,1.0,0.9997599370871731,283.860487892242,0.352285724393352,0.3853569591822349,1.0,35
16,8,50,1.0,0.9997596833640467,404.5360259694372,0.607311762549333,0.2535833057664228,1.0,50
16,9,49,0.0328115,0.9996576372959952,380.4383029173037,0.52614101251074,0.0218139375127213,1.0,49
16,10,41,1.0,0.9997598300951293,332.13841138560423,0.0386921143749239,0.3261974738657491,1.0,41
16,11,54,0.0592181,0.999593198717452,410.3401049313569,0.529218437648707,0.1492768595041322,1.0,54
16,12,93,0.0149245,0.9997015209932052,709.782712893384,0.429053982917424,0.0070012328429356,1.0,93
16,13,4,1.0,0.9997607973594425,33.76552267497418,0.153719958329944,0.8981595712585461,1.0,4
16,14,9,1.0,0.999760577682156,74.32537285744483,0.529218437648707,0.7848765878443414,1.0,9
16,15,10,5.74503e-16,0.9996679714420617,79.78699721435227,0.929963681108167,0.2307692307692307,1.0,10
16,2021,6,0.550586,0.9995941650139816,47.59522245458754,0.445678689178166,0.3333333333333333,1.0,6
16,2022,45,0.0920104,0.9996172815437212,345.0853761897318,0.926954540131068,0.1209829867674858,1.0,45
16,1008,36,0.294486,,150.1255554519845,0.109631734730815,0.689665178430962,0.0,36
16,1659,29,0.404706,0.6031511729759174,21.80856166553729,0.665656717179431,0.9436239839686682,0.0,29
16,1666,132,0.0333413,0.9658937835976912,414.3177153217602,0.431421817142978,0.6536213531629773,0.0,132
16,1668,55,0.210282,0.977835970159632,205.4875370981652,0.196121422660552,0.7156064216898723,0.0,55
