source,target,weight,df_alpha
648,555,8876,7.338583074556482e-10
1265,1260,3979,5.107170208962231e-08
648,708,8838,3.860509671604895e-06
1272,1288,1334,7.578342710701236e-06
645,758,3879,1.4053931784219207e-05
730,663,6626,1.662524440826374e-05
702,597,5512,1.964530822973209e-05
730,700,6956,2.1816487269066265e-05
1456,1477,720,3.119829638342786e-05
1161,1123,247,3.667056204470498e-05
286,857,417,3.89166523744322e-05
259,574,4465,5.090699948628874e-05
730,673,4457,5.321872431152119e-05
1456,1495,642,5.971552890204901e-05
1306,1336,1441,8.333128372706167e-05
1456,2304,718,9.931256864259552e-05
736,527,2333,0.0001109075950841
806,270,1083,0.0001208398902659
1353,1354,341,0.0001446112452057
730,554,5468,0.0001455479749919
1752,1742,617,0.0001509252911893
292,904,2202,0.0001571009519987
733,571,8269,0.0001590928867275
259,647,5294,0.0001675838587839
259,579,4295,0.0001778913913398
529,981,5258,0.0001873129249587
259,730,8601,0.0002242987775643
965,961,658,0.0002303202752571
1734,1810,1128,0.000239898341194
1740,1735,408,0.0002569778251868
700,736,4778,0.0002793361888316
128,627,3762,0.000283266286597
259,682,4389,0.0002836080973502
1507,1447,109,0.0002983991427936
591,132,4997,0.0003222011623106
647,571,7566,0.000346330871906
259,554,4868,0.0003945118322729
132,145,350,0.0003991342938347
733,739,3115,0.0004236964175562
1208,1268,1814,0.0004511976095542
554,736,4506,0.0004543092142008
259,769,1308,0.0004546068536337
691,858,3146,0.0005143214742699
1798,1844,1714,0.0005245156062795
645,989,806,0.0005587258084149
648,1392,1780,0.0005684104558385
1392,2522,395,0.0005919813546634
645,875,2080,0.0006101271606712
691,1417,3410,0.000617052340939
506,586,2286,0.0006782666387598
365,363,354,0.0007547397657289
806,673,3240,0.0008392213062976
506,858,2942,0.0008499035511
875,885,2574,0.0008739437586067
1456,1467,476,0.0009031160707095
591,984,2210,0.0009197302919284
648,1323,2376,0.0009259539101265
326,310,59,0.0009975766393471
259,766,1504,0.0009998803269839
529,806,3303,0.0010526166032668
1734,1757,1168,0.0010643431506887
1342,1346,1072,0.0010723990964057
1456,2544,284,0.0010865364462179
286,769,1163,0.001094169880009
1788,1851,1948,0.0010965058551425
893,923,286,0.0010982444154689
575,600,1609,0.0011234422165362
529,548,3575,0.0011243266406307
1353,1352,258,0.0011362201742205
648,765,2826,0.0011378854325769
1788,1805,1187,0.0011502357961684
259,702,5200,0.0011555737871163
372,412,348,0.0012296102334466
1456,1438,136,0.0012436309105672
1833,1847,1362,0.0012677970237534
765,833,1539,0.0012780523511231
765,1507,848,0.001300721412641
1161,1137,309,0.0013109574703316
259,718,4854,0.0013637550735889
128,575,4232,0.0013884163411846
691,1542,2769,0.0013910258749008
259,1507,839,0.0013978554330291
885,340,1686,0.0013985050521843
981,978,1029,0.0014835346974082
1428,1429,587,0.0014982818750148
259,890,1433,0.0015028086481001
1733,1706,2914,0.0015508123115199
259,965,3064,0.0016085865107519
529,289,446,0.0016462596116322
1306,1311,1346,0.0016575219216803
648,552,4425,0.0017790787534562
1507,1449,47,0.0017892054369119
1306,1313,689,0.0018147746083956
301,300,390,0.0018297075335864
204,884,1297,0.0018992166368684
1456,1512,369,0.002002506035982
157,875,1752,0.0020145922295664
733,1734,2569,0.0020252069663821
529,697,5488,0.0020264543361316
904,885,2269,0.0020664847721209
691,984,1965,0.0020716301693943
273,758,2178,0.0020832336322289
758,755,472,0.0020900734358485
1208,1234,807,0.0021014495844529
981,579,3092,0.0021155612855023
647,718,4553,0.0021263679500715
259,132,3871,0.0021295169261293
1456,1515,828,0.0021516417219376
758,1096,1907,0.0021955499800919
199,574,2796,0.0021978840315686
199,1573,2865,0.0022096625720048
128,673,2802,0.0022342766718318
1254,1220,651,0.0022385012200945
806,468,708,0.0022776141492392
579,965,2897,0.0023112278422868
648,688,4276,0.0023271916102544
1659,199,2796,0.0024204584502165
645,893,2873,0.0024629846423463
702,673,2758,0.0024642777266794
1264,1788,1497,0.0025141531879279
1734,1760,340,0.002516750402719
1254,1226,366,0.0025223712621733
806,579,3005,0.0025258750240965
758,205,705,0.0026436956584895
199,921,726,0.0026605610471323
199,733,5873,0.0027119848769818
730,806,2847,0.0027456052896458
412,408,64,0.0027460094932559
1659,904,1484,0.0028396966192792
648,514,5410,0.0028477663306445
1808,1844,1350,0.0028775302083224
209,799,779,0.0028895898312406
691,1264,2495,0.0029138062903332
1734,1812,1523,0.0029167607844595
645,1508,1174,0.0029390742062758
691,765,2435,0.0029612993910203
661,741,3255,0.0029719206343036
259,799,773,0.00302788132754
1064,1068,1527,0.0030501542595825
157,193,1837,0.0030719184159195
700,726,3637,0.0032971401247653
259,1734,2370,0.0032978941302482
1456,2085,835,0.003302498173179
575,765,2387,0.0033288363960319
663,725,5999,0.0033459915456124
259,510,3345,0.0033628509393802
203,813,1457,0.0033700353200522
708,667,1372,0.0034188444312744
648,602,2201,0.0034193363948793
259,468,662,0.0034502538328913
1161,1156,153,0.0034624127817841
273,754,644,0.0034671283264723
866,2307,287,0.0034722222222222
292,865,1650,0.0035075289833456
730,597,2933,0.0036573801975758
259,539,2152,0.0036891320299298
1410,1407,243,0.0037222731894924
733,1808,2195,0.0037304175538585
273,766,1222,0.0037745397409073
806,1573,2618,0.0037912147181786
286,761,107,0.0038071613828828
201,873,371,0.0038118488086786
308,904,1409,0.0038338096681498
1508,1493,130,0.0038401688160857
286,833,1293,0.0038650104144688
1759,1812,1453,0.0038653303778067
2060,1753,1116,0.0038705406329642
1579,1571,905,0.0038779735869745
1353,1350,240,0.00390625
506,723,3563,0.0039275655382016
365,891,2046,0.0040158931664724
1456,1510,572,0.0040199705996306
157,204,2260,0.0040868362468671
157,904,1393,0.0040871189268018
372,381,292,0.0041152263374485
645,1808,2157,0.0041171453828466
1303,1318,937,0.0041510677974178
286,1096,1710,0.0041759613120669
1456,1498,105,0.00418438320221
575,720,4081,0.0042303786788099
758,773,430,0.0042668212128713
1659,1033,1748,0.0042966624367699
225,765,2279,0.0043298175066215
769,220,101,0.0043681684235248
237,833,1263,0.0044184034423881
128,647,3340,0.0044358253438087
199,451,590,0.0044401618266634
927,926,154,0.0044444444444442
1752,1812,1418,0.0044474146084707
1759,1742,398,0.0044758179694326
571,510,3186,0.0044914246997372
1361,1358,614,0.0045141810885742
571,709,1180,0.0045391557724439
1264,1778,1258,0.0045536056819525
806,627,2503,0.0045634505332735
308,813,1376,0.0046648771260352
1518,1548,2240,0.0047095846300443
157,119,263,0.0047130590290037
1734,1759,1320,0.0047484545402294
673,758,1891,0.0047667593413175
1752,1820,1662,0.0047854447289198
