source,target,weight,gloss_alpha
259,753,1196,-10.0
691,546,983,-10.0
691,622,819,-10.0
259,747,740,-10.0
691,2186,715,-10.0
691,511,695,-10.0
691,677,665,-10.0
259,468,662,-10.0
691,512,642,-10.0
259,372,599,-10.0
259,1094,594,-10.0
691,146,559,-10.0
259,1053,556,-10.0
259,1082,492,-10.0
691,995,484,-10.0
691,576,473,-10.0
259,1108,449,-10.0
691,549,448,-10.0
691,540,443,-10.0
259,752,425,-10.0
259,301,414,-10.0
691,486,414,-10.0
259,781,407,-10.0
691,642,405,-10.0
259,1428,399,-10.0
691,608,368,-10.0
259,270,366,-10.0
691,709,355,-10.0
259,331,354,-10.0
691,2184,348,-10.0
259,451,345,-10.0
259,851,345,-10.0
259,443,328,-10.0
691,1412,325,-10.0
691,628,324,-10.0
259,1435,315,-10.0
259,184,314,-10.0
691,664,314,-10.0
691,2248,314,-10.0
259,860,310,-10.0
259,1109,309,-10.0
691,556,306,-10.0
691,593,303,-10.0
691,1877,296,-10.0
691,676,293,-10.0
259,387,279,-10.0
691,2247,275,-10.0
691,600,270,-10.0
259,160,261,-10.0
691,598,256,-10.0
691,2273,256,-10.0
691,703,254,-10.0
691,566,249,-10.0
691,660,246,-10.0
259,187,242,-10.0
691,599,237,-10.0
259,234,231,-10.0
691,507,231,-10.0
691,619,225,-10.0
259,829,223,-10.0
259,1429,216,-10.0
139,691,216,-10.0
691,589,212,-10.0
691,585,210,-10.0
691,513,206,-10.0
259,173,205,-10.0
845,278,205,-10.0
259,264,196,-10.0
259,485,195,-10.0
691,715,191,-10.0
278,233,185,-10.0
691,560,178,-10.0
834,278,164,-10.0
691,547,157,-10.0
259,446,156,-10.0
25,259,154,-10.0
259,824,151,-10.0
691,646,149,-10.0
433,278,142,-10.0
432,278,138,-10.0
259,404,135,-10.0
837,278,135,-10.0
691,526,132,-10.0
920,278,132,-10.0
691,656,131,-10.0
445,278,131,-10.0
691,1878,128,-10.0
857,278,127,-10.0
691,2276,126,-10.0
774,278,123,-10.0
259,175,122,-10.0
691,573,119,-10.0
853,278,118,-10.0
860,278,118,-10.0
259,1504,117,-10.0
370,278,106,-10.0
836,278,106,-10.0
259,284,105,-10.0
691,655,103,-10.0
196,278,99,-10.0
428,278,96,-10.0
848,278,95,-10.0
691,1426,92,-10.0
691,670,91,-10.0
336,278,86,-10.0
822,278,84,-10.0
748,278,82,-10.0
259,289,74,-10.0
259,2097,70,-10.0
284,278,70,-10.0
691,532,67,-10.0
341,278,67,-10.0
332,278,66,-10.0
278,346,66,-10.0
259,463,65,-10.0
259,1496,58,-10.0
827,278,58,-10.0
278,2096,58,-10.0
259,155,57,-10.0
691,2245,57,-10.0
844,278,57,-10.0
278,1893,57,-10.0
278,235,55,-10.0
278,337,55,-10.0
862,278,53,-10.0
826,278,53,-10.0
278,282,51,-10.0
259,262,50,-10.0
278,205,49,-10.0
278,873,49,-10.0
278,906,49,-10.0
749,278,48,-10.0
438,278,48,-10.0
278,289,47,-10.0
291,278,44,-10.0
691,2182,44,-10.0
770,278,43,-10.0
278,369,43,-10.0
691,2239,42,-10.0
278,211,42,-10.0
835,278,41,-10.0
278,2088,38,-10.0
761,278,37,-10.0
278,287,37,-10.0
259,436,35,-10.0
849,278,33,-10.0
259,2104,31,-10.0
278,334,31,-10.0
278,922,31,-10.0
224,278,30,-10.0
259,751,29,-10.0
440,278,29,-10.0
785,278,29,-10.0
278,338,29,-10.0
278,850,29,-10.0
278,465,28,-10.0
776,278,27,-10.0
259,760,26,-10.0
2083,278,26,-10.0
1992,278,26,-10.0
278,212,26,-10.0
278,2095,26,-10.0
278,779,26,-10.0
278,206,25,-10.0
278,220,25,-10.0
755,278,24,-10.0
278,217,24,-10.0
691,564,23,-10.0
1991,278,23,-10.0
278,290,23,-10.0
278,339,23,-10.0
278,750,23,-10.0
278,2102,23,-10.0
278,854,23,-10.0
278,255,22,-10.0
278,821,22,-10.0
259,1097,21,-10.0
278,764,20,-10.0
767,278,19,-10.0
278,777,19,-10.0
278,2112,19,-10.0
801,278,18,-10.0
278,288,18,-10.0
278,756,18,-10.0
278,773,18,-10.0
259,1115,17,-10.0
278,2092,17,-10.0
278,1882,17,-10.0
278,214,16,-10.0
278,2105,16,-10.0
278,863,16,-10.0
1966,278,15,-10.0
278,335,15,-10.0
278,804,15,-10.0
819,278,14,-10.0
278,872,14,-10.0
278,1885,14,-10.0
278,216,13,-10.0
278,362,13,-10.0
278,783,13,-10.0
278,327,12,-10.0
278,778,12,-10.0
278,230,6,-10.0
259,807,4,-10.0
811,278,4,-10.0
278,2292,4,-10.0
278,349,3,-10.0
866,2307,287,0.0
1666,2605,122,0.0
468,2159,105,0.0
300,2015,60,0.0
1165,2404,47,0.0
904,2315,37,0.0
326,317,32,0.0
132,52,24,0.0
813,2007,24,0.0
1165,2407,22,0.0
33,110,19,0.0
66,2043,19,0.0
1668,2013,16,0.0
270,2108,14,0.0
1727,1674,14,0.0
2593,1626,14,0.0
28,2027,8,0.0
28,1953,8,0.0
2,1853,7,0.0
1941,2000,6,0.0
71,1862,5,0.0
1005,1968,5,0.0
769,195,5,0.0
584,666,4,0.0
2,2699,3,0.0
1005,1967,3,0.0
267,1867,3,0.0
421,422,3,0.0
1014,2009,3,0.0
1014,1997,3,0.0
3,2019,2,0.0
1025,2010,2,0.0
380,379,4,3.25727e-31
1693,2617,64,6.20508e-29
1916,2685,11,7.49158e-29
1379,2509,2,1.25009e-28
1124,1132,5,1.4267500000000002e-28
1728,2624,10,1.62789e-28
1670,2624,9,1.62789e-28
1673,2615,9,1.62789e-28
37,2031,32,3.0063400000000003e-28
1902,2016,20,3.57983e-28
1302,2484,2,5.37514e-28
2724,2017,2,5.37514e-28
467,2158,15,7.23579e-28
1028,1031,2,1.8681e-27
67,97,5,1.45781e-26
1683,1936,8,5.41366e-26
1606,1607,7,1.41104e-25
1389,2525,5,2.24117e-25
2027,1953,2,2.89395e-17
1341,1319,113,3.20595e-17
1027,1030,2,3.36324e-17
1455,1998,12,7.74519e-17
1306,2471,115,7.80266e-17
300,314,52,1.01047e-16
1123,1910,30,1.4927e-16
1342,1310,22,2.5854e-16
845,2676,11,3.11124e-16
1653,1634,109,3.39518e-16
16,15,10,5.74503e-16
1417,1414,92,5.89101e-16
132,114,49,1.13048e-15
579,517,88,1.21611e-15
1123,1160,4,1.62006e-15
443,1959,11,1.75536e-15
1140,1914,11,2.32422e-15
648,555,8876,2.38548e-15
57,1954,54,2.519e-15
2607,1941,1,3.60696e-15
1143,2403,32,4.32498e-15
78,2045,32,4.47247e-15
116,117,4,7.98644e-15
1727,1660,96,8.71499e-15
1694,2614,24,1.64307e-14
1123,2398,2,3.18827e-14
551,2671,3,3.94356e-14
2036,122,6,4.40122e-14
1027,2335,2,4.64793e-14
2335,1030,2,4.64793e-14
926,2322,8,5.65794e-14
1669,2606,31,6.94684e-14
1705,1687,62,8.79509e-14
443,2668,2,9.34703e-14
91,1860,8,1.15639e-13
1902,2680,8,1.74143e-13
42,118,27,2.27912e-13
1436,2708,4,3.02238e-13
118,54,26,4.13024e-13
84,1860,8,6.21568e-13
2335,1031,3,6.86102e-13
84,2659,12,8.16487e-13
1022,1025,2,9.7218e-13
1697,1935,4,1.0194e-12
1110,2364,2,1.02109e-12
1122,2378,2,1.39985e-12
880,1887,8,1.59162e-12
1507,1449,47,2.10992e-12
877,1887,8,2.90582e-12
2544,1513,3,3.14747e-12
50,2003,2,6.37054e-12
1025,1908,2,7.34364e-12
1608,1602,2,8.15262e-12
425,2704,4,9.19012e-12
169,1866,2,1.10222e-11
1380,1381,57,1.10512e-11
1664,1697,12,1.24554e-11
1697,2616,8,1.35288e-11
2522,1395,19,5.36746e-11
1122,2367,10,5.71332e-11
20,22,8,2.10309e-10
896,281,38,4.86022e-10
381,379,6,5.53927e-10
1018,2333,2,5.86793e-10
23,22,8,7.6549e-10
55,2036,10,2.89194e-08
89,101,25,1.29588e-07
18,23,9,2.13507e-07
326,310,59,6.60237e-05
1161,1123,247,0.00016424
286,857,417,0.000321699
1051,1052,19,0.000345778
144,110,114,0.000359581
2002,2018,1,0.000414769
1456,1477,720,0.000600503
1272,1288,1334,0.000627313
1090,1083,222,0.000680903
927,926,154,0.000718814
1086,1083,254,0.000744599
1410,1407,243,0.000805991
1137,1126,47,0.000810162
1456,1495,642,0.000851289
1029,1026,36,0.000861926
1392,2525,75,0.000862354
1161,1135,191,0.00092017
574,2224,76,0.000923446
1366,2501,38,0.000958577
1428,1429,587,0.0010568
1740,1735,408,0.00116219
1260,1255,49,0.00124929
1392,2528,47,0.00132974
1742,1776,28,0.00135822
144,124,25,0.00138677
1366,1369,208,0.00138937
3,2018,1,0.00139616
1137,2376,67,0.0013966
927,2322,37,0.0014469
396,2142,29,0.00146022
1014,1017,29,0.00149367
1401,2530,10,0.00151264
1752,1742,617,0.00151606
1456,2304,718,0.00161829
1254,1214,255,0.00166418
132,145,350,0.00173525
574,572,96,0.00189053
132,2054,124,0.00203393
1014,1016,138,0.00245556
16,1856,11,0.00247299
965,961,658,0.00249827
883,876,39,0.00253048
173,2005,26,0.00253697
1429,2011,19,0.00265701
1353,1352,258,0.00266174
326,324,15,0.00272017
144,35,22,0.00302127
1366,1376,22,0.00303265
1456,1438,136,0.00305223
1306,1336,1441,0.00311765
893,923,286,0.00318617
970,978,39,0.0031876
648,708,8838,0.00339547
372,412,348,0.00342412
1166,1176,21,0.00362871
1161,1137,309,0.003688
326,2120,50,0.00384837
725,634,81,0.00386794
1083,1073,148,0.00387179
301,300,390,0.00409379
1392,2522,395,0.00426604
1456,1467,476,0.00455561
1475,1494,507,0.00474641
806,270,1083,0.00476221
1029,1733,66,0.00488039
365,363,354,0.00492928
184,175,205,0.00499791
920,894,670,0.00500624
1265,1260,3979,0.00528907
1733,1680,82,0.00531012
827,832,241,0.00547021
1115,1108,170,0.00548965
23,19,16,0.00549509
730,713,98,0.00595263
813,812,88,0.00603196
1353,1354,341,0.00628277
1303,1318,937,0.00631087
1508,1493,130,0.00665453
1456,1512,369,0.00671317
1361,1358,614,0.00672509
2,2018,7,0.00687897
160,2075,11,0.00703323
157,149,123,0.00715246
2068,1427,584,0.00718295
49,57,33,0.00720285
366,349,280,0.00721794
769,220,101,0.00736023
813,831,12,0.00738196
896,921,608,0.007506
132,1984,203,0.00752827
1456,1498,105,0.00765336
1456,2544,284,0.00776455
19,20,11,0.00780403
813,817,14,0.00784701
1734,1760,340,0.00800598
1734,1810,1128,0.0082242
529,289,446,0.00827705
431,428,351,0.00848275
258,283,210,0.00851476
806,382,40,0.00856348
826,832,279,0.00859893
1254,1226,366,0.00860272
1137,2378,141,0.00866394
645,989,806,0.0087097
758,755,472,0.00939776
160,161,13,0.00941053
372,381,292,0.00949065
1187,1188,175,0.00974437
1080,1086,108,0.00987278
1086,1073,112,0.00996858
2,1666,49,0.0100114
431,432,421,0.0100854
1005,1900,14,0.0101433
128,91,59,0.0101777
1423,1424,253,0.0102934
1507,1497,96,0.0104675
1347,1311,990,0.0105373
1494,1480,625,0.0107492
1382,1386,299,0.0108037
377,418,287,0.0108257
1165,1152,12,0.0111678
1410,1408,98,0.0112599
136,2032,182,0.0113983
201,873,371,0.0114967
1306,1313,689,0.0115583
