source,target,weight,lans_alpha
648,555,8876,0.0
648,708,8838,0.0
259,730,8601,0.0
733,571,8269,0.0
647,571,7566,0.0
730,700,6956,0.0
730,663,6626,0.0
663,725,5999,0.0
199,733,5873,0.0
702,597,5512,0.0
529,697,5488,0.0
730,554,5468,0.0
648,514,5410,0.0
529,981,5258,0.0
591,132,4997,0.0
259,718,4854,0.0
700,736,4778,0.0
128,648,4687,0.0
506,737,4660,0.0
259,574,4465,0.0
730,673,4457,0.0
648,552,4425,0.0
259,682,4389,0.0
648,674,4381,0.0
259,579,4295,0.0
648,688,4276,0.0
128,575,4232,0.0
575,720,4081,0.0
1265,1260,3979,0.0
645,758,3879,0.0
128,627,3762,0.0
280,648,3664,0.0
700,726,3637,0.0
529,548,3575,0.0
506,723,3563,0.0
691,1417,3410,0.0
259,510,3345,0.0
529,806,3303,0.0
661,741,3255,0.0
571,689,3192,0.0
157,730,3191,0.0
651,2194,3162,0.0
691,858,3146,0.0
733,739,3115,0.0
259,965,3064,0.0
625,702,3011,0.0
157,683,2938,0.0
1733,1706,2914,0.0
645,893,2873,0.0
199,1573,2865,0.0
648,765,2826,0.0
651,2191,2822,0.0
1659,199,2796,0.0
691,1542,2769,0.0
204,691,2715,0.0
506,488,2695,0.0
506,2190,2637,0.0
875,885,2574,0.0
733,1734,2569,0.0
648,695,2565,0.0
571,724,2532,0.0
506,498,2532,0.0
575,1202,2524,0.0
571,578,2523,0.0
691,722,2514,0.0
691,1264,2495,0.0
575,612,2458,0.0
575,1187,2412,0.0
651,653,2407,0.0
648,1323,2376,0.0
647,520,2344,0.0
506,536,2343,0.0
736,527,2333,0.0
575,692,2325,0.0
529,2183,2314,0.0
506,586,2286,0.0
225,765,2279,0.0
529,735,2271,0.0
904,885,2269,0.0
702,537,2264,0.0
1518,1548,2240,0.0
591,984,2210,0.0
292,904,2202,0.0
259,150,2201,0.0
648,602,2201,0.0
733,1808,2195,0.0
193,591,2194,0.0
273,758,2178,0.0
736,565,2165,0.0
539,510,2155,0.0
647,643,2142,0.0
691,712,2113,0.0
691,974,2094,0.0
700,286,2061,0.0
736,632,2057,0.0
237,691,2054,0.0
365,891,2046,0.0
663,611,1979,0.0
1788,1851,1948,0.0
506,671,1947,0.0
201,885,1913,0.0
758,1096,1907,0.0
203,691,1892,0.0
128,53,1843,0.0
1666,1542,1833,0.0
663,2067,1821,0.0
1208,1268,1814,0.0
691,1894,1813,0.0
94,691,1781,0.0
648,1392,1780,0.0
209,758,1762,0.0
1659,1033,1748,0.0
665,737,1715,0.0
1798,1844,1714,0.0
856,885,1708,0.0
718,618,1705,0.0
510,687,1694,0.0
885,340,1686,0.0
77,691,1685,0.0
730,538,1680,0.0
1752,1820,1662,0.0
651,613,1656,0.0
259,1653,1655,0.0
292,865,1650,0.0
1759,1845,1644,0.0
673,2189,1628,0.0
575,650,1620,0.0
575,594,1619,0.0
1254,1208,1611,0.0
575,600,1609,0.0
575,593,1597,0.0
645,800,1592,0.0
132,1201,1584,0.0
1734,1579,1563,0.0
1254,1219,1553,0.0
157,153,1546,0.0
529,1005,1546,0.0
765,833,1539,0.0
506,2182,1535,0.0
1064,1068,1527,0.0
1734,1812,1523,0.0
575,1189,1522,0.0
286,864,1505,0.0
259,766,1504,0.0
647,714,1494,0.0
645,1366,1481,0.0
965,966,1480,0.0
575,680,1468,0.0
648,528,1460,0.0
203,813,1457,0.0
