source,target,weight,mlf_score
648,555,8876,709.782712893384
648,708,8838,709.782712893384
259,730,8601,709.782712893384
733,571,8269,709.782712893384
647,571,7566,709.782712893384
730,700,6956,709.782712893384
730,663,6626,709.782712893384
663,725,5999,709.782712893384
199,733,5873,709.782712893384
571,725,5594,709.782712893384
702,597,5512,709.782712893384
529,697,5488,709.782712893384
700,725,5487,709.782712893384
730,554,5468,709.782712893384
648,514,5410,709.782712893384
259,647,5294,709.782712893384
529,981,5258,709.782712893384
259,702,5200,709.782712893384
591,132,4997,709.782712893384
259,554,4868,709.782712893384
259,718,4854,709.782712893384
554,725,4784,709.782712893384
700,736,4778,709.782712893384
128,648,4687,709.782712893384
128,733,4666,709.782712893384
506,737,4660,709.782712893384
647,718,4553,709.782712893384
554,736,4506,709.782712893384
259,574,4465,709.782712893384
730,673,4457,709.782712893384
648,552,4425,709.782712893384
259,682,4389,709.782712893384
648,674,4381,709.782712893384
259,725,4298,709.782712893384
259,579,4295,709.782712893384
648,688,4276,709.782712893384
128,575,4232,709.782712893384
700,697,4195,709.782712893384
575,720,4081,709.782712893384
1265,1260,3979,709.782712893384
648,733,3959,709.782712893384
702,718,3928,709.782712893384
702,571,3906,709.782712893384
645,758,3879,709.782712893384
259,132,3871,709.782712893384
259,128,3828,709.782712893384
128,627,3762,709.782712893384
733,708,3743,709.782712893384
280,648,3664,709.782712893384
730,571,3664,709.782712893384
554,697,3645,709.782712893384
700,726,3637,709.782712893384
733,552,3590,709.782712893384
529,548,3575,709.782712893384
506,723,3563,709.782712893384
571,697,3421,709.782712893384
691,1417,3410,709.782712893384
575,514,3393,709.782712893384
259,510,3345,709.782712893384
199,591,3341,709.782712893384
128,647,3340,709.782712893384
733,674,3329,709.782712893384
529,806,3303,709.782712893384
673,725,3296,709.782712893384
806,575,3283,709.782712893384
128,663,3257,709.782712893384
661,741,3255,709.782712893384
806,673,3240,709.782712893384
571,689,3192,709.782712893384
157,730,3191,709.782712893384
571,510,3186,709.782712893384
506,697,3178,709.782712893384
663,723,3164,709.782712893384
651,2194,3162,709.782712893384
574,128,3150,709.782712893384
691,858,3146,709.782712893384
733,739,3115,709.782712893384
981,579,3092,709.782712893384
259,965,3064,709.782712893384
625,702,3011,709.782712893384
806,579,3005,709.782712893384
554,737,2967,709.782712893384
597,674,2953,709.782712893384
579,725,2943,709.782712893384
506,858,2942,709.782712893384
157,683,2938,709.782712893384
730,597,2933,709.782712893384
1733,1706,2914,709.782712893384
579,965,2897,709.782712893384
645,893,2873,709.782712893384
199,1573,2865,709.782712893384
682,683,2860,709.782712893384
730,806,2847,709.782712893384
648,765,2826,709.782712893384
651,2191,2822,709.782712893384
128,673,2802,709.782712893384
1659,199,2796,709.782712893384
199,574,2796,709.782712893384
157,702,2787,709.782712893384
691,1542,2769,709.782712893384
702,673,2758,709.782712893384
128,597,2747,709.782712893384
506,488,2695,709.782712893384
204,733,2678,709.782712893384
591,736,2659,709.782712893384
725,683,2657,709.782712893384
682,597,2645,709.782712893384
571,736,2642,709.782712893384
506,2190,2637,709.782712893384
806,1573,2618,709.782712893384
