source,target,weight
1536,1121,289
1536,1560,683
1536,1567,330
1536,1565,257
1536,1788,27
514,665,105
514,565,1422
514,695,1189
514,724,1043
514,1417,961
520,665,90
520,618,61
1033,1666,325
1033,1353,88
1033,1706,496
1033,1716,1001
1033,1727,795
2060,1205,119
2060,1219,100
2060,1227,70
2060,1261,62
2060,1748,136
2060,1753,1116
2060,1759,226
2060,1762,216
2060,1764,230
2060,1778,241
2060,1790,159
2060,1798,336
2060,1805,58
2060,1806,327
2060,1809,313
2060,1812,813
2060,1820,31
2060,1825,1023
2060,1833,216
2060,1260,59
2060,1745,17
527,665,274
527,510,72
527,548,76
527,555,80
527,565,41
527,613,364
527,618,131
527,643,89
527,661,103
527,714,923
527,726,883
527,739,103
1560,1121,467
1560,1064,521
1560,1095,247
1560,1059,570
1560,1068,592
1560,1101,516
1560,1530,171
1560,1565,851
1560,1567,650
537,665,124
1565,1121,312
1565,1064,621
1565,1095,69
1565,1059,529
1565,1068,557
1565,1101,104
1565,1567,383
1053,1092,116
1053,1272,193
1053,451,60
1053,461,349
1053,1064,165
1053,1095,216
1053,1094,202
1053,1093,327
1053,747,48
1053,1059,156
1053,1068,214
1053,1101,198
1053,1530,478
1053,1567,422
1567,1121,90
1567,1064,556
1567,1095,58
1567,1093,688
1567,1059,569
1567,1068,537
1567,1101,125
1567,1530,249
1567,1571,21
1059,1092,220
1059,1272,371
1059,451,108
1059,461,130
1059,1064,501
1059,1095,91
1059,1094,270
1059,1093,262
1059,1068,429
1059,1101,79
1059,1530,567
548,665,93
548,618,705
1571,1591,81
1571,1598,115
1571,1778,55
1571,1825,85
1571,1798,90
1571,1642,140
1571,1764,85
1571,1579,905
1571,1788,58
1571,1753,146
1571,1759,31
1571,1805,15
1571,1575,707
1571,1614,160
1575,1825,70
1575,1798,320
1575,1764,227
1575,1579,135
1575,1788,54
1064,257,62
1064,443,266
1064,1092,203
1064,1121,100
1064,1272,399
1064,451,84
1064,461,747
1064,468,104
1064,921,76
1064,1068,1527
1064,1093,310
1064,1094,90
1064,1095,82
1064,1101,138
1064,1530,611
1064,1642,155
555,665,226
555,722,298
555,724,1372
555,739,73
555,687,383
1068,443,252
1068,1092,146
1068,1272,447
1068,451,146
1068,461,311
1068,1095,92
1068,1094,104
1068,1093,120
1068,921,93
1068,1101,87
1068,1530,561
1068,1642,545
1579,1272,394
1579,1095,174
1579,1507,169
1579,1833,84
1579,1825,84
1579,1798,763
1579,1642,401
1579,1706,475
1579,1727,174
1579,1759,73
1579,1788,55
53,94,1127
53,712,242
53,971,95
565,929,621
565,611,909
565,643,741
565,661,782
565,667,48
565,680,730
565,720,446
565,724,776
565,739,63
565,2194,427
1591,1272,182
1591,1507,93
1591,1205,781
1591,1227,444
1591,1219,414
1591,1261,405
1591,1598,1359
1591,1833,28
1598,1121,88
1598,1272,91
1598,1095,171
1598,1507,186
1598,1205,1037
1598,1227,604
1598,1219,606
1598,1261,694
1598,1642,608
1598,1706,832
1598,1796,354
578,665,16
1092,813,210
1092,461,194
1092,747,65
1092,865,72
1092,890,69
1092,1093,156
1092,1094,137
1092,1095,100
1092,1101,610
