source,target,weight
1272,1121,98
1272,1059,371
1272,1064,399
1272,1068,447
1272,1591,182
1272,1598,91
1272,1790,96
257,368,169
257,833,284
257,868,173
257,890,100
257,905,187
257,929,65
257,1064,62
257,1450,76
257,1507,35
1666,1033,325
1798,1121,102
1798,1778,593
1798,1825,510
1798,1790,292
1798,1759,966
1798,1764,224
1798,1809,316
1798,1851,336
905,208,489
905,236,142
1806,1759,723
1806,1778,420
1806,1790,343
1806,1809,135
1806,1825,363
1806,1851,403
2190,665,800
1809,1778,289
1809,1825,192
1809,1790,188
1809,1764,307
1809,1759,229
1809,1812,615
1809,1851,186
1812,1778,473
1812,1825,553
1812,1790,699
1812,1764,277
1812,1759,1453
1560,1121,467
1560,1064,521
1560,1059,570
1560,1068,592
1560,1101,516
665,929,290
665,488,81
665,498,82
665,555,226
665,578,16
665,618,263
665,687,132
665,688,380
665,689,234
665,692,258
665,723,179
665,952,112
929,1392,172
929,1507,21
1825,1121,69
1825,1778,321
1825,1759,835
1825,1764,195
1825,1790,293
1825,1851,1101
1059,461,130
1059,1064,501
1059,1093,262
1059,1068,429
1059,1101,79
1189,687,744
807,833,56
807,868,116
1064,1121,100
1064,461,747
1064,1068,1527
1064,1093,310
1064,1101,138
1450,340,105
1450,368,126
1450,1507,75
555,687,383
1068,461,311
1068,1093,120
1068,1101,87
687,488,80
687,618,70
687,688,301
687,952,192
688,618,162
53,94,1127
695,1005,72
1591,1507,93
1591,1598,1359
1851,1778,293
1851,1790,1413
1851,1764,183
1851,1759,198
1598,1121,88
1598,1507,186
833,208,42
833,1121,138
833,340,141
833,461,263
833,868,146
833,368,191
833,890,63
1093,1121,362
1093,461,254
1093,1101,96
461,1121,213
461,1101,836
461,1507,69
1101,1121,314
208,236,682
340,1121,114
340,368,104
340,890,89
986,1392,348
1759,1778,642
1759,1790,82
1759,1764,264
1121,890,95
1121,1507,212
1764,1778,130
1764,1790,331
868,236,325
868,368,281
868,1507,171
1507,368,53
488,618,91
618,632,552
1778,1790,275
