id,modularity,degree,weighted_degree,component
618,69506484.66402413,47,16354,1
368,68475725.83666912,65,16979,1
1033,47093371.600357465,49,16286,2
688,45115380.48325661,22,17051,1
1272,40245260.57700352,72,17075,1
1851,24832066.53877072,54,16143,1
929,14851454.836718382,46,15992,1
1812,11775621.194265189,59,15907,1
833,7045447.736421101,74,17644,1
720,5753336.179060674,19,15584,6
1764,4427624.305174049,57,15429,1
1778,4424332.805070693,75,17902,1
94,3806545.626793141,26,17994,3
1005,3541468.8477281625,38,15287,4
208,3007404.295002344,81,15167,1
689,2913804.0071788915,20,15146,1
632,2577764.952361096,34,15050,1
1666,2298924.188472919,60,18381,2
555,2169839.358064422,33,18425,1
1121,2150804.939115647,104,18440,1
1560,1923192.9967516237,38,14788,1
687,1920864.1783170197,35,14794,1
952,1708092.121547784,40,14681,1
1825,1701394.544768844,80,18660,1
890,1608897.793310365,64,14617,1
1798,1501038.9492719462,69,18789,1
1790,1236048.52607687,68,14326,1
1208,1170028.9214251505,35,14261,5
611,1064709.143204056,20,14152,7
868,1041781.7088169984,68,14120,1
1068,1033456.6178770616,71,19227,1
1189,1018009.9293315564,21,14095,1
488,951811.855389352,23,14007,1
807,897583.7170446534,115,13923,1
461,858665.8372105225,72,19471,1
665,842698.1758510304,75,19489,1
236,841623.5562792923,74,19498,1
1093,792328.2269631037,52,13742,1
695,781664.024067718,23,13732,4
1759,752132.225271698,78,19666,1
905,719274.695833002,43,13602,1
578,717647.9031653459,17,13604,1
1450,714048.7518087629,56,13591,1
1598,706098.3491947806,52,19762,1
53,665814.9530122221,38,19842,3
1591,653974.6689508564,45,13450,1
1806,634205.0279468124,53,13400,1
1059,593868.3862050575,43,13288,1
1064,586971.1269473311,89,20065,1
340,574090.7120024597,76,20095,1
1101,556834.9199855097,54,13179,1
498,547681.1296159544,19,13161,1
986,537697.8842261585,27,13128,1
1392,520139.127368914,52,13060,1
1809,514993.3874658936,52,13042,1
257,501491.5264718275,157,20335,1
692,494953.0477754872,19,12979,1
1507,468407.454308809,158,20463,1
723,452986.0641893998,18,12812,1
2190,437846.8381289015,16,12746,1
