source,target,weight,nc_alpha
648,555,8876,0.0
648,708,8838,0.0
259,730,8601,0.0
733,571,8269,0.0
647,571,7566,0.0
730,700,6956,0.0
730,663,6626,0.0
663,725,5999,0.0
199,733,5873,0.0
571,725,5594,0.0
702,597,5512,0.0
529,697,5488,0.0
700,725,5487,0.0
730,554,5468,0.0
648,514,5410,0.0
259,647,5294,0.0
529,981,5258,0.0
259,702,5200,0.0
591,132,4997,0.0
259,554,4868,0.0
259,718,4854,0.0
554,725,4784,0.0
700,736,4778,0.0
128,648,4687,0.0
128,733,4666,0.0
506,737,4660,0.0
647,718,4553,0.0
554,736,4506,0.0
259,574,4465,0.0
730,673,4457,0.0
648,552,4425,0.0
259,682,4389,0.0
648,674,4381,0.0
259,725,4298,0.0
259,579,4295,0.0
648,688,4276,0.0
128,575,4232,0.0
700,697,4195,0.0
575,720,4081,0.0
1265,1260,3979,0.0
648,733,3959,0.0
702,718,3928,0.0
702,571,3906,0.0
645,758,3879,0.0
259,132,3871,0.0
259,128,3828,0.0
128,627,3762,0.0
733,708,3743,0.0
280,648,3664,0.0
730,571,3664,0.0
554,697,3645,0.0
700,726,3637,0.0
733,552,3590,0.0
529,548,3575,0.0
506,723,3563,0.0
571,697,3421,0.0
691,1417,3410,0.0
575,514,3393,0.0
259,510,3345,0.0
199,591,3341,0.0
128,647,3340,0.0
733,674,3329,0.0
529,806,3303,0.0
673,725,3296,0.0
645,648,3288,0.0
806,575,3283,0.0
128,663,3257,0.0
661,741,3255,0.0
806,673,3240,0.0
571,689,3192,0.0
157,730,3191,0.0
571,510,3186,0.0
506,697,3178,0.0
663,723,3164,0.0
651,2194,3162,0.0
574,128,3150,0.0
691,858,3146,0.0
733,739,3115,0.0
981,579,3092,0.0
259,965,3064,0.0
625,702,3011,0.0
806,579,3005,0.0
554,737,2967,0.0
597,674,2953,0.0
579,725,2943,0.0
506,858,2942,0.0
157,683,2938,0.0
730,597,2933,0.0
1733,1706,2914,0.0
579,965,2897,0.0
645,893,2873,0.0
199,1573,2865,0.0
682,683,2860,0.0
730,806,2847,0.0
648,765,2826,0.0
651,2191,2822,0.0
128,673,2802,0.0
1659,199,2796,0.0
199,574,2796,0.0
157,702,2787,0.0
691,1542,2769,0.0
702,673,2758,0.0
128,597,2747,0.0
806,733,2746,0.0
204,691,2715,0.0
506,488,2695,0.0
204,733,2678,0.0
591,736,2659,0.0
725,683,2657,0.0
199,730,2654,0.0
682,597,2645,0.0
571,736,2642,0.0
506,2190,2637,0.0
199,648,2625,0.0
806,1573,2618,0.0
128,571,2616,0.0
204,648,2609,0.0
647,648,2605,0.0
199,132,2598,0.0
157,725,2587,0.0
875,885,2574,0.0
806,682,2572,0.0
733,1734,2569,0.0
674,741,2569,0.0
682,741,2567,0.0
648,695,2565,0.0
691,651,2548,0.0
571,724,2532,0.0
506,498,2532,0.0
199,579,2528,0.0
575,1202,2524,0.0
571,578,2523,0.0
204,645,2519,0.0
691,722,2514,0.0
280,591,2508,0.0
806,627,2503,0.0
806,965,2497,0.0
199,529,2495,0.0
691,1264,2495,0.0
128,554,2485,0.0
691,2190,2470,0.0
651,689,2469,0.0
736,718,2462,0.0
575,612,2458,0.0
204,591,2455,0.0
806,700,2453,0.0
280,730,2438,0.0
691,765,2435,0.0
682,981,2433,0.0
575,1187,2412,0.0
651,653,2407,0.0
280,625,2402,0.0
575,765,2387,0.0
