source,target,weight,nc_score
2668,1988,1,0.9999991181597816
1975,2725,2,0.99999902713389
1952,2701,2,0.99999902713389
1908,2710,1,0.9999988974652072
2047,137,3,0.9999985158982844
2723,1996,2,0.9999983650504024
1027,1030,2,0.9999982344427408
1302,2484,2,0.9999980137483028
2724,2017,2,0.9999980137483028
1028,1031,2,0.9999970408839188
584,666,4,0.999996966624738
1960,2705,6,0.9999968133774162
2000,2726,6,0.9999968133774162
359,2130,5,0.9999966395839
1145,2387,6,0.9999965926833853
701,601,8,0.9999965094099954
1941,2000,6,0.9999964617041948
421,422,3,0.9999962151367946
353,2129,8,0.9999958473282776
1160,2398,1,0.99999515129452
2623,1939,7,0.9999947840035386
1128,1130,6,0.999994703336972
1139,1913,3,0.9999945434061038
28,1953,8,0.9999938377280272
28,2027,8,0.9999938377280272
1012,1901,16,0.9999933829346824
42,2727,2,0.999993289091561
1910,2683,1,0.9999929387301012
1729,2625,12,0.9999928386207176
1725,2622,22,0.9999923484408584
67,97,5,0.999991842945228
1967,1968,1,0.9999916267672622
2724,1997,1,0.9999916267672622
117,1858,1,0.9999916145715664
1670,1673,12,0.9999915564540276
1728,2624,10,0.9999911873693588
242,243,10,0.9999911722431812
2659,1861,13,0.999991113265471
2501,1977,2,0.9999908614681796
2026,24,30,0.9999908513800974
37,2030,7,0.999990811526582
1854,1950,4,0.999990736489843
1124,1132,5,0.9999905032709034
1670,2624,9,0.9999898984853308
1673,2615,9,0.9999898984853308
1169,1175,18,0.9999893571430104
15,2021,3,0.9999892360591464
471,470,23,0.9999892355780688
32,93,7,0.9999890459863332
473,2669,4,0.999988967199502
469,473,14,0.9999885844660884
1364,2690,2,0.9999884338506916
551,2671,3,0.999988419405238
473,2160,24,0.9999883301421972
410,2145,6,0.9999883301325656
820,2301,10,0.999988049709578
315,312,10,0.999987874830708
1025,2010,2,0.9999877953732992
2335,1031,3,0.9999876912129492
163,1866,4,0.9999875359798398
226,2094,13,0.999987497599776
71,1862,5,0.999987491164436
1163,2402,6,0.999986933304561
1027,2335,2,0.9999868956875244
2335,1030,2,0.9999868956875244
1902,2016,20,0.9999868354764152
1899,1900,4,0.9999868231876674
2593,1626,14,0.9999867008066168
1379,2509,2,0.9999864047340232
2400,1171,14,0.9999863775464454
1127,2682,8,0.9999863575384934
1127,2377,20,0.9999859963311288
1191,2685,7,0.9999847426192656
2053,135,22,0.9999846818353028
2027,1953,2,0.9999843036368812
456,2729,1,0.9999841110396546
1711,1936,10,0.9999840428832142
318,321,13,0.9999840029401494
391,392,3,0.9999839501707726
2332,2009,1,0.99998391660603
37,2031,32,0.999983898540919
1902,2680,8,0.9999835476469522
1916,2685,11,0.9999834475145736
116,117,4,0.999983430171837
169,2076,2,0.9999831372511738
2036,122,6,0.9999829844634878
657,2268,26,0.9999827688955312
383,2136,6,0.999982468366716
1950,2699,1,0.9999823745796076
1114,2365,4,0.9999823464513836
2154,453,12,0.9999822454054614
1022,1025,2,0.9999821215106413
1025,1908,2,0.9999821215106413
1,2002,10,0.9999821093518978
2163,1874,8,0.99998128164139
380,379,4,0.9999810354342898
1141,1164,21,0.9999809724624448
1664,1697,12,0.9999807242341234
1021,1026,2,0.9999804889619353
1026,1024,2,0.9999804889619353
