id,lat,lng,Name,City,Country,Label,degree,weighted_degree,component
1026,-15.505000114399998,167.220001221,Santo Pekoa International Airport,Santo,Vanuatu,NVSS,9,87,77
2163,-2.4444899559021,32.932701110839844,Mwanza Airport,Mwanza,Tanzania,HTMW,3,82,73
1114,30.251399993896484,66.93779754638672,Quetta International Airport,Quetta,Pakistan,OPQT,5,78,70
383,-4.816030025482178,11.88659954071045,Pointe Noire Airport,Pointe-noire,Congo (Brazzaville),FCPP,5,77,69
2154,9.3325,42.9121,Wilwal International Airport,Jijiga,Ethiopia,HAJJ,2,77,71
169,31.917200088500977,5.412779808044434,Ain el Beida Airport,Ouargla,Algeria,DAUU,6,75,66
657,39.10329819,-84.41860199,Cincinnati Municipal Airport Lunken Field,Cincinnati,United States,KLUK,3,73,68
392,-12.998100280762,28.66489982605,Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,FLND,4,71,64
456,2.014440059661865,45.3046989440918,Aden Adde International Airport,Mogadishu,Somalia,HCMM,4,71,61
1127,55.20610046386719,-162.72500610351562,Cold Bay Airport,Cold Bay,United States,PACD,3,59,58
2400,62.0605011,-163.302002,St Mary's Airport,St Mary's,United States,PASM,2,58,57
2031,52.282501220703125,-81.67780303955078,Kashechewan Airport,Kashechewan,Canada,CZKE,2,56,36
1697,-23.4342002869,144.279998779,Longreach Airport,Longreach,Australia,YLRE,4,53,76
1364,0.505228,-76.5008,Tres De Mayo Airport,Puerto Asis,Colombia,SKAS,3,51,44
820,35.4213981628418,27.145999908447266,Karpathos Airport,Karpathos,Greece,LGKP,4,51,47
473,-1.321720004081726,36.81480026245117,Nairobi Wilson Airport,Nairobi,Kenya,HKNW,4,48,43
93,50.18999862670898,-61.78919982910156,Natashquan Airport,Natashquan,Canada,CYNA,3,47,42
1902,-8.795599937438965,-140.22900390625,Nuku Hiva Airport,Nuku Hiva,French Polynesia,NTMD,3,47,53
2002,-8.09778022766,156.863998413,Nusatupe Airport,Gizo,Solomon Islands,AGGN,5,45,72
1916,6.985099792480469,158.20899963378906,Pohnpei International Airport,Pohnpei,Micronesia,PTPN,3,44,59
1175,67.0086975098,-146.365997314,Venetie Airport,Venetie,United States,PAVE,2,44,39
471,-3.2293100357055664,40.10169982910156,Malindi Airport,Malindi,Kenya,HKML,3,44,41
1141,66.88809967041,-157.16200256348,Shungnak Airport,Shungnak,United States,PAGH,3,43,75
1164,66.9123001099,-156.897003174,Kobuk Airport,Kobuk,United States,PAOB,3,42,75
2501,-4.19355,-69.9432,Alfredo Vásquez Cobo International Airport,Leticia,Colombia,SKLT,2,40,34
2053,64.909697,-125.572998,Tulita Airport,Tulita,Canada,CZFN,2,39,60
37,52.9275016784668,-82.43190002441406,Attawapiskat Airport,Attawapiskat,Canada,CYAT,2,39,36
135,65.21109771728516,-123.43599700927734,Déline Airport,Deline,Canada,CYWJ,2,38,60
1711,-16.662500381469727,139.17799377441406,Mornington Island Airport,Mornington Island,Australia,YMTI,3,38,62
117,51.06689834594727,-93.79309844970705,Red Lake Airport,Red Lake,Canada,CYRL,4,37,30
2026,70.7341995239,-52.6962013245,Qaarsut Airport,Uummannaq,Greenland,BGUQ,2,36,35
321,64.838302612305,11.14610004425,"Rørvik Airport, Ryum",Rørvik,Norway,ENRM,2,35,63
163,22.8115005493,5.45107984543,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,DAAT,5,34,49
1910,62.78609848,-164.4909973,Emmonak Airport,Emmonak,United States,PAEM,2,31,25
1626,-2.9201900959014893,132.26699829101562,Fakfak Airport,Fak Fak,Indonesia,WASF,2,31,55
1025,-16.0797,167.401001,Norsup Airport,Norsup,Vanuatu,NVSP,5,31,4
1725,-37.7281,144.901993,Melbourne Essendon Airport,Melbourne,Australia,YMEN,2,30,27
24,70.6804279261,-52.1116304398,Uummannaq Heliport,Uummannaq,Greenland,BGUM,1,30,35
42,64.29889678960001,-96.077796936,Baker Lake Airport,Baker Lake,Canada,CYBK,2,29,24
1729,-20.66830062866211,141.72300720214844,Julia Creek Airport,Julia Creek,Australia,YJLC,2,29,26
380,-19.97260093688965,23.43110084533692,Maun Airport,Maun,Botswana,FBMN,3,28,74
2593,-3.6445200443267822,133.6959991455078,Kaimana Airport,Kaimana,Indonesia,WASK,3,27,55
226,68.607299804688,27.405300140381,Ivalo Airport,Ivalo,Finland,EFIV,2,27,50
2094,67.700996398926,24.846799850464,Kittilä Airport,Kittila,Finland,EFKT,2,27,50
551,39.2966003418,-80.2281036377,North Central West Virginia Airport,Clarksburg,United States,KCKB,3,27,45
318,64.472198486328,11.57859992981,Namsos Høknesøra Airport,Namsos,Norway,ENNM,2,26,63
2268,40.79940032958984,-74.41490173339844,Morristown Municipal Airport,Morristown,United States,KMMU,1,26,68
1901,-13.2383003235,-176.199005127,Hihifo Airport,Wallis,Wallis and Futuna,NLWW,3,26,23
122,70.76280212402344,-117.80599975585938,Ulukhaktok Holman Airport,Holman Island,Canada,CYHI,3,25,67
71,49.831699,-92.744202,Dryden Regional Airport,Dryden,Canada,CYHD,2,25,51
2659,52.22639846801758,-78.52249908447266,Eastmain River Airport,Eastmain River,Canada,CZEM,2,25,33
1191,8.720120429992676,167.73199462890625,Bucholz Army Air Field,Kwajalein,Marshall Islands,PKWA,3,24,59
