source,target,ecm_alpha,nc_alpha,global_score,mlf_score,gloss_alpha,df_alpha,lans_alpha,pf_alpha,weight
1,2002,0.00019332667579874396,0.0,10,108.9020627551771,0.680808,0.36595031245237,0.0,0.573406890783185,10
1,2,0.0014271922409534454,0.0,7,63.01172060064975,0.594995,0.5617443828165987,0.368421052631579,0.064664513350323,7
2002,2,0.000281228480162099,0.0,22,198.2987176564634,0.0626192,0.06824349946654462,0.0,0.201085116356147,22
2002,3,0.0003435575927142054,0.0,11,111.83171184112146,0.125165,0.32588593202255745,0.19999999999999996,0.254989678195394,11
2002,2018,0.0023279311135411263,9.985995363948064e-10,1,10.01576746292362,0.000414769,0.7901234567901234,0.33333333333333337,0.59013160260048,1
2002,2019,0.002462607342749834,3.082137878251956e-10,1,10.603544196618659,1.0,0.64,0.6,0.725171857508684,1
2,3,0.00018016230023931712,0.0,24,222.2905313957903,0.0152457,0.05000728969237511,0.0,0.836128468865273,24
2,16,0.006231086328625679,0.0,19,108.34248014628108,0.157634,0.19979064195056018,0.1578947368421053,0.269667577027396,19
2,1029,0.0036478962283581495,0.0,17,120.82802603013533,0.0902529,0.23835044050019494,0.16666666666666663,0.469922419724902,17
2,1666,0.0005488437018357217,0.0,49,184.103453648338,0.0100114,0.011232497127613872,0.0,0.387212619138774,49
2,1852,0.0006416797987185419,0.0,7,69.22262861702048,1.0,0.5617443828165987,0.0,0.739905602155485,7
2,1853,0.0006774619687348604,0.0,7,68.28793030354521,0.0,0.125,0.0,0.77825088157302,7
2,1854,0.0009040409931913018,0.0,8,75.66125560884161,0.61491,0.33333333333333337,0.0,0.767576674920223,8
2,1950,0.0010150582529604435,0.0,7,65.44976028630063,0.0365992,0.17361111111111116,0.0,0.594765865375753,7
2,2654,0.0006416822434403002,0.0,7,69.22262861702048,1.0,0.5617443828165987,0.0,0.0120034954691245,7
2,2655,0.0008014760096557438,0.0,5,49.82518047313085,1.0,0.6636233662273024,0.0,0.028127653559624,5
2,2656,0.0007595026399940252,0.0,6,58.605669427805196,0.0197568,0.1428571428571429,0.0,0.282029216630141,6
2,1008,0.0029815880116075277,0.0,19,98.07723803201786,0.208432,0.19979064195056018,0.1578947368421053,0.761562158189954,19
2,2018,0.0005390296573750675,0.0,7,67.4634704888396,0.00687897,0.0493827160493826,0.0,0.766141572968585,7
2,2698,0.000903827603906393,0.0,4,40.100775312222595,1.0,0.7208806109878175,0.0,0.144267463020477,4
2,2699,0.0012244931422173977,0.0,3,29.48381494778578,0.0,0.25,0.0,0.893294416310355,3
2,2700,0.0012480142759159207,1.965094753586527e-14,2,20.540795308678288,1.0,0.8496786673717107,0.0,0.0417944180990333,2
2,2019,0.0030267182737588882,3.0619951019161817e-13,2,18.70826283880786,0.674448,0.3599999999999999,0.0,0.698328887031387,2
3,2018,0.0017908868612721562,7.120910527902424e-10,1,10.184840317048815,0.00139616,0.7901234567901234,0.33333333333333337,0.0275583483546902,1
3,2019,0.0007312046946026385,1.5543122344752192e-15,2,22.238377603789896,0.0,0.3599999999999999,0.0,0.327800801511285,2
