source,target,mlf_score,df_alpha,gloss_alpha,pf_alpha,hss_score,nc_score,global_score,weight
Napoleon,Myriel,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,MlleBaptistine,21.072070979608814,0.2802768166089966,0.416478,0.0340512288485213,0.1168831168831169,0.9284707739691737,8,8
Myriel,MmeMagloire,27.06187653085221,0.22437673130193903,0.0767728,0.0088452869061139,0.987012987012987,0.9378867909913529,10,10
Myriel,CountessDeLo,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,Geborand,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,Champtercier,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,Cravatte,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,Count,7.543170380787434,0.5002489671314593,1.0,0.653936391185468,1.0,0.966441142884516,2,2
Myriel,OldMan,4.114825112313897,0.7120102640698529,1.0,0.85634431277935,1.0,0.9667822102900139,1,1
Myriel,Valjean,0.110369875987504,0.7738235497953665,0.999711,0.85634431277935,0.0,-0.9093463336209813,1,1
MlleBaptistine,MmeMagloire,16.51368213190818,0.4681440443213297,0.467987,0.483043048288584,0.025974025974025976,0.9304242797970995,6,6
MlleBaptistine,Valjean,1.7645542300862493,0.46073169786673585,0.780144,0.601289563002388,0.8831168831168831,0.18546786148948466,3,3
MmeMagloire,Valjean,1.545362404933139,0.46073169786673585,0.429899,0.601289563002388,0.987012987012987,0.12180622337676866,3,3
Valjean,Labarre,9.509143862153023,0.2721872273972572,1.0,0.335171315585587,1.0,0.8442718972434724,5,5
Valjean,Marguerite,1.2584298595944956,0.75,1.0,0.872415773578758,0.0,0.2737404209834135,1,1
Valjean,MmeDeR,2.5238992985027897,0.7738235497953665,1.0,0.905711197138765,1.0,0.8451199323056323,1,1
Valjean,Isabeau,2.5238992985027897,0.7738235497953665,1.0,0.905711197138765,1.0,0.8451199323056323,1,1
Valjean,Gervais,2.5238992985027897,0.7738235497953665,1.0,0.905711197138765,1.0,0.8451199323056323,1,1
Valjean,Fantine,0.19983847945417002,0.44230096437967326,0.353782,0.576189533927456,0.0,-0.47864048999915065,3,3
Valjean,MmeThenardier,0.13457069613575137,0.6210892485566202,0.998742,0.759185899089802,0.0,-0.6479357970050498,2,2
Valjean,Thenardier,8.226597342902346,0.008757942804541896,0.00013204,0.0030336458104015,0.8441558441558442,0.4776003850107211,13,13
Valjean,Cosette,0.5934347836343177,0.41087146108016404,0.0164515,0.456401507757275,0.5064935064935064,-0.21107723768552583,4,4
Valjean,Javert,13.215475918708357,0.0012962923816303151,6.03366e-05,0.0001836159253431,0.7142857142857143,0.5731396410236286,17,17
