source,target,weight,ecm_alpha
1407,1410,243,5.578130185313057e-06
2068,1427,584,3.5052926250500605e-05
144,110,114,3.66588901670184e-05
1161,1123,247,5.787292320746929e-05
2196,508,54,8.688435627846047e-05
1423,1424,253,9.407843026565388e-05
1135,2380,10,0.0001006308957585
2041,130,28,0.0001063180097844
37,2031,32,0.0001075593318091
55,2037,42,0.0001109719087253
648,555,8876,0.0001223486760864
491,2165,250,0.0001327727222815
1175,1169,18,0.0001335171837126
657,2268,26,0.0001421872148057
45,2033,46,0.0001432231802027
74,2033,32,0.0001486426044721
136,2032,182,0.0001490153954364
126,90,93,0.0001537694624857
491,2166,121,0.0001540967932669
1137,2378,141,0.0001574514026287
1167,2395,38,0.0001617507950868
2400,1171,14,0.0001636787055758
83,78,33,0.0001699807617114
2045,78,32,0.0001716469851089
1127,2377,20,0.0001725373149383
64,65,64,0.0001727882481645
70,81,31,0.0001736174745019
56,90,33,0.0001740441657602
701,601,8,0.0001799380697775
81,2045,30,0.0001846214581746
65,2042,49,0.0001868091494543
135,2053,22,0.0001871754066087
1410,1408,98,0.0001881283533293
603,2253,11,0.0001977546926354
521,2202,177,0.0001978273940039
1166,2408,60,0.0001985657581826
1177,1159,29,0.0002026883157668
2196,707,17,0.0002074372459901
1143,2403,32,0.0002116808900609
2029,87,53,0.0002166205231333
1154,2389,141,0.0002169007784686
544,497,27,0.000217045599129
491,590,103,0.0002215976710431
55,2038,30,0.0002217471628682
85,125,30,0.0002226982614956
1131,2379,30,0.0002272122801514
2043,66,19,0.0002299306943314
2031,56,24,0.0002390031004324
926,2677,3,0.0002409766166238
1157,2394,58,0.0002493201463948
57,2041,78,0.0002506591845303
37,2030,7,0.0002510109043214
1861,2659,13,0.0002543583977967
1148,2373,29,0.0002559792774263
493,2210,3,0.000261152134044
1142,2386,23,0.0002711804991122
36,70,30,0.0002718764881137
89,101,25,0.0002817743225023
2028,129,91,0.0002840527740772
1164,1141,21,0.0002920132246799
1145,2387,6,0.0002944154839497
57,1954,54,0.0002975236275233
1154,1144,71,0.0003143053909298
92,95,35,0.0003201374493073
66,2040,30,0.0003219132486265
568,620,436,0.000329762144247
993,994,36,0.0003362612624187
1142,2385,18,0.0003370291378814
1125,2375,32,0.0003484521002974
1158,2396,24,0.0003508645750116
1127,2682,8,0.0003557217132765
100,83,34,0.0003669256693683
1156,2392,16,0.0003724512062035
521,2201,87,0.0003833636874333
63,100,44,0.000400186603656
144,117,30,0.0004008116375189
145,2065,18,0.0004010719130747
32,93,7,0.0004030676500406
2378,1175,26,0.0004040805797558
95,100,44,0.000404592428822
94,155,1380,0.0004091236332897
42,118,27,0.0004133009351789
84,2028,33,0.0004146673018112
