source,target,weight,global_score
648,555,8876,8876
648,708,8838,8838
733,571,8269,8269
647,571,7566,7566
730,700,6956,6956
730,663,6626,6626
663,725,5999,5999
571,725,5594,5594
702,597,5512,5512
697,529,5488,5488
700,725,5487,5487
730,554,5468,5468
648,514,5410,5410
981,529,5258,5258
132,591,4997,4997
554,725,4784,4784
736,700,4778,4778
128,648,4687,4687
128,733,4666,4666
506,737,4660,4660
647,718,4553,4553
736,554,4506,4506
730,673,4457,4457
648,552,4425,4425
648,674,4381,4381
648,688,4276,4276
128,575,4232,4232
697,700,4195,4195
575,720,4081,4081
648,733,3959,3959
702,718,3928,3928
702,571,3906,3906
128,627,3762,3762
733,708,3743,3743
730,571,3664,3664
697,554,3645,3645
700,726,3637,3637
733,552,3590,3590
529,548,3575,3575
506,723,3563,3563
697,571,3421,3421
691,1417,3410,3410
575,514,3393,3393
128,647,3340,3340
733,674,3329,3329
673,725,3296,3296
645,648,3288,3288
128,663,3257,3257
661,741,3255,3255
571,689,3192,3192
157,730,3191,3191
571,510,3186,3186
697,506,3178,3178
663,723,3164,3164
651,2194,3162,3162
128,574,3150,3150
733,739,3115,3115
981,579,3092,3092
702,625,3011,3011
554,737,2967,2967
597,674,2953,2953
579,725,2943,2943
157,683,2938,2938
730,597,2933,2933
965,579,2897,2897
682,683,2860,2860
651,2191,2822,2822
128,673,2802,2802
157,702,2787,2787
702,673,2758,2758
128,597,2747,2747
506,488,2695,2695
591,736,2659,2659
683,725,2657,2657
682,597,2645,2645
736,571,2642,2642
506,2190,2637,2637
128,571,2616,2616
647,648,2605,2605
157,725,2587,2587
674,741,2569,2569
682,741,2567,2567
648,695,2565,2565
691,651,2548,2548
506,498,2532,2532
571,724,2532,2532
571,578,2523,2523
691,722,2514,2514
128,554,2485,2485
691,2190,2470,2470
651,689,2469,2469
736,718,2462,2462
575,612,2458,2458
682,981,2433,2433
575,1187,2412,2412
651,653,2407,2407
733,726,2371,2371
647,520,2344,2344
506,536,2343,2343
736,527,2333,2333
552,741,2330,2330
575,692,2325,2325
647,514,2322,2322
529,2183,2314,2314
965,625,2306,2306
574,724,2300,2300
741,498,2292,2292
651,578,2291,2291
730,674,2286,2286
506,586,2286,2286
529,735,2271,2271
674,683,2270,2270
702,537,2264,2264
574,2191,2252,2252
591,726,2224,2224
132,627,2221,2221
591,984,2210,2210
648,741,2207,2207
648,602,2201,2201
591,661,2189,2189
575,1417,2176,2176
700,510,2172,2172
736,565,2165,2165
697,488,2156,2156
128,682,2155,2155
539,510,2155,2155
627,697,2146,2146
741,726,2145,2145
647,643,2142,2142
682,720,2139,2139
733,981,2139,2139
597,661,2135,2135
691,506,2130,2130
730,726,2130,2130
691,712,2113,2113
981,552,2111,2111
663,689,2106,2106
691,974,2094,2094
552,510,2094,2094
574,514,2072,2072
736,683,2063,2063
157,724,2058,2058
736,632,2057,2057
627,720,2039,2039
702,1187,2021,2021
645,737,2008,2008
132,645,2007,2007
645,733,2004,2004
645,735,1994,1994
663,611,1979,1979
627,692,1971,1971
691,984,1965,1965
579,643,1953,1953
514,673,1951,1951
506,671,1947,1947
554,537,1938,1938
552,673,1927,1927
702,981,1906,1906
723,741,1900,1900
529,1417,1899,1899
736,981,1898,1898
597,498,1896,1896
682,692,1894,1894
697,625,1888,1888
651,611,1867,1867
575,722,1861,1861
53,128,1843,1843
730,488,1840,1840
965,554,1823,1823
663,2067,1821,1821
591,688,1813,1813
691,1894,1813,1813
571,1417,1813,1813
552,683,1811,1811
1187,725,1791,1791
94,691,1781,1781
648,691,1777,1777
591,689,1772,1772
682,735,1771,1771
579,695,1762,1762
648,735,1760,1760
648,730,1757,1757
539,688,1757,1757
981,632,1729,1729
591,697,1727,1727
981,708,1724,1724
665,737,1715,1715
574,648,1706,1706
718,618,1705,1705
506,651,1697,1697
510,687,1694,1694
571,653,1691,1691
