source,target,weight,gloss_alpha
1954,2701,1,-10.0
1005,1968,5,0.0
584,666,4,0.0
1123,1160,4,0.0
131,61,9,1.79798e-28
28,2027,8,4.894799999999999e-28
28,1953,8,4.894799999999999e-28
144,124,25,1.80568e-19
132,2054,124,1.89436e-18
1137,2376,67,2.13686e-17
1165,2404,47,5.99211e-17
132,52,24,3.93083e-16
2367,1122,10,8.86537e-16
648,555,8876,4.50293e-15
970,978,39,6.15278e-15
157,149,123,9.73647e-15
57,1954,54,1.29318e-14
1140,2402,8,3.40995e-14
1140,1914,11,2.71604e-13
145,2065,18,1.59071e-12
118,54,26,2.64158e-11
42,118,27,3.44045e-11
57,49,33,1.34439e-09
110,71,20,1.2698e-06
1407,1410,243,8.40442e-05
110,33,19,0.000145219
1166,2409,29,0.000145653
1166,1176,21,0.000263824
1161,1123,247,0.000300028
144,110,114,0.000872077
965,961,658,0.00194776
1161,1137,309,0.00217985
57,2041,78,0.00234013
1166,1132,7,0.00248334
927,926,154,0.00279993
645,989,806,0.00367952
736,527,2333,0.00467225
647,1878,684,0.00643971
1165,2407,22,0.00657545
136,2032,182,0.00667791
2068,1427,584,0.0066918
1177,2390,7,0.00767956
2032,97,14,0.00884683
992,1005,427,0.00952382
965,579,2897,0.0114134
157,110,337,0.0124381
981,978,1029,0.0126781
575,600,1609,0.0132641
574,572,96,0.0133763
1410,1408,98,0.0146959
132,1984,203,0.01485
1137,2378,141,0.0162719
132,591,4997,0.0166336
506,586,2286,0.016699
128,2032,335,0.01677
645,1426,258,0.0168179
568,620,436,0.0178523
965,625,2306,0.0188228
1161,1166,122,0.0192826
665,737,1715,0.0198438
691,102,1408,0.0201033
1187,1188,175,0.0204757
128,1897,8,0.0210952
157,119,263,0.0215129
1423,1424,253,0.0215535
529,931,550,0.0240103
57,66,62,0.0247478
579,518,689,0.0256413
132,145,350,0.0263597
965,978,754,0.0263875
618,568,852,0.0267341
691,77,1685,0.0270492
2032,67,4,0.0272435
134,123,41,0.0273644
2034,158,41,0.0275686
1154,2379,43,0.027628
579,517,88,0.0277752
708,667,1372,0.0288131
571,709,1180,0.0293692
539,510,2155,0.0294376
53,2034,205,0.0300124
128,627,3762,0.0312805
981,947,703,0.0322506
647,2184,524,0.0326528
663,2188,63,0.0329717
730,713,98,0.0337036
965,966,1480,0.0337891
128,91,59,0.0345841
132,627,2221,0.0350747
94,155,1380,0.0359863
691,2276,126,0.0369795
157,992,302,0.0374544
529,930,781,0.0378407
1161,1165,113,0.0389151
150,2034,193,0.0397205
702,625,3011,0.0399201
981,579,3092,0.0402459
575,594,1619,0.0404049
68,2658,12,0.0405435
981,953,480,0.0405751
565,698,42,0.0413626
981,976,451,0.0415681
691,1417,3410,0.0424759
128,134,1418,0.0425102
506,507,1361,0.0427051
1161,1913,16,0.0435839
1417,2532,322,0.0436871
736,554,4506,0.0446178
736,700,4778,0.0448061
2034,72,34,0.0451483
94,134,1333,0.0458103
651,592,1035,0.0471175
718,618,1705,0.0471903
627,984,1687,0.0475088
579,643,1953,0.0482881
128,574,3150,0.048509
597,638,680,0.0490538
132,140,183,0.049429
736,565,2165,0.0504103
665,690,929,0.0504773
733,739,3115,0.0506402
702,1161,1408,0.0508529
155,38,31,0.0512153
645,1404,210,0.0516108
506,671,1947,0.0517365
132,114,49,0.0522545
697,665,1179,0.0528717
2034,152,28,0.0530899
663,930,666,0.0531882
1404,1405,166,0.0536183
702,597,5512,0.0536991
965,950,109,0.0540884
965,952,1314,0.0540999
575,564,802,0.0547231
591,984,2210,0.0549023
506,2182,1535,0.0549249
730,673,4457,0.0550219
575,612,2458,0.0553577
144,117,30,0.0557141
682,597,2645,0.0557918
965,944,93,0.0565924
529,2204,237,0.057096
150,77,1053,0.0571927
730,1157,212,0.0582623
579,966,1226,0.0583459
