source,target,weight,lans_alpha
648,555,8876,0.0
648,708,8838,0.0
733,571,8269,0.0
647,571,7566,0.0
730,700,6956,0.0
730,663,6626,0.0
663,725,5999,0.0
702,597,5512,0.0
697,529,5488,0.0
730,554,5468,0.0
648,514,5410,0.0
981,529,5258,0.0
132,591,4997,0.0
736,700,4778,0.0
128,648,4687,0.0
506,737,4660,0.0
647,718,4553,0.0
730,673,4457,0.0
648,552,4425,0.0
648,674,4381,0.0
648,688,4276,0.0
128,575,4232,0.0
575,720,4081,0.0
128,627,3762,0.0
700,726,3637,0.0
529,548,3575,0.0
506,723,3563,0.0
691,1417,3410,0.0
645,648,3288,0.0
661,741,3255,0.0
571,689,3192,0.0
157,730,3191,0.0
571,510,3186,0.0
651,2194,3162,0.0
128,574,3150,0.0
733,739,3115,0.0
981,579,3092,0.0
702,625,3011,0.0
157,683,2938,0.0
965,579,2897,0.0
682,683,2860,0.0
651,2191,2822,0.0
506,488,2695,0.0
506,2190,2637,0.0
648,695,2565,0.0
506,498,2532,0.0
571,724,2532,0.0
571,578,2523,0.0
691,722,2514,0.0
575,612,2458,0.0
575,1187,2412,0.0
651,653,2407,0.0
647,520,2344,0.0
506,536,2343,0.0
736,527,2333,0.0
575,692,2325,0.0
529,2183,2314,0.0
506,586,2286,0.0
529,735,2271,0.0
702,537,2264,0.0
591,984,2210,0.0
648,602,2201,0.0
736,565,2165,0.0
539,510,2155,0.0
647,643,2142,0.0
691,712,2113,0.0
691,974,2094,0.0
736,632,2057,0.0
663,611,1979,0.0
506,671,1947,0.0
53,128,1843,0.0
663,2067,1821,0.0
691,1894,1813,0.0
94,691,1781,0.0
665,737,1715,0.0
718,618,1705,0.0
510,687,1694,0.0
691,77,1685,0.0
730,538,1680,0.0
651,613,1656,0.0
150,702,1636,0.0
673,2189,1628,0.0
575,650,1620,0.0
575,594,1619,0.0
575,600,1609,0.0
575,593,1597,0.0
153,157,1546,0.0
529,1005,1546,0.0
506,2182,1535,0.0
575,1189,1522,0.0
647,714,1494,0.0
965,966,1480,0.0
575,680,1468,0.0
648,528,1460,0.0
645,986,1429,0.0
574,569,1425,0.0
506,952,1424,0.0
128,134,1418,0.0
691,102,1408,0.0
702,1161,1408,0.0
575,541,1402,0.0
733,987,1387,0.0
94,155,1380,0.0
708,667,1372,0.0
506,507,1361,0.0
506,608,1331,0.0
506,559,1326,0.0
663,542,1299,0.0
700,929,1297,0.0
733,971,1292,0.0
738,618,1272,0.0
691,685,1252,0.0
88,157,1209,0.0
571,546,1200,0.0
730,690,1196,0.0
571,709,1180,0.0
571,642,1164,0.0
571,496,1148,0.0
574,664,1116,0.0
651,2186,1115,0.0
702,1183,1107,0.0
648,717,1046,0.0
651,592,1035,0.0
981,978,1029,0.0
702,1184,1006,0.0
575,549,998,0.0
571,740,956,0.0
571,2193,955,0.0
574,622,898,0.0
730,652,891,0.0
128,127,884,0.0
506,598,868,0.0
618,568,852,0.0
741,619,849,0.0
506,512,846,0.0
575,2177,842,0.0
730,727,840,0.0
575,556,833,0.0
651,630,829,0.0
574,588,828,0.0
575,676,827,0.0
725,729,823,0.0
645,989,806,0.0
575,564,802,0.0
575,958,791,0.0
529,930,781,0.0
89,157,775,0.0
648,628,744,0.0
700,1422,726,0.0
554,535,718,0.0
952,977,716,0.0
597,511,713,0.0
529,491,704,0.0
981,947,703,0.0
529,927,699,0.0
575,703,690,0.0
