source,target,weight,mlf_score
648,555,8876,709.782712893384
648,708,8838,709.782712893384
733,571,8269,709.782712893384
647,571,7566,709.782712893384
730,700,6956,709.782712893384
730,663,6626,709.782712893384
663,725,5999,709.782712893384
571,725,5594,709.782712893384
702,597,5512,709.782712893384
697,529,5488,709.782712893384
700,725,5487,709.782712893384
730,554,5468,709.782712893384
648,514,5410,709.782712893384
981,529,5258,709.782712893384
132,591,4997,709.782712893384
554,725,4784,709.782712893384
736,700,4778,709.782712893384
128,648,4687,709.782712893384
128,733,4666,709.782712893384
506,737,4660,709.782712893384
647,718,4553,709.782712893384
736,554,4506,709.782712893384
730,673,4457,709.782712893384
648,552,4425,709.782712893384
648,674,4381,709.782712893384
648,688,4276,709.782712893384
128,575,4232,709.782712893384
697,700,4195,709.782712893384
575,720,4081,709.782712893384
702,718,3928,709.782712893384
702,571,3906,709.782712893384
128,627,3762,709.782712893384
733,708,3743,709.782712893384
697,554,3645,709.782712893384
700,726,3637,709.782712893384
733,552,3590,709.782712893384
529,548,3575,709.782712893384
506,723,3563,709.782712893384
697,571,3421,709.782712893384
691,1417,3410,709.782712893384
575,514,3393,709.782712893384
128,647,3340,709.782712893384
733,674,3329,709.782712893384
673,725,3296,709.782712893384
645,648,3288,709.782712893384
128,663,3257,709.782712893384
661,741,3255,709.782712893384
571,689,3192,709.782712893384
157,730,3191,709.782712893384
571,510,3186,709.782712893384
663,723,3164,709.782712893384
651,2194,3162,709.782712893384
128,574,3150,709.782712893384
733,739,3115,709.782712893384
981,579,3092,709.782712893384
702,625,3011,709.782712893384
554,737,2967,709.782712893384
597,674,2953,709.782712893384
579,725,2943,709.782712893384
157,683,2938,709.782712893384
730,597,2933,709.782712893384
965,579,2897,709.782712893384
682,683,2860,709.782712893384
651,2191,2822,709.782712893384
128,673,2802,709.782712893384
157,702,2787,709.782712893384
702,673,2758,709.782712893384
128,597,2747,709.782712893384
506,488,2695,709.782712893384
591,736,2659,709.782712893384
683,725,2657,709.782712893384
682,597,2645,709.782712893384
506,2190,2637,709.782712893384
157,725,2587,709.782712893384
674,741,2569,709.782712893384
682,741,2567,709.782712893384
648,695,2565,709.782712893384
506,498,2532,709.782712893384
571,724,2532,709.782712893384
571,578,2523,709.782712893384
691,722,2514,709.782712893384
691,2190,2470,709.782712893384
651,689,2469,709.782712893384
736,718,2462,709.782712893384
575,612,2458,709.782712893384
682,981,2433,709.782712893384
575,1187,2412,709.782712893384
651,653,2407,709.782712893384
733,726,2371,709.782712893384
647,520,2344,709.782712893384
506,536,2343,709.782712893384
736,527,2333,709.782712893384
552,741,2330,709.782712893384
575,692,2325,709.782712893384
647,514,2322,709.782712893384
529,2183,2314,709.782712893384
965,625,2306,709.782712893384
574,724,2300,709.782712893384
741,498,2292,709.782712893384
651,578,2291,709.782712893384
730,674,2286,709.782712893384
506,586,2286,709.782712893384
529,735,2271,709.782712893384
674,683,2270,709.782712893384
702,537,2264,709.782712893384
574,2191,2252,709.782712893384
591,726,2224,709.782712893384
132,627,2221,709.782712893384
591,984,2210,709.782712893384
648,602,2201,709.782712893384
591,661,2189,709.782712893384
