source,target,weight,nc_alpha
648,555,8876,0.0
648,708,8838,0.0
733,571,8269,0.0
647,571,7566,0.0
730,700,6956,0.0
730,663,6626,0.0
663,725,5999,0.0
571,725,5594,0.0
702,597,5512,0.0
697,529,5488,0.0
700,725,5487,0.0
730,554,5468,0.0
648,514,5410,0.0
981,529,5258,0.0
132,591,4997,0.0
554,725,4784,0.0
736,700,4778,0.0
128,648,4687,0.0
128,733,4666,0.0
506,737,4660,0.0
647,718,4553,0.0
736,554,4506,0.0
730,673,4457,0.0
648,552,4425,0.0
648,674,4381,0.0
648,688,4276,0.0
128,575,4232,0.0
697,700,4195,0.0
575,720,4081,0.0
648,733,3959,0.0
702,718,3928,0.0
702,571,3906,0.0
128,627,3762,0.0
733,708,3743,0.0
730,571,3664,0.0
697,554,3645,0.0
700,726,3637,0.0
733,552,3590,0.0
529,548,3575,0.0
506,723,3563,0.0
697,571,3421,0.0
691,1417,3410,0.0
575,514,3393,0.0
128,647,3340,0.0
733,674,3329,0.0
673,725,3296,0.0
645,648,3288,0.0
128,663,3257,0.0
661,741,3255,0.0
571,689,3192,0.0
157,730,3191,0.0
571,510,3186,0.0
697,506,3178,0.0
663,723,3164,0.0
651,2194,3162,0.0
128,574,3150,0.0
733,739,3115,0.0
981,579,3092,0.0
702,625,3011,0.0
554,737,2967,0.0
597,674,2953,0.0
579,725,2943,0.0
157,683,2938,0.0
730,597,2933,0.0
965,579,2897,0.0
682,683,2860,0.0
651,2191,2822,0.0
128,673,2802,0.0
157,702,2787,0.0
702,673,2758,0.0
128,597,2747,0.0
506,488,2695,0.0
591,736,2659,0.0
683,725,2657,0.0
682,597,2645,0.0
736,571,2642,0.0
506,2190,2637,0.0
128,571,2616,0.0
157,725,2587,0.0
674,741,2569,0.0
682,741,2567,0.0
648,695,2565,0.0
691,651,2548,0.0
506,498,2532,0.0
571,724,2532,0.0
571,578,2523,0.0
691,722,2514,0.0
128,554,2485,0.0
691,2190,2470,0.0
651,689,2469,0.0
736,718,2462,0.0
575,612,2458,0.0
682,981,2433,0.0
575,1187,2412,0.0
651,653,2407,0.0
733,726,2371,0.0
647,520,2344,0.0
506,536,2343,0.0
736,527,2333,0.0
552,741,2330,0.0
575,692,2325,0.0
647,514,2322,0.0
529,2183,2314,0.0
965,625,2306,0.0
574,724,2300,0.0
741,498,2292,0.0
651,578,2291,0.0
730,674,2286,0.0
506,586,2286,0.0
529,735,2271,0.0
674,683,2270,0.0
702,537,2264,0.0
574,2191,2252,0.0
591,726,2224,0.0
132,627,2221,0.0
591,984,2210,0.0
648,741,2207,0.0
648,602,2201,0.0
591,661,2189,0.0
575,1417,2176,0.0
700,510,2172,0.0
736,565,2165,0.0
697,488,2156,0.0
128,682,2155,0.0
539,510,2155,0.0
627,697,2146,0.0
741,726,2145,0.0
647,643,2142,0.0
682,720,2139,0.0
733,981,2139,0.0
597,661,2135,0.0
730,726,2130,0.0
691,712,2113,0.0
981,552,2111,0.0
663,689,2106,0.0
691,974,2094,0.0
552,510,2094,0.0
574,514,2072,0.0
736,683,2063,0.0
157,724,2058,0.0
736,632,2057,0.0
627,720,2039,0.0
702,1187,2021,0.0
645,737,2008,0.0
132,645,2007,0.0
645,733,2004,0.0
645,735,1994,0.0
663,611,1979,0.0
627,692,1971,0.0
691,984,1965,0.0
579,643,1953,0.0
514,673,1951,0.0
506,671,1947,0.0
554,537,1938,0.0
