source,target,weight
27,132,49
132,40,31
132,43,190
132,47,264
132,48,94
132,52,24
132,53,873
132,79,221
132,88,706
132,89,548
132,94,126
132,98,72
132,99,151
132,108,246
132,109,236
132,114,49
132,128,265
132,134,239
132,2054,124
132,138,162
132,139,147
132,140,183
132,145,350
132,1984,203
132,148,164
132,150,1164
132,2055,110
132,2056,107
132,153,853
132,157,1229
132,2057,44
132,2058,58
132,2059,26
132,574,178
132,575,193
132,591,4997
132,627,2221
132,645,2007
132,647,196
132,648,606
132,682,1052
132,691,336
132,697,296
132,702,360
132,712,652
132,730,799
132,733,473
132,736,573
132,738,971
132,965,170
132,971,788
132,974,384
132,981,91
132,1183,366
132,1184,400
132,1187,1312
132,1189,829
132,1857,5
28,2027,8
28,154,5
28,1953,8
2027,1953,2
154,45,25
154,50,83
154,51,19
154,77,34
154,112,60
154,136,58
154,155,57
154,2061,22
154,38,11
29,144,5
144,30,10
144,35,22
144,110,114
144,117,30
144,124,25
144,141,7
144,142,3
144,33,1
144,143,15
144,2062,7
144,2063,6
144,2064,13
144,116,3
144,1863,7
144,1864,7
144,2661,6
31,68,18
31,84,15
31,2028,24
31,1861,7
68,63,28
68,92,32
68,128,48
68,2658,12
68,129,1
84,2028,33
84,1860,8
84,2659,12
84,91,2
2028,75,20
2028,128,171
2028,129,91
32,93,7
93,74,15
93,2032,25
33,110,19
110,59,23
110,71,20
110,96,17
110,127,180
110,134,156
110,2047,2
110,157,337
110,119,18
110,34,3
34,119,19
34,127,87
34,157,131
119,126,16
119,127,77
119,157,263
119,149,7
127,94,473
127,102,472
127,105,116
127,126,70
127,128,884
127,529,209
127,591,394
127,625,113
127,665,172
127,685,4
157,50,309
157,53,692
157,58,152
157,62,155
157,77,692
157,88,1209
157,89,775
157,94,1025
157,102,460
157,105,160
157,107,299
157,109,224
157,113,248
157,120,102
157,126,162
157,128,1609
157,134,601
157,139,218
157,146,291
157,149,123
157,150,928
157,151,336
157,153,1546
157,155,402
157,2066,181
157,506,636
157,514,177
157,527,120
157,529,412
157,539,169
157,552,160
