source,target,weight
18,21,9
18,23,9
19,20,11
19,23,16
20,21,100
20,22,8
20,23,77
20,2024,81
21,23,60
21,2025,4
21,2026,6
22,23,8
23,2024,33
24,2026,30
27,132,49
28,2027,8
28,154,5
29,144,5
30,144,10
31,68,18
31,84,15
31,2028,24
32,93,7
33,110,19
34,119,19
34,127,87
34,157,131
35,144,22
36,70,30
36,2029,36
37,2030,7
37,2031,32
38,45,21
38,155,31
39,102,23
39,128,35
39,136,19
39,156,36
40,132,31
41,75,22
41,102,10
41,128,82
41,2032,21
42,118,27
43,108,38
43,132,190
44,150,25
45,2033,46
45,154,25
46,2034,52
47,132,264
47,150,423
48,132,94
48,150,31
46,158,19
49,57,33
50,77,145
50,154,83
50,155,134
50,157,309
51,154,19
52,132,24
53,73,182
53,88,223
53,89,301
53,2035,63
53,94,1127
53,108,360
53,109,92
53,111,197
53,121,16
53,128,1843
53,132,873
53,134,250
53,139,133
53,140,10
53,147,166
53,148,70
53,150,1122
53,153,145
53,157,692
53,2034,205
53,574,329
53,575,847
53,591,1252
53,627,948
53,647,975
53,648,1688
53,682,236
53,691,1364
53,702,987
53,712,242
53,730,118
53,733,1457
53,971,95
53,981,371
54,118,26
55,2036,10
55,2037,42
55,131,27
55,2038,30
56,90,33
56,2031,24
57,66,62
57,2039,16
57,94,68
57,118,35
57,1954,54
57,2040,41
57,2041,78
58,77,91
58,94,143
58,128,96
58,157,152
59,110,23
60,2034,31
61,131,9
62,157,155
63,68,28
63,100,44
63,128,44
64,65,64
64,102,63
65,102,73
65,2042,49
66,2043,19
67,97,5
68,92,32
68,128,48
69,134,16
70,81,31
71,1862,5
71,110,20
72,152,13
72,2034,34
73,77,100
73,107,79
73,150,143
74,2033,32
74,93,15
75,102,102
75,2028,20
75,2032,22
53,76,6
76,121,21
76,2034,39
77,94,485
77,107,109
77,112,109
77,113,198
77,120,79
77,128,381
77,150,1053
77,151,79
77,154,34
77,155,454
77,157,692
77,529,105
77,571,957
77,591,406
77,651,394
77,663,835
77,691,1685
77,700,230
77,2044,16
77,929,208
77,1894,199
77,981,227
78,83,33
78,2045,32
79,132,221
79,145,26
79,150,178
80,150,28
81,2045,30
82,102,22
82,2029,25
82,136,14
82,2032,52
83,100,34
84,2028,33
36,85,22
85,125,30
86,150,15
87,2029,53
88,104,96
88,132,706
88,138,32
88,145,26
88,148,103
88,150,421
88,153,131
88,157,1209
88,648,775
88,730,401
89,101,25
89,104,111
89,132,548
89,150,283
89,157,775
89,574,136
90,126,93
91,128,59
92,95,35
93,2032,25
94,102,419
94,107,83
94,127,473
94,128,221
94,132,126
94,134,1333
94,146,666
94,150,140
94,155,1380
94,157,1025
94,2034,102
94,529,362
94,554,1350
94,571,887
94,579,731
94,591,147
94,625,1531
94,651,548
94,691,1781
94,700,252
55,2046,9
95,100,44
95,2029,39
96,110,17
97,2032,14
98,132,72
99,132,151
100,2029,44
101,121,13
102,127,472
102,128,865
102,2042,27
102,136,33
102,156,38
102,157,460
102,2032,181
102,591,412
102,691,1408
102,700,209
102,929,118
103,134,20
104,150,82
105,127,116
105,150,271
105,157,160
106,150,181
107,128,130
107,157,299
107,591,155
107,663,291
108,132,246
108,150,86
109,132,236
109,134,117
109,150,341
109,157,224
109,647,105
110,127,180
110,134,156
110,2047,2
110,144,114
110,157,337
111,150,281
112,154,60
112,155,94
113,157,248
114,132,49
115,2034,10
116,117,4
117,144,30
118,134,135
118,2048,52
118,2034,33
110,119,18
119,126,16
119,127,77
119,157,263
120,128,105
120,157,102
121,2034,39
122,2036,6
123,134,41
124,144,25
125,2029,35
126,127,70
126,157,162
127,128,884
127,529,209
127,591,394
127,625,113
127,665,172
128,129,139
128,2028,171
128,2029,42
128,132,265
128,134,1418
128,136,77
128,150,263
128,151,85
128,155,287
128,156,32
128,157,1609
128,2032,335
128,2049,57
128,506,183
128,514,77
128,529,325
128,554,2485
128,571,2616
128,574,3150
128,575,4232
128,579,178
128,591,251
128,597,2747
128,625,199
128,627,3762
128,645,273
128,647,3340
128,648,4687
128,651,791
128,663,3257
128,673,2802
128,682,2155
128,691,576
128,700,311
128,733,4666
128,929,88
128,2050,51
128,1894,868
128,949,80
128,965,92
128,971,224
128,981,133
128,989,109
128,1896,63
128,1897,8
128,2051,61
128,2052,85
128,1999,80
66,2040,30
129,2028,91
130,2041,28
85,2029,13
131,2034,28
131,2053,17
132,134,239
132,2054,124
132,138,162
132,139,147
132,140,183
132,145,350
132,1984,203
132,148,164
132,150,1164
132,2055,110
132,2056,107
132,153,853
132,157,1229
132,2057,44
132,2058,58
132,2059,26
132,574,178
132,575,193
132,591,4997
132,627,2221
132,645,2007
132,647,196
132,648,606
132,682,1052
132,691,336
132,697,296
132,702,360
132,712,652
132,730,799
132,733,473
132,736,573
132,738,971
132,965,170
132,971,788
132,974,384
132,981,91
132,1183,366
132,1184,400
132,1187,1312
132,1189,829
133,134,21
134,139,122
134,146,384
134,150,344
134,2048,59
134,157,601
134,574,275
134,647,400
134,682,127
134,691,500
135,2034,16
135,2053,22
136,154,58
136,156,50
136,2032,182
136,2061,22
137,2047,3
138,150,117
139,150,324
139,157,218
139,574,164
139,647,207
139,682,73
139,691,216
140,145,28
140,150,48
141,144,7
142,144,3
33,144,1
143,144,15
144,2062,7
144,2063,6
144,2064,13
145,1984,20
145,2055,20
145,2065,18
146,150,468
146,157,291
146,691,559
147,150,134
148,150,96
148,2034,10
119,149,7
149,157,123
150,153,250
150,157,928
150,2034,193
150,574,156
150,575,504
150,591,1371
150,627,282
150,645,1062
150,647,213
150,648,183
150,663,1291
150,682,246
150,691,193
150,697,1083
150,702,1636
150,712,430
150,725,1527
150,730,168
150,733,243
150,736,28
150,971,374
150,974,407
150,981,310
150,1999,59
151,157,336
152,2034,28
153,157,1546
153,647,520
153,730,168
153,733,919
154,155,57
154,2061,22
155,157,402
155,591,455
155,663,335
156,2032,22
157,2066,181
157,506,636
157,514,177
157,527,120
157,529,412
157,539,169
157,552,160
157,554,279
157,555,140
157,565,177
157,571,288
157,574,196
157,575,389
157,579,403
157,591,401
157,597,162
157,625,268
157,627,255
157,632,168
157,645,328
157,647,276
157,648,576
157,651,1251
157,661,969
157,663,282
157,664,121
157,673,291
157,674,918
157,682,267
157,683,2938
157,685,388
157,691,1202
157,700,460
157,702,2787
157,708,152
157,718,123
157,723,120
157,724,2058
157,725,2587
157,730,3191
157,733,220
157,739,1204
157,2067,114
157,741,102
157,927,393
157,929,160
157,2050,127
157,937,256
157,1894,182
157,965,202
157,981,247
157,984,1073
157,985,334
157,986,635
157,987,620
157,1896,48
157,992,302
157,2051,67
157,2052,73
157,1999,145
157,995,356
157,998,102
157,1005,345
157,1404,128
157,1405,240
157,1411,111
157,1417,818
157,1421,175
157,1422,560
157,1426,84
157,2068,199
157,2069,240
158,2034,41
486,506,236
486,554,289
486,579,231
486,685,221
486,691,414
486,700,109
486,705,19
486,731,42
487,575,258
488,506,2695
488,539,1048
488,2164,58
488,568,149
488,574,384
488,575,391
488,618,91
488,627,126
488,645,706
488,647,148
488,648,426
488,661,889
488,665,81
488,682,842
488,687,80
488,691,172
488,697,2156
488,702,549
488,725,80
488,730,1840
488,733,895
488,736,200
489,682,57
490,506,109
491,529,704
491,590,103
491,619,166
491,2165,250
491,2166,121
492,575,201
493,733,94
493,737,51
494,597,141
494,627,64
494,663,66
494,685,34
494,724,33
494,741,49
495,506,159
495,575,368
495,627,100
496,506,305
496,554,303
496,571,1148
497,544,27
498,506,2532
498,529,110
498,539,215
498,552,957
498,554,822
498,571,179
498,579,95
498,591,188
498,597,1896
498,625,177
498,647,1501
498,663,118
498,665,82
498,682,1358
498,2167,59
498,2168,109
498,691,211
498,700,260
498,741,2292
499,691,84
500,574,132
501,730,85
502,568,151
502,574,76
502,575,339
502,627,144
502,647,185
502,665,65
503,579,28
504,700,83
505,574,166
505,648,421
506,507,1361
506,510,572
506,511,290
506,512,846
506,513,620
506,514,381
506,520,436
506,526,109
506,527,442
506,529,1275
506,2169,117
506,535,271
506,536,2343
506,537,206
506,539,1106
506,541,309
506,542,142
506,546,389
506,547,207
506,548,465
506,549,115
506,552,525
506,554,1023
506,555,636
506,559,1326
506,564,200
506,2170,139
506,565,446
506,2171,189
506,568,445
506,569,190
506,571,1172
506,574,1218
506,575,1564
506,2172,125
506,578,1316
506,579,927
506,582,225
506,586,2286
506,589,123
506,2173,512
506,591,1072
506,592,194
506,593,713
506,595,175
506,597,1452
506,598,868
506,599,687
506,2174,79
506,600,162
506,605,262
506,607,172
506,608,1331
506,610,521
506,611,193
506,612,332
506,613,437
506,2175,115
506,618,580
506,619,265
506,622,332
506,625,702
506,627,949
506,628,407
506,630,218
506,632,705
506,642,290
506,643,851
506,645,663
506,646,630
506,647,931
506,648,1457
506,650,314
506,2176,159
506,651,1697
506,653,309
506,660,516
506,661,662
506,663,1473
506,664,593
506,665,634
506,667,567
506,2177,257
506,671,1947
506,673,1273
506,674,467
506,2178,191
506,676,213
506,2179,148
506,677,251
506,2180,79
506,680,124
506,682,828
506,683,885
506,685,166
506,2181,149
506,688,300
506,689,230
506,691,2130
506,692,449
506,695,703
506,697,3178
506,699,117
506,700,1312
506,702,737
506,703,124
506,708,539
506,709,331
506,714,135
506,2182,1535
506,718,805
506,720,695
506,1877,188
506,723,3563
506,724,678
506,725,415
506,726,496
506,2183,462
506,1878,149
506,729,427
506,730,517
506,733,755
506,2184,150
506,2185,227
506,735,130
506,736,458
506,737,4660
506,738,199
506,2186,291
506,739,606
506,2067,1657
506,740,262
506,741,1046
506,2187,253
506,2188,32
506,2189,203
506,2190,2637
506,2191,361
506,2192,111
506,2193,289
506,2194,232
506,927,331
506,929,188
506,930,263
506,932,547
506,934,231
506,935,51
506,936,183
506,937,203
506,1894,195
506,949,163
506,952,1424
506,958,503
506,965,268
506,966,1035
506,971,589
506,974,938
506,981,475
506,983,321
506,984,1112
506,985,351
506,986,816
506,987,310
506,989,172
506,995,295
506,998,103
506,1002,236
506,1005,197
506,2195,272
506,1187,1546
506,1412,290
506,1417,217
506,1421,117
506,1422,707
506,1423,25
506,1426,96
506,2069,307
507,579,102
507,647,510
507,682,100
507,691,231
507,731,10
508,2196,54
509,529,100
510,527,72
510,529,90
510,539,2155
510,552,2094
510,554,213
510,568,419
510,571,3186
510,574,515
510,575,548
510,579,97
510,586,95
510,591,250
510,597,129
510,618,237
510,620,37
510,625,120
510,627,290
510,645,347
510,647,251
510,648,656
510,2197,647
510,652,218
510,663,184
510,665,126
510,667,303
510,682,103
510,683,92
510,687,1694
510,691,471
510,700,2172
510,702,391
510,725,131
510,730,126
510,733,394
510,735,140
510,736,89
510,737,1068
510,741,343
510,965,435
510,981,948
511,554,254
511,579,291
511,597,713
511,691,695
511,705,31
512,554,162
512,579,370
512,691,642
512,700,128
513,579,123
513,682,453
513,691,206
514,539,304
514,554,302
514,565,1422
514,571,321
514,574,2072
514,575,3393
514,579,117
514,597,157
514,625,127
514,647,2322
514,648,5410
514,663,315
514,665,105
514,673,1951
514,682,114
514,691,342
514,695,1189
514,700,284
514,708,1370
514,718,1485
514,724,1043
514,741,145
514,1417,961
515,574,63
516,574,313
516,627,345
516,702,129
516,733,59
517,579,88
518,571,116
518,579,689
518,651,99
518,700,185
518,731,13
519,529,113
520,539,1012
520,554,305
520,568,92
520,571,120
520,574,156
520,575,281
520,579,685
520,618,61
520,627,158
520,647,2344
520,651,1552
520,663,112
520,665,90
520,673,726
520,682,1208
520,691,179
520,700,1239
520,741,553
520,1002,148
521,574,132
521,2198,62
521,2199,74
521,2200,70
521,647,355
521,682,63
521,2201,87
521,697,304
521,2202,177
521,730,141
521,736,93
522,574,145
522,647,206
522,682,178
522,731,7
523,682,65
524,647,217
524,648,490
524,687,165
524,697,508
524,712,120
524,725,244
524,730,165
524,1187,114
525,731,22
526,574,147
526,575,416
526,579,243
526,663,305
526,682,200
526,691,132
527,529,219
527,539,256
527,548,76
527,552,102
527,554,413
527,555,80
527,565,41
527,571,329
527,574,414
527,575,382
527,579,255
527,582,100
527,591,189
527,597,128
527,613,364
527,618,131
527,625,94
527,627,151
527,643,89
527,645,186
527,647,136
527,648,360
527,651,589
527,661,103
527,663,244
527,665,274
527,673,157
527,682,146
527,683,92
527,691,721
527,700,349
527,702,100
527,708,79
527,709,61
527,714,923
527,718,195
527,725,70
527,726,883
527,736,2333
527,739,103
527,741,164
527,2188,14
528,574,271
528,602,130
528,647,93
528,648,1460
528,658,37
528,682,473
528,687,72
528,691,1370
528,697,208
528,702,248
528,725,1260
528,730,392
528,733,167
528,735,77
528,736,232
528,737,137
494,529,8
529,537,332
529,539,798
529,542,1031
529,548,3575
529,552,187
529,554,584
529,555,122
529,565,120
529,571,1227
529,574,467
529,575,634
529,579,422
529,591,665
529,597,430
529,618,100
529,2165,89
529,625,329
529,627,175
529,632,145
529,643,164
529,645,1004
529,647,199
529,648,1378
529,2203,147
529,651,1319
529,652,702
529,661,66
529,663,556
529,664,447
529,665,176
529,673,353
529,674,109
529,682,472
529,683,125
529,2204,237
529,685,1051
529,691,1387
529,1876,46
529,695,188
529,697,5488
529,700,819
529,702,300
529,708,478
529,2205,57
529,2206,171
529,718,427
529,720,319
529,2207,103
529,723,1115
529,724,177
529,2208,108
529,725,233
529,2183,2314
529,730,384
529,733,995
