source,target,weight,df_alpha
648,555,8876,7.338583074556482e-10
648,708,8838,2.645797975153741e-06
730,700,6956,5.447509408451623e-06
730,663,6626,9.994932527956912e-06
1161,1123,247,3.667056204470498e-05
702,597,5512,3.7513057069338274e-05
730,673,4457,4.21985325440577e-05
730,554,5468,5.575165774196478e-05
128,627,3762,8.833309470313022e-05
736,527,2333,0.0001109075950841
132,591,4997,0.0001295317486637
733,571,8269,0.0001590928867275
697,529,5488,0.0002044249384617
965,961,658,0.0002303202752571
736,700,4778,0.0002830833462864
981,529,5258,0.0002970241812148
736,554,4506,0.0003295175905476
647,571,7566,0.000346330871906
132,145,350,0.0003991342938347
733,739,3115,0.0004236964175562
128,574,3150,0.0004727957691399
702,625,3011,0.0005759084985952
981,579,3092,0.0006439267114364
506,586,2286,0.0006782666387598
647,718,4553,0.0007133365916235
128,575,4232,0.0007514309703048
691,1417,3410,0.000757765964793
697,700,4195,0.0007947340370912
645,989,806,0.0009327498693737
965,579,2897,0.0010372165823482
575,600,1609,0.0011234422165362
529,548,3575,0.0011243266406307
1161,1137,309,0.0013109574703316
697,554,3645,0.0015841212122681
648,552,4425,0.0017790787534562
128,673,2802,0.0020153597276891
702,718,3928,0.0021061909926732
981,978,1029,0.0021556355003542
571,510,3186,0.0021925474130192
702,673,2758,0.0022288087242919
663,725,5999,0.0023261914704297
648,688,4276,0.0023271916102544
1407,1410,243,0.002382474750157
691,102,1408,0.0025685122283414
648,514,5410,0.0028477663306445
128,647,3340,0.0029094217618845
691,77,1685,0.0031556680927283
661,741,3255,0.003227245457678
700,726,3637,0.0032971401247653
708,667,1372,0.0034188444312744
648,602,2201,0.0034193363948793
1161,1156,153,0.0034624127817841
965,625,2306,0.0034896192844949
571,725,5594,0.003581305958622
506,723,3563,0.0039275655382016
700,725,5487,0.0040114549944274
128,663,3257,0.0041629663247454
575,720,4081,0.0042303786788099
132,627,2221,0.0043508702442927
927,926,154,0.0044444444444442
571,709,1180,0.0045391557724439
157,119,263,0.0047130590290037
506,737,4660,0.0048714347688848
575,612,2458,0.004875274227058
506,507,1361,0.0049886580229638
730,597,2933,0.0051331508531798
94,155,1380,0.00532449711883
128,733,4666,0.0053370903063834
736,565,2165,0.0053888573310546
1187,1188,175,0.0054869684499314
697,506,3178,0.0055889387750936
691,974,2094,0.0056792702404921
575,594,1619,0.0058640511772941
691,2276,126,0.0060105184072125
128,134,1418,0.0060354296811373
651,2194,3162,0.0061708325933063
733,552,3590,0.0062840063043859
591,984,2210,0.0062874988423843
718,618,1705,0.0063163085501345
506,671,1947,0.006491723944806
702,537,2264,0.0065697345731684
691,722,2514,0.0067599939176693
144,117,30,0.0067715633822279
128,597,2747,0.0072414664353297
1161,1166,122,0.0075816007346947
733,708,3743,0.0076174151312889
579,518,689,0.0077334149363033
736,632,2057,0.007829012223779
647,1878,684,0.0079821092973981
663,723,3164,0.0080527868094177
554,725,4784,0.0084023364281581
94,134,1333,0.0085132052209644
157,110,337,0.0085186969296418
702,1161,1408,0.0086863378952152
682,597,2645,0.0087402871494659
506,536,2343,0.0088366128262129
506,488,2695,0.0090839323578776
128,648,4687,0.0094388203885471
647,643,2142,0.0095603981702734
648,674,4381,0.0096804468959601
697,665,1179,0.0098743919837474
697,625,1888,0.0099896442666578
591,736,2659,0.0100528950633426
733,987,1387,0.0103241368558905
506,2182,1535,0.0105114357886124
648,695,2565,0.0105793715629893
571,689,3192,0.0111452722382554
132,1984,203,0.0111781715150692
579,517,88,0.0112359550561798
157,683,2938,0.0112389987665494
674,741,2569,0.0112912645686382
682,741,2567,0.0113321644833943
651,592,1035,0.0114143100169878
529,931,550,0.0114246875859201
691,984,1965,0.0114272341905812
132,140,183,0.0114626335978679
128,2032,335,0.0116179528380382
575,1417,2176,0.0118264155676721
648,733,3959,0.0120539488740706
965,966,1480,0.0120564722210581
730,538,1680,0.0123576263689026
645,1426,258,0.0125103951785741
965,978,754,0.0126830765791426
682,683,2860,0.0127516747749162
128,554,2485,0.0127604089510161
647,520,2344,0.0129186962320382
1137,2378,141,0.0134537342309438
128,682,2155,0.0134752070593777
529,930,781,0.0134765729461262
651,2191,2822,0.0138406006373652
514,673,1951,0.0138621943820901
575,593,1597,0.0140178555070887
571,667,1050,0.0142736241706517
618,568,852,0.0144571230620342
965,944,93,0.0145093657956212
552,673,1927,0.0146287074002801
554,537,1938,0.0148560360163196
579,643,1953,0.0149476701104862
1137,1140,64,0.0162302707612441
965,950,109,0.0163839999999999
691,712,2113,0.0167685849657498
691,1894,1813,0.0169032028248132
651,653,2407,0.0169309199336157
700,510,2172,0.0170680990570928
552,741,2330,0.0173686645899641
568,620,436,0.0175056663298334
539,510,2155,0.0176499738955262
981,632,1729,0.0178242324085409
702,571,3906,0.017873070734077
510,687,1694,0.017926148537162
57,1954,54,0.0181818181818181
1161,1165,113,0.0183740939041685
506,952,1424,0.0187023029240782
