source,target,weight,pf_alpha
591,971,373,1.44394544124504e-09
591,661,2189,1.78255737441033e-06
981,579,3092,3.85909553776824e-06
663,709,64,7.71637625917928e-06
663,664,852,1.38611807247174e-05
139,691,216,3.50199338978355e-05
571,718,393,4.21583632149533e-05
697,1187,1626,4.89000565138806e-05
733,529,995,4.96824947138827e-05
663,671,73,5.56509767902919e-05
663,537,226,7.27881789694137e-05
632,700,301,9.53552226629068e-05
571,740,956,0.0001026158035935
575,546,924,0.0001135050485096
597,1894,224,0.0001416934108748
571,671,137,0.0002471486981223
702,579,377,0.000255423681915
554,618,1048,0.0002684286280246
506,2176,159,0.000290686371832
109,157,224,0.0003026267590734
597,931,19,0.0003664582115522
529,548,3575,0.0004004303457259
1894,984,14,0.0004049338983367
150,157,928,0.0004939435987143
579,589,278,0.0005168363526818
150,575,504,0.0005739359035366
554,667,382,0.0005741062170425
527,565,41,0.0006901326230279
733,554,284,0.0006948592616755
597,989,253,0.0007738357615379
571,724,2532,0.0007765213892852
109,682,9,0.0008195406033405
506,555,636,0.0008768852401293
57,2039,16,0.0008982150493927
685,539,358,0.0009071674133632
730,710,252,0.0009485740141656
571,683,274,0.0011007363803706
673,2195,100,0.0011154887223535
529,673,353,0.0011571952227647
697,554,3645,0.0012944365742458
128,579,178,0.001332085003902
574,614,242,0.0013371783445426
736,534,55,0.0015456390461879
591,2068,156,0.0016688342503614
651,741,218,0.0016820354721364
702,594,225,0.0018481433078219
591,1894,761,0.0020701135448138
647,710,615,0.0023335645577288
529,625,329,0.002438409165294
651,611,1867,0.0024440292240412
645,697,168,0.002495194417574
150,80,28,0.0025346776868176
645,733,2004,0.0025723544209394
682,1161,930,0.0026896825836693
128,134,1418,0.0028195394843171
682,578,140,0.0028219404038488
591,736,2659,0.0028740375191845
700,541,454,0.0029532143814742
691,548,191,0.0029607020014295
591,927,358,0.0032679297460373
575,1417,2176,0.0033286993648699
529,2067,1368,0.003375026216117
571,673,447,0.0033886928659606
579,2183,1399,0.0035065963417563
691,546,983,0.0036078547157021
682,663,293,0.0036336741736238
77,112,109,0.0036552082712043
730,733,1599,0.0038384962046712
506,564,200,0.003845383498026
645,981,432,0.0038980839443785
591,1412,298,0.0039188280590435
736,543,60,0.0039985075507669
552,571,201,0.0043879952005859
627,2190,93,0.0047100852982229
575,548,1194,0.0049146344789416
667,584,2,0.0049188681791055
981,726,601,0.0051500954950394
36,70,30,0.0053705836226677
529,1426,131,0.0055054423139008
574,665,392,0.0055110163837528
730,1184,294,0.0055136451056662
648,554,290,0.0055664821483097
648,1161,947,0.0055734155730271
591,155,455,0.0056635937018715
571,643,282,0.0057619297886481
663,598,860,0.0057700888514664
702,653,930,0.0058907349555236
157,985,334,0.0060064990577046
554,674,211,0.0060416601127315
79,145,26,0.0060524325093058
702,555,154,0.0062634452077685
989,988,47,0.0063112763316454
506,966,1035,0.0063774807763803
625,555,119,0.0064590277968931
579,2246,241,0.0065070159806586
574,549,109,0.0065977793833202
127,105,116,0.0067643797541259
932,935,13,0.0069226699824546
700,613,165,0.0070234181258703
645,927,501,0.0070295288324726
529,527,219,0.0070585839338426
647,688,98,0.0072708285567304
730,2279,111,0.0073467632816114
150,730,168,0.0075441278830887
1187,524,114,0.0075530264861287
529,735,2271,0.0075614905504072
529,1876,46,0.0076256584061398
1154,1144,71,0.0080200813810924
574,558,82,0.0080537400524489
736,616,83,0.0084523663408378
736,700,4778,0.0084664991458397
597,1426,35,0.0084872318764367
682,739,309,0.0085920914071028
53,981,371,0.0086654381172956
554,537,1938,0.0086951180130875
739,582,352,0.0089028282243238
691,965,438,0.0089833879064026
157,34,131,0.0094390053092201
157,2702,25,0.009469761571006
697,2264,279,0.0096164200070658
128,63,44,0.0098234760848911
50,155,134,0.0100504411217298
554,496,303,0.0102992500441817
591,2183,110,0.0105580634156591
648,563,10,0.0106836339622725
702,683,75,0.0108798006869241
702,652,179,0.011001490920212
575,739,343,0.0111806076549796
965,673,500,0.011376534372327
145,2055,20,0.0113980065946069
488,618,91,0.0116022831696749
702,529,300,0.0116501517584201
591,2069,57,0.0118292420808196
