source,target,weight,ecm_alpha
625,702,3011,0.0018287948332726
736,534,55,0.0023126876913011
648,563,10,0.0041788383387029
733,716,94,0.0043647442944347
700,736,4778,0.0064561013132333
571,647,7566,0.0083349607884883
554,736,4506,0.0087528964504599
663,723,3164,0.0091313626617193
575,720,4081,0.009653203189373
529,519,113,0.0115403058007359
529,2207,103,0.0116210719570517
700,730,6956,0.0123415514826774
2189,673,1628,0.0136516503989696
597,702,5512,0.0137311425060033
645,648,3288,0.0142176328226923
571,733,8269,0.0175572782754898
2191,574,2252,0.0176433399319648
700,635,88,0.0186297297477722
700,624,123,0.0187588576227426
730,663,6626,0.0210703276097774
627,720,2039,0.0219940114766359
591,736,2659,0.0273467116057872
574,2219,97,0.0282130111008882
597,498,1896,0.0291838999837636
574,567,7,0.0306910909712314
554,730,5468,0.0322248674929142
597,682,2645,0.0351479724049568
691,712,2113,0.0363780967891216
506,723,3563,0.0386770255863666
597,613,926,0.0397998094558715
