id,lat,lng,Name,City,Country,Label,degree,weighted_degree,component
1272,14.5086,121.019997,Ninoy Aquino International Airport,Manila,Philippines,RPLL,72,17075,4
1161,61.17440032958984,-149.99600219726562,Ted Stevens Anchorage International Airport,Anchorage,United States,PANC,34,10511,10
1260,33.51129913330078,126.49299621582033,Jeju International Airport,Cheju,South Korea,RKPC,30,9053,1
1306,-19.62444305419922,-43.97194290161133,Tancredo Neves International Airport,Belo Horizonte,Brazil,SBCF,34,8528,8
1265,37.5583,126.791,Gimpo International Airport,Seoul,South Korea,RKSS,13,6365,1
1303,-15.86916732788086,-47.92083358764648,Presidente Juscelino Kubistschek International Airport,Brasilia,Brazil,SBBR,41,6354,23
1336,-29.994400024414062,-51.1713981628418,Salgado Filho Airport,Porto Alegre,Brazil,SBPA,24,4298,8
1428,43.35210037231445,77.04049682617188,Almaty Airport,Alma-ata,Kazakhstan,UAAA,40,4079,16
1288,10.307499885559,123.97899627686,Mactan Cebu International Airport,Cebu,Philippines,RPVM,27,3659,4
1429,51.02220153808594,71.46690368652344,Astana International Airport,Tselinograd,Kazakhstan,UACC,30,2922,16
2068,10.595399856567385,-61.33720016479492,Piarco International Airport,Port-of-spain,Trinidad and Tobago,TTPP,20,2343,9
1083,35.68920135498047,51.31340026855469,Mehrabad International Airport,Teheran,Iran,OIII,31,1994,28
1318,-27.670278549194336,-48.5525016784668,Hercílio Luz International Airport,Florianopolis,Brazil,SBFL,8,1725,23
1617,-2.5769500733,140.5160064698,Sentani International Airport,Jayapura,Indonesia,WAJJ,8,1184,25
1424,12.1889,-68.959801,Hato International Airport,Willemstad,Netherlands Antilles,TNCC,17,1066,27
110,48.37189865112305,-89.32389831542969,Thunder Bay Airport,Thunder Bay,Canada,CYQT,11,889,3
1090,29.53919982910156,52.58980178833008,Shiraz Shahid Dastghaib International Airport,Shiraz,Iran,OISS,22,822,28
1427,11.149700164794922,-60.83219909667969,Tobago-Crown Point Airport,Scarborough,Trinidad and Tobago,TTCP,5,806,9
1014,-17.553699,-149.606995,Faa'a International Airport,Papeete,French Polynesia,NTAA,25,715,13
1410,16.265301,-61.531799,Pointe-à-Pitre Le Raizet,Pointe-a-pitre,Guadeloupe,TFFR,13,700,2
