id,IATA,Latitude,Longitude,Name,City,Country,Label,degree,weighted_degree,component
648,LAX,33.94250107,-118.4079971,Los Angeles International Airport,Los Angeles,United States,KLAX,25,28737,3
691,ORD,41.9786,-87.9048,Chicago O'Hare International Airport,Chicago,United States,KORD,32,29032,9
506,ATL,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,KATL,32,36050,2
575,DFW,32.896801,-97.038002,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,KDFW,30,24221,5
645,JFK,40.63980103,-73.77890015,John F Kennedy International Airport,New York,United States,KJFK,22,14416,3
591,EWR,40.692501068115234,-74.168701171875,Newark Liberty International Airport,Newark,United States,KEWR,28,18390,2
733,SFO,37.61899948120117,-122.375,San Francisco International Airport,San Francisco,United States,KSFO,25,28057,4
730,SEA,47.449001,-122.308998,Seattle Tacoma International Airport,Seattle,United States,KSEA,24,44350,2
554,CLT,35.2140007019043,-80.94309997558594,Charlotte Douglas International Airport,Charlotte,United States,KCLT,29,23813,2
571,DCA,38.8521,-77.037697,Ronald Reagan Washington National Airport,Washington,United States,KDCA,27,39711,4
647,LAS,36.08010101,-115.1520004,McCarran International Airport,Las Vegas,United States,KLAS,28,26074,4
700,PHL,39.87189865112305,-75.24109649658203,Philadelphia International Airport,Philadelphia,United States,KPHL,29,23724,2
529,BOS,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,Boston,United States,KBOS,27,15952,6
627,IAH,29.984399795532227,-95.34140014648438,George Bush Intercontinental Houston Airport,Houston,United States,KIAH,29,15166,5
574,DEN,39.861698150635,-104.672996521,Denver International Airport,Denver,United States,KDEN,30,20047,8
702,PHX,33.43429946899414,-112.01200103759766,Phoenix Sky Harbor International Airport,Phoenix,United States,KPHX,27,31784,1
682,MSP,44.882,-93.221802,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,KMSP,30,21171,1
673,MIA,25.79319953918457,-80.29060363769531,Miami International Airport,Miami,United States,KMIA,22,18349,7
625,IAD,38.94449997,-77.45580292,Washington Dulles International Airport,Washington,United States,KIAD,26,10697,1
663,MCO,28.429399490356445,-81.30899810791016,Orlando International Airport,Orlando,United States,KMCO,25,22088,2
736,SLC,40.78839874267578,-111.97799682617188,Salt Lake City International Airport,Salt Lake City,United States,KSLC,23,23054,2
597,FLL,26.072599,-80.152702,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,KFLL,24,22882,1
720,RIC,37.50519943237305,-77.3197021484375,Richmond International Airport,Richmond,United States,KRIC,15,14467,5
498,ALB,42.74829864501953,-73.80169677734375,Albany International Airport,Albany,United States,KALB,13,9447,1
723,ROC,43.118900299072266,-77.67240142822266,Greater Rochester International Airport,Rochester,United States,KROC,12,10215,2
2191,TYS,35.81100082,-83.9940033,McGhee Tyson Airport,Knoxville,United States,KTYS,13,9094,8
613,GSP,34.8956985474,-82.2189025879,Greenville Spartanburg International Airport,Greenville,United States,KGSP,11,5341,1
712,PSP,33.8297004699707,-116.50700378417967,Palm Springs International Airport,Palm Springs,United States,KPSP,11,6688,9
2189,TUL,36.19839859008789,-95.88809967041016,Tulsa International Airport,Tulsa,United States,KTUL,13,8131,7
624,HVN,41.26369858,-72.88680267,Tweed New Haven Airport,New Haven,United States,KHVN,1,123,2
519,BHB,44.45000076,-68.3615036,Hancock County-Bar Harbor Airport,Bar Harbor,United States,KBHB,1,113,6
2207,RKD,44.06010056,-69.09919739,Knox County Regional Airport,Rockland,United States,KRKD,1,103,6
2219,GCC,44.3488998413,-105.539001465,Gillette Campbell County Airport,Gillette,United States,KGCC,1,97,8
716,RDD,40.50899887,-122.2929993,Redding Municipal Airport,Redding,United States,KRDD,1,94,4
635,IPT,41.241798400878906,-76.92109680175781,Williamsport Regional Airport,Williamsport,United States,KIPT,1,88,2
534,BTM,45.95479965209961,-112.49700164794922,Bert Mooney Airport,Butte,United States,KBTM,1,55,2
563,CLD,33.12829971,-117.2799988,Mc Clellan-Palomar Airport,Carlsbad,United States,KCRQ,1,10,3
567,CYS,41.15570068,-104.8119965,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,KCYS,1,7,8
