source,target,weight,global_score
571,733,8269,8269
571,647,7566,7566
700,730,6956,6956
730,663,6626,6626
597,702,5512,5512
554,730,5468,5468
700,736,4778,4778
554,736,4506,4506
730,673,4457,4457
575,720,4081,4081
733,648,3959,3959
571,702,3906,3906
571,730,3664,3664
506,723,3563,3563
645,648,3288,3288
663,723,3164,3164
625,702,3011,3011
597,730,2933,2933
702,673,2758,2758
591,736,2659,2659
597,682,2645,2645
571,736,2642,2642
506,2190,2637,2637
647,648,2605,2605
506,498,2532,2532
571,578,2523,2523
691,2190,2470,2470
2191,574,2252,2252
682,720,2139,2139
506,691,2130,2130
