source,target,weight,gloss_alpha
625,702,3011,0.0126852
627,720,2039,0.0382855
691,712,2113,0.0486881
645,648,3288,0.050113
579,691,1005,0.0548608
2191,574,2252,0.0566453
575,613,1390,0.0624187
700,736,4778,0.0682557
554,736,4506,0.0770344
591,736,2659,0.0777135
575,720,4081,0.0784779
579,506,927,0.0854113
597,682,2645,0.101301
2189,673,1628,0.112727
663,723,3164,0.11444
506,498,2532,0.12831
691,529,1387,0.132082
506,723,3563,0.133861
691,575,1423,0.134915
625,2189,829,0.14093
733,645,2004,0.146596
574,682,1050,0.149173
591,2189,1236,0.149429
682,720,2139,0.150315
691,627,1024,0.152724
574,691,1141,0.155672
506,574,1218,0.157444
571,653,1691,0.161086
506,691,2130,0.161233
691,2190,2470,0.162501
