source,target,weight,lans_alpha
571,733,8269,0.0
571,647,7566,0.0
700,730,6956,0.0
730,663,6626,0.0
597,702,5512,0.0
554,730,5468,0.0
700,736,4778,0.0
730,673,4457,0.0
575,720,4081,0.0
733,648,3959,0.0
506,723,3563,0.0
645,648,3288,0.0
625,702,3011,0.0
591,736,2659,0.0
597,682,2645,0.0
506,2190,2637,0.0
506,498,2532,0.0
571,578,2523,0.0
691,2190,2470,0.0
2191,574,2252,0.0
691,712,2113,0.0
627,720,2039,0.0
571,653,1691,0.0
2189,673,1628,0.0
575,613,1390,0.0
691,529,1387,0.0
579,691,1005,0.0
700,624,123,0.0
529,519,113,0.0
506,490,109,0.0
