source,target,weight,mlf_score
571,733,8269,709.782712893384
571,647,7566,709.782712893384
700,730,6956,709.782712893384
730,663,6626,709.782712893384
597,702,5512,709.782712893384
554,730,5468,709.782712893384
700,736,4778,709.782712893384
554,736,4506,709.782712893384
730,673,4457,709.782712893384
575,720,4081,709.782712893384
733,648,3959,709.782712893384
571,702,3906,709.782712893384
506,723,3563,709.782712893384
645,648,3288,709.782712893384
663,723,3164,709.782712893384
625,702,3011,709.782712893384
702,673,2758,709.782712893384
591,736,2659,709.782712893384
597,682,2645,709.782712893384
506,2190,2637,709.782712893384
506,498,2532,709.782712893384
571,578,2523,709.782712893384
691,2190,2470,709.782712893384
2191,574,2252,709.782712893384
682,720,2139,709.782712893384
691,712,2113,709.782712893384
627,720,2039,709.782712893384
733,645,2004,709.782712893384
597,498,1896,709.782712893384
571,653,1691,709.782712893384
