source,target,weight,nc_alpha
571,733,8269,0.0
571,647,7566,0.0
700,730,6956,0.0
730,663,6626,0.0
597,702,5512,0.0
554,730,5468,0.0
700,736,4778,0.0
554,736,4506,0.0
730,673,4457,0.0
575,720,4081,0.0
733,648,3959,0.0
571,702,3906,0.0
571,730,3664,0.0
506,723,3563,0.0
645,648,3288,0.0
663,723,3164,0.0
625,702,3011,0.0
597,730,2933,0.0
702,673,2758,0.0
591,736,2659,0.0
597,682,2645,0.0
571,736,2642,0.0
506,2190,2637,0.0
647,648,2605,0.0
506,498,2532,0.0
571,578,2523,0.0
691,2190,2470,0.0
2191,574,2252,0.0
682,720,2139,0.0
506,691,2130,0.0
