source,target,weight,mlf_score
571,733,8269,709.782712893384
571,647,7566,709.782712893384
700,730,6956,709.782712893384
730,663,6626,709.782712893384
597,702,5512,709.782712893384
554,730,5468,709.782712893384
700,736,4778,709.782712893384
554,736,4506,709.782712893384
730,673,4457,709.782712893384
575,720,4081,709.782712893384
733,648,3959,709.782712893384
571,702,3906,709.782712893384
506,723,3563,709.782712893384
645,648,3288,709.782712893384
663,723,3164,709.782712893384
625,702,3011,709.782712893384
702,673,2758,709.782712893384
591,736,2659,709.782712893384
597,682,2645,709.782712893384
506,2190,2637,709.782712893384
506,498,2532,709.782712893384
571,578,2523,709.782712893384
691,2190,2470,709.782712893384
2191,574,2252,709.782712893384
682,720,2139,709.782712893384
691,712,2113,709.782712893384
627,720,2039,709.782712893384
733,645,2004,709.782712893384
597,498,1896,709.782712893384
571,653,1691,709.782712893384
2189,673,1628,709.782712893384
720,673,1568,709.782712893384
554,578,1501,709.782712893384
498,647,1501,709.782712893384
591,578,1455,709.782712893384
575,613,1390,709.782712893384
682,498,1358,709.782712893384
2191,682,1268,709.782712893384
2191,591,1266,709.782712893384
591,2189,1236,709.782712893384
575,712,1205,709.782712893384
529,723,1115,709.782712893384
682,712,1044,709.782712893384
597,613,926,709.782712893384
625,2189,829,709.782712893384
579,653,829,709.782712893384
627,613,827,709.782712893384
2191,700,1216,687.8087378610412
647,648,2605,658.8001889426395
647,653,925,536.0483805350599
702,578,1460,506.787786574546
627,712,701,504.9707715629543
730,2190,1651,494.97226238929886
597,730,2933,465.5325621422946
682,2190,977,426.0034849019337
571,736,2642,417.62099952643
702,653,930,413.2955104621352
647,578,1185,404.0025010739938
645,529,1004,392.5066749006351
529,519,113,310.44002197573826
579,2189,532,299.8473279858826
574,648,1706,290.9902735610343
700,624,123,290.32782962975523
506,578,1316,284.2187819545303
529,2207,103,283.2080431794002
702,2189,957,277.6770899346505
2191,597,826,274.1686653597821
648,529,1378,245.4113903467986
574,2219,97,245.31579922650013
691,529,1387,244.52206971882617
2189,736,730,234.20759953734984
554,498,822,232.5756726564711
597,720,1054,218.4957286522336
506,490,109,214.0619480175384
700,635,88,208.4784331927626
733,716,94,207.37350087317665
682,723,748,188.79137863344104
554,653,577,188.0268080184049
579,578,523,174.8845974813856
579,691,1005,172.49515305395678
720,663,940,158.56681542674406
571,730,3664,143.10844683028435
647,645,1034,142.70548012343838
736,534,55,132.7519205969595
627,575,962,113.0526060982104
591,613,366,109.2878460763614
574,702,1479,106.50484754099378
574,682,1050,99.88819759136874
645,663,813,87.72777756139573
579,627,516,85.70710338764573
627,648,1035,83.30606867154854
574,736,1085,82.93933596105235
691,648,1777,81.52194949641807
574,647,1192,79.49557582207031
575,648,1513,78.32812700270208
691,627,1024,75.2000069090016
506,529,1275,73.76612817547591
506,691,2130,72.6717000227867
625,648,737,62.52063994578893
733,529,995,58.936652295195564
571,613,540,58.55251440931868
574,575,1051,53.91749426146433
579,506,927,52.155347033612266
591,663,898,51.93382373021609
647,2189,524,50.96462727326705
691,575,1423,47.47189688625576
579,574,557,46.17554980673368
579,591,516,44.73367479466923
682,2189,431,44.45765807077965
591,529,665,44.21126231588057
700,529,819,42.51824757089471
579,575,631,38.74461384110639
575,653,367,35.307613495809264
554,613,317,32.782943168141585
574,691,1141,30.565884439830263
506,613,437,30.03537534928361
625,574,478,29.951518523551
571,529,1227,29.68823463320449
506,673,1273,29.104742044281256
579,529,422,28.691715917965077
574,627,627,25.067550916158936
648,563,10,23.5332347921047
506,663,1473,23.01933717001414
645,673,545,21.94949904989357
691,682,1153,21.17582103079151
574,567,7,19.349232477465485
730,712,590,18.703728685282154
506,575,1564,16.889338922459768
700,579,546,16.23725643466454
625,579,272,15.982273109828764
591,733,956,15.924268891726609
579,554,546,15.801971599258556
625,554,493,13.101371383994255
597,506,1452,12.624509182251014
625,733,566,11.95000586205445
648,2190,535,11.42709484652459
554,645,635,11.05752777295316
2191,571,661,10.318541839104826
625,506,702,10.25847334784074
733,712,362,9.88097055398556
625,529,329,9.104153813634172
575,2189,372,8.584734911051513
627,673,509,8.300156310475241
733,647,1253,7.45417895793149
506,627,949,7.357203435641228
691,733,1380,6.662266961295335
506,574,1218,5.528220281705249
574,733,950,4.820309750826838
712,736,278,4.630704800445814
597,591,714,4.278807814898647
2191,554,370,3.1212909009585563
625,723,191,2.740051059452468
625,498,177,2.677063551173408
625,645,264,2.639405920555532
