source,target,weight,pf_alpha
506,682,828,1.40826865914573e-05
682,529,472,2.4399720643857e-05
682,723,748,5.55384482225393e-05
682,673,210,6.87564896154265e-05
554,723,157,7.89781820165937e-05
571,723,123,0.0002469944380956
554,648,290,0.0007704537537372
645,723,230,0.0008122034434917
579,673,265,0.0013378622136881
682,575,651,0.0013794201241005
700,574,464,0.0022270037992778
700,663,809,0.0024732831642041
700,647,308,0.005107556812585
579,647,431,0.0093011516045758
700,736,4778,0.0108099510768858
648,663,816,0.0113873080622369
682,498,1358,0.0139126142001279
663,673,403,0.0149614536705768
2191,700,1216,0.0159604784292276
579,648,382,0.0179148421915368
647,2190,145,0.0224593990992896
645,736,254,0.0232153590160902
554,730,5468,0.023342802004424
733,712,362,0.0236793251756642
2189,736,730,0.0310221795763917
571,673,447,0.0316965031499456
648,673,594,0.0321113045993287
700,648,450,0.03422850787564
627,682,508,0.0370038992722629
625,574,478,0.0432984031985458
