0 1 0.99989 2
0 2 0.523673 4
0 3 1 1
0 4 0.999896 2
0 5 0.99604 1
0 6 1 1
0 7 1 1
0 8 1 1
0 9 0.999992 2
0 10 1 1
0 11 0.999641 2
0 12 1 1
0 13 1 1
0 14 0.997876 1
0 15 1 1
1 2 0.999684 47
1 3 0.42721 7
1 4 0.983923 29
1 5 0.0104343 2
1 6 0.227599 1
1 7 0.245901 5
1 9 0.441731 4
1 10 0.469249 3
1 11 0.0676143 6
1 13 0.209053 11
1 14 0.246905 7
1 16 0.737593 2
1 17 0.297545 12
1 18 0.936135 17
1 19 0.350109 5
1 20 0.434143 1
1 21 0.258529 8
1 22 0.81421 3
1 23 0.999992 1
1 24 0.816372 3
1 25 1 1
1 26 0.999968 1
1 27 0.23853 2
1 28 0.48296 2
1 29 0.915475 8
2 3 0.399612 17
2 4 0.999711 38
2 5 0.0158538 5
2 6 0.600695 2
2 7 0.424734 3
2 8 0.993674 2
2 9 0.405604 8
2 10 0.67359 3
2 11 0.123608 5
2 13 0.181278 18
2 14 0.671745 10
2 15 0.999925 2
2 16 0.864057 2
2 17 0.403058 10
2 18 0.998344 28
2 19 0.247281 17
2 20 0.999544 2
2 21 0.178498 16
2 30 0.999997 1
2 22 0.590048 5
2 31 0.750047 3
2 23 0.000337004 6
2 24 0.301275 5
2 28 0.505527 3
2 29 0.910706 17
2 32 1 1
2 33 1 1
2 34 1 1
2 35 1 1
3 4 0.311748 14
3 5 0.0135599 2
3 9 0.0878057 2
3 12 1 1
3 13 0.473738 2
3 14 0.99783 1
3 16 0.589681 1
3 17 0.999991 1
3 18 0.192158 15
3 19 0.544021 4
3 25 1 1
3 28 1 1
3 29 0.294326 6
3 33 1 1
4 5 0.00954503 5
4 7 0.963429 2
4 9 0.0208746 13
4 10 0.999807 1
4 11 1 1
4 13 0.330895 7
4 14 0.279236 4
4 17 0.452743 6
4 18 0.915733 20
4 19 0.294138 8
4 21 1 1
4 30 0.999983 1
4 22 0.858804 1
4 36 0.63612 1
4 23 0.649859 2
4 24 0.992869 2
4 25 0.618429 2
4 26 0.783048 2
4 28 1 1
4 29 0.849457 16
4 33 1 1
5 9 1 1
5 14 0.922846 1
5 18 0.0044579 7
5 19 0.996159 1
5 20 0.018805 2
5 27 1 1
6 7 0.983556 2
6 8 0.135587 2
6 9 0.173162 2
6 10 0.0296398 4
6 11 1 1
6 12 0.999706 2
6 15 1 1
6 18 0.390299 1
6 22 0.483508 1
6 24 0.999973 1
6 25 0.111721 6
6 26 0.992527 2
6 27 0.264129 3
6 28 1 1
6 32 0.853591 1
6 33 0.940699 2
6 34 0.252614 3
6 35 0.0613353 1
6 37 0.863698 2
6 38 0.0239962 2
6 39 0.122006 2
6 40 0.0124403 2
6 41 0.999817 1
7 8 0.987476 2
7 9 0.246854 3
7 10 0.269888 4
7 11 1 1
7 13 0.246029 2
7 15 0.999998 1
7 17 1 1
7 18 0.990448 2
7 21 1 1
7 36 0.441546 3
7 24 0.981434 2
7 28 0.11025 4
7 33 1 1
7 34 1 1
7 37 1 1
7 41 0.985859 2
8 9 0.999652 1
8 10 0.287176 4
8 11 1 1
8 12 0.781166 3
8 15 0.875049 3
8 24 0.998031 2
8 25 1 1
8 26 1 1
8 27 1 1
8 28 1 1
8 32 1 1
8 33 0.209751 3
8 34 0.708216 2
8 37 0.177174 4
8 38 0.41669 4
8 42 0.999984 1
8 39 1 1
8 40 1 1
8 41 0.904768 7
9 10 0.999282 1
9 11 1 1
9 13 0.912099 2
9 14 1 1
9 15 1 1
9 18 0.227861 5
9 19 0.114987 2
9 21 1 1
9 30 0.999869 1
9 24 0.993917 2
9 25 0.252524 3
9 26 1 1
9 28 1 1
9 33 1 1
9 34 1 1
9 37 1 1
10 11 0.075901 2
10 12 0.999428 2
10 13 1 1
10 15 0.853854 3
10 20 1 1
10 36 0.865541 1
10 25 1 1
10 26 0.995967 2
10 28 0.0471195 8
10 32 0.81061 2
10 33 0.284684 3
10 34 0.299051 3
10 35 0.9999 2
10 37 0.0910048 6
10 42 0.999948 1
10 41 0.0379768 6
11 12 1 1
11 13 0.139885 2
11 15 1 1
11 17 1 1
11 18 0.153946 4
11 21 1 1
11 29 1 1
11 37 1 1
12 15 0.997 2
12 17 1 1
12 24 0.00532043 2
12 33 0.796871 2
12 34 0.80385 2
12 37 0.502315 3
12 41 0.00124215 2
13 14 0.0132034 2
13 17 0.975365 2
13 18 0.417689 5
13 19 0.428413 2
13 21 0.420798 4
13 22 0.584914 1
13 31 0.0605362 1
13 23 1 1
13 24 0.920832 2
13 29 0.999735 1
13 35 0.102072 1
14 18 0.302458 2
14 19 0.0227563 2
14 21 0.996866 1
14 29 0.0499442 7
15 18 1 1
15 24 1 1
15 33 0.999645 2
15 34 0.999644 2
15 37 0.999612 2
15 41 0.996771 2
16 17 0.508673 1
16 18 0.75811 3
16 19 0.497051 2
16 20 0.0427954 1
17 18 0.134295 18
17 19 0.999992 1
17 21 0.999957 1
17 30 0.756481 3
17 22 0.618186 1
17 36 0.998748 1
18 19 0.206792 9
18 20 0.14462 4
18 21 0.224752 7
18 30 0.0751113 3
18 22 0.854586 1
18 36 0.286704 1
18 31 0.143632 1
18 26 0.999992 1
18 27 0.200051 2
18 28 1 1
18 29 0.886071 4
18 33 0.80524 2
18 34 0.841625 2
18 37 1 1
19 20 0.293553 1
19 21 0.261226 7
19 31 2.43575e-10 2
19 24 0.387359 3
19 25 0.409057 2
19 29 0.148351 2
19 40 0.997935 1
20 21 0.0415787 2
20 28 0.299061 1
21 30 1 1
21 31 4.64064e-11 2
21 23 1 1
21 24 0.180897 3
21 29 0.998379 1
22 36 0.0380053 1
23 31 1 1
23 29 1 1
24 31 0.31398 1
24 25 0.999998 1
25 26 0.13874 5
25 27 0.254447 4
25 28 0.100769 5
25 33 0.173547 5
25 34 0.164902 5
25 35 0.10519 1
25 37 0.283783 3
25 38 0.073038 2
25 39 0.00175878 5
25 40 0.00074295 4
26 27 0.00948471 6
26 28 0.040133 9
26 39 0.0246489 2
26 40 0.981752 1
27 28 0.0849169 6
27 29 1 1
27 32 1 1
27 33 0.340503 4
27 34 0.566543 2
27 37 1 1
27 38 0.983547 1
27 39 6.58725e-12 2
27 40 1 1
27 41 1 1
28 36 1 1
28 33 0.255053 2
28 34 0.242913 2
28 39 0.000960621 2
28 40 0.99978 1
32 33 0.0471056 9
32 34 0.0258793 8
32 35 0.0479199 1
32 37 0.0665284 6
32 41 0.302971 6
33 34 0.0439653 22
33 35 0.096943 1
33 37 0.17818 15
33 41 0.454109 12
34 35 0.0941258 1
34 37 0.162254 13
34 38 0.564744 1
34 39 0.997818 1
34 40 0.99883 1
34 41 0.319929 10
37 38 0.431633 4
37 42 0.917834 4
37 39 0.0115755 3
37 40 0.998506 1
37 41 0.352493 17
38 42 0.567322 3
38 39 0.204921 4
38 40 0.00318955 3
38 41 0.587765 1
39 42 0.292643 2
39 40 0.000541999 4
40 42 1 1
41 42 1 1
