source,target,weight,p_values
1,2002,10,0.573406890783185
1,2,7,0.064664513350323
2,3,24,0.836128468865273
2,2002,22,0.201085116356147
2,16,19,0.269667577027396
2,1029,17,0.469922419724902
2,1666,49,0.387212619138774
3,2002,11,0.254989678195394
3,2018,1,0.0275583483546902
3,2019,2,0.327800801511285
4,1011,5,0.150540127896667
4,1190,5,0.00892206651417937
4,1666,22,0.897528096822012
5,16,48,0.785016237662447
6,16,28,0.286936399693587
7,16,35,0.352285724393352
8,16,50,0.607311762549333
9,12,4,0.606429866678189
9,16,49,0.52614101251074
10,16,41,0.0386921143749239
11,16,54,0.529218437648707
11,2020,12,0.52614101251074
12,16,93,0.429053982917424
12,2020,6,0.0797669371653289
13,16,4,0.153719958329944
14,16,9,0.529218437648707
15,16,10,0.929963681108167
16,2021,6,0.445678689178166
16,2022,45,0.926954540131068
16,1008,36,0.109631734730815
16,1659,29,0.665656717179431
16,1666,132,0.431421817142978
16,1668,55,0.196121422660552
16,1733,150,0.372610142967155
15,2021,3,0.326122009183811
9,2022,12,0.435609149428108
12,2022,12,0.683529563477445
11,17,22,0.262014447423668
17,2020,20,0.519976458234778
16,2023,9,0.828145424003588
16,2020,20,0.380290226994523
18,21,9,0.535910001640922
18,23,9,0.516992423675459
19,20,11,0.492487967510675
19,23,16,0.492992897464882
20,21,100,0.382556602374525
20,22,8,0.438849376993233
20,23,77,0.576855980909027
20,2024,81,0.411547479505077
21,23,60,0.421762692391086
21,2025,4,0.892355979136505
21,2026,6,0.271605990108132
22,23,8,0.730284698724503
23,2024,33,0.46485303026564
23,292,20,0.116023476713018
24,2026,30,0.230215853483422
25,157,77,0.349171517380302
25,193,310,0.217116636108767
25,196,68,0.30505290104387
25,199,95,0.500000000000003
25,204,413,0.386387797412885
25,225,173,0.493222757425313
25,237,64,0.394417215248783
25,246,53,0.35990937038237
25,248,43,0.507098011546824
25,257,101,0.758269240725105
25,259,154,0.504637362140751
25,272,33,0.370211672297998
25,273,18,0.0582490539947766
25,280,258,0.524259465430168
25,291,117,0.209413710305407
25,292,183,0.447222211285382
25,301,116,0.380481628946633
25,308,115,0.602468510814251
25,365,59,0.551782336336561
25,529,99,0.641102960649369
25,574,128,0.840279163068195
25,591,100,0.131413966161846
25,625,123,0.60256566772819
25,645,126,0.0966155658497401
25,730,189,0.96220026908817
25,754,87,0.778002809340793
25,806,95,0.232267233297433
25,810,132,0.835907653049961
25,893,349,0.588899878593723
26,199,267,0.343991043238094
26,201,234,0.54281359687137
26,203,182,0.5
26,204,197,0.101459974762445
26,208,132,0.104920402250775
26,209,218,0.486626953661931
26,210,121,0.788392399956375
26,292,170,0.803419829132744
26,810,99,0.525452273178534
26,862,46,0.55409200004768
26,875,65,0.447546644581933
