source,target,weight,p_values
Aemon,Grenn,5,0.88411151003826
Aemon,Samwell,31,0.0662331577312327
Aerys,Jaime,18,0.0500908751947295
Aerys,Robert,6,0.0949982906389857
Aerys,Tyrion,5,0.71727169607242
Aerys,Tywin,8,0.540457366210719
Alliser,Mance,5,0.0612420365525954
Amory,Oberyn,5,0.770767609821611
Arya,Anguy,11,0.0952314264199402
Arya,Beric,23,0.324976810722414
Arya,Bran,9,0.521426124286621
Arya,Brynden,6,0.261529998332054
Arya,Cersei,5,0.222060932665435
Arya,Gendry,43,0.00202815377871524
Arya,Gregor,7,0.594058848839523
Arya,Jaime,11,0.803534932965204
Arya,Joffrey,6,0.0525573786266841
Arya,Jon,7,0.657857257451911
Arya,Rickon,8,0.799597391496109
Arya,Robert,4,0.569720930875164
Arya,Roose,5,0.71727169607242
Arya,Sandor,46,0.854124456368431
Arya,Thoros,18,0.238411992053579
Arya,Tyrion,5,0.121054373143215
Balon,Loras,4,0.835705162830303
Belwas,Barristan,18,0.700550346668934
Belwas,Illyrio,10,0.663911548930003
Beric,Anguy,4,0.719148913092024
Beric,Gendry,4,0.537636014864059
Beric,Thoros,21,0.0127471174324756
Bran,Hodor,96,0.0769018028089274
Bran,Jojen,46,0.00222737099145531
Bran,Jon,12,0.163736486061399
Bran,Luwin,4,0.794888965647965
Bran,Meera,54,0.00353605856701689
Bran,Nan,14,0.888422549759308
Bran,Rickon,35,0.68614571525508
Bran,Samwell,11,0.0664504084125244
Bran,Theon,11,0.587955997284308
Brienne,Loras,7,0.0460343794312226
Bronn,Gregor,5,0.618649275308661
Bronn,Podrick,19,0.68614571525508
Brynden,Lothar,4,0.403834496663369
Brynden,Walder,5,0.00319345684598926
Catelyn,Bran,4,0.261529998332054
Catelyn,Brienne,7,0.856443784094294
Catelyn,Brynden,8,0.808436237630083
Catelyn,Cersei,4,0.0969580732840201
Catelyn,Edmure,16,0.754268124318247
Catelyn,Hoster,9,0.0769337047197345
Catelyn,Jaime,19,0.222981954598469
Catelyn,Jeyne,10,0.0149368776126003
Catelyn,Lysa,8,0.626855767242606
Catelyn,Petyr,5,0.201193989967373
Catelyn,Robb,43,7.14379546672417e-05
Catelyn,Roose,4,0.760821043420677
Catelyn,Roslin,6,0.612231288779038
Catelyn,Sansa,8,0.71235497582804
Catelyn,Stannis,4,0.0235891013354139
Catelyn,Tyrion,5,0.414793168366117
Catelyn,Walder,19,0.540457366210719
Cersei,Brienne,5,0.839439173045283
Cersei,Bronn,4,0.000842632099473217
Cersei,Elia,4,0.25099320113211
Cersei,Gregor,6,0.715170148443968
Cersei,Ilyn,7,0.778405358576564
Cersei,Jaime,36,0.331977519302906
Cersei,Joffrey,23,0.287478999156873
Cersei,Meryn,10,0.71727169607242
Cersei,Pycelle,4,0.220105064180583
Cersei,Robert,16,0.140823377569512
Cersei,Sandor,6,0.731250301315683
Cersei,Shae,4,0.473753927913923
Cersei,Tyrion,46,0.364480694100218
Cersei,Varys,4,0.583521251491803
Craster,Karl,6,0.467305611938923
Daario,Drogo,4,0.124386779637669
Daario,Irri,5,0.631169387159169
Daenerys,Aegon,8,0.556456157485081
Daenerys,Barristan,20,0.583521251491803
Daenerys,Belwas,26,0.852545647626601
Daenerys,Daario,14,0.626855767242606
Daenerys,Drogo,18,0.156792627648785
Daenerys,Irri,17,0.732320551344664
