source,target,weight,p_values
Napoleon,Myriel,1,0.85634431277935
MlleBaptistine,Myriel,8,0.0340512288485213
MmeMagloire,Myriel,10,0.00884528690611397
MmeMagloire,MlleBaptistine,6,0.483043048288584
CountessDeLo,Myriel,1,0.85634431277935
Geborand,Myriel,1,0.85634431277935
Champtercier,Myriel,1,0.85634431277935
Cravatte,Myriel,1,0.85634431277935
Count,Myriel,2,0.653936391185468
OldMan,Myriel,1,0.85634431277935
Valjean,Myriel,1,0.85634431277935
Valjean,MlleBaptistine,3,0.601289563002388
Valjean,MmeMagloire,3,0.601289563002388
Valjean,Labarre,5,0.335171315585587
Marguerite,Valjean,1,0.872415773578758
MmeDeR,Valjean,1,0.905711197138765
Isabeau,Valjean,1,0.905711197138765
Gervais,Valjean,1,0.905711197138765
Listolier,Tholomyes,4,0.421495739666762
Fameuil,Tholomyes,4,0.421495739666762
Fameuil,Listolier,4,0.44223364110192
Blacheville,Tholomyes,4,0.421495739666762
Blacheville,Listolier,4,0.462197519513132
Blacheville,Fameuil,4,0.44223364110192
Favourite,Tholomyes,3,0.577853888960312
Favourite,Listolier,3,0.613845390376257
Favourite,Fameuil,3,0.59634755912282
Favourite,Blacheville,4,0.462197519513132
Dahlia,Tholomyes,3,0.558309120298616
Dahlia,Listolier,3,0.558309120298616
Dahlia,Fameuil,3,0.558309120298616
Dahlia,Blacheville,3,0.558309120298616
Dahlia,Favourite,5,0.271886625701421
Zephine,Tholomyes,3,0.577853888960312
Zephine,Listolier,3,0.660899542392144
Zephine,Fameuil,3,0.59634755912282
Zephine,Blacheville,3,0.613845390376257
Zephine,Favourite,4,0.462197519513132
Zephine,Dahlia,4,0.399983589920557
Fantine,Valjean,3,0.576189533927456
Fantine,Marguerite,3,0.362477690288828
Fantine,Tholomyes,3,0.576189533927456
Fantine,Listolier,3,0.576189533927456
Fantine,Fameuil,4,0.425884481988211
Fantine,Blacheville,4,0.425884481988211
Fantine,Favourite,4,0.425884481988211
Fantine,Dahlia,2,0.733711675802164
Fantine,Zephine,9,0.0580707632844883
MmeThenardier,Valjean,2,0.759185899089802
MmeThenardier,Fantine,7,0.139411184587207
Thenardier,Valjean,13,0.00303364581040155
Thenardier,Fantine,1,0.870932220814632
Thenardier,MmeThenardier,12,0.00565406739867436
Cosette,Valjean,4,0.456401507757275
Cosette,Tholomyes,31,1.6846470018983e-07
Cosette,MmeThenardier,1,0.915893774045696
Cosette,Thenardier,1,0.870932220814632
Javert,Valjean,17,0.000183615925343106
Javert,Fantine,5,0.221834337587679
Javert,MmeThenardier,5,0.221834337587679
Javert,Thenardier,1,0.866796350957843
Javert,Cosette,1,0.866796350957843
Fauchelevent,Valjean,8,0.0307877712765436
Fauchelevent,Javert,1,0.866796350957843
Bamatabois,Valjean,1,0.778809146349712
Bamatabois,Fantine,1,0.778809146349712
Bamatabois,Javert,2,0.512790191451849
Perpetue,Fantine,1,0.709128271741242
Simplice,Valjean,2,0.566785898416903
Simplice,Fantine,3,0.337004102086837
Simplice,Javert,2,0.566785898416903
Simplice,Perpetue,1,0.709128271741242
Scaufflaire,Valjean,1,0.905711197138765
Woman1,Valjean,2,0.5
Woman1,Javert,1,0.813692407611862
Judge,Valjean,3,0.365972176197915
Judge,Bamatabois,2,0.512790191451849
Champmathieu,Valjean,3,0.365972176197915
Champmathieu,Bamatabois,3,0.298411295264905
Champmathieu,Judge,2,0.5812591057171
Brevet,Valjean,2,0.471655609538877
Brevet,Bamatabois,2,0.471655609538877
Brevet,Judge,2,0.471655609538877
Brevet,Champmathieu,1,0.756971201172331
Chenildieu,Valjean,2,0.471655609538877
Chenildieu,Bamatabois,2,0.471655609538877
Chenildieu,Judge,2,0.471655609538877
Chenildieu,Champmathieu,2,0.471655609538877
Chenildieu,Brevet,1,0.756971201172331
Cochepaille,Valjean,2,0.511704866949363
Cochepaille,Bamatabois,2,0.511704866949363
Cochepaille,Judge,2,0.511704866949363
Cochepaille,Champmathieu,2,0.511704866949363
Cochepaille,Brevet,2,0.471655609538877
Cochepaille,Chenildieu,1,0.756971201172331
Pontmercy,Thenardier,1,0.870932220814632
Boulatruelle,Thenardier,1,0.870932220814632
Eponine,MmeThenardier,2,0.778989895728964
Eponine,Thenardier,3,0.501298146245689
Anzelma,MmeThenardier,2,0.506665069853612
Anzelma,Thenardier,2,0.506665069853612
Anzelma,Eponine,1,0.79470993566712
Woman2,Valjean,3,0.254108142839097
Woman2,Cosette,1,0.79470993566712
Woman2,Javert,1,0.79470993566712
MotherInnocent,Valjean,3,0.362477690288828
MotherInnocent,Fauchelevent,1,0.872415773578758
Gribier,Fauchelevent,2,0.72610033476753
MmeBurgon,Jondrette,1,0.709128271741242
Gavroche,Valjean,2,0.759185899089802
Gavroche,Thenardier,1,0.870932220814632
Gavroche,Javert,1,0.866796350957843
Gavroche,MmeBurgon,1,0.709128271741242
Gillenormand,Valjean,3,0.262516406897156
Gillenormand,Cosette,2,0.478974512362079
Magnon,MmeThenardier,1,0.709128271741242
Magnon,Gillenormand,1,0.709128271741242
MlleGillenormand,Valjean,9,0.0241036211159841
MlleGillenormand,Cosette,2,0.70202279644332
MlleGillenormand,Gillenormand,2,0.478974512362079
MmePontmercy,Pontmercy,1,0.709128271741242
MmePontmercy,MlleGillenormand,1,0.709128271741242
MlleVaubois,MlleGillenormand,1,0.881746029165559
LtGillenormand,Cosette,2,0.566785898416903
LtGillenormand,Gillenormand,1,0.759351393768041
LtGillenormand,MlleGillenormand,1,0.819092066923252
Marius,Valjean,6,0.239709330511182
Marius,Tholomyes,12,0.115493272571939
Marius,Thenardier,1,0.870932220814632
Marius,Cosette,1,0.927133416343928
Marius,Pontmercy,21,0.00157699239342346
Marius,Eponine,19,0.000470954555795156
Marius,Gavroche,1,0.908015417763606
Marius,Gillenormand,2,0.478974512362079
Marius,MlleGillenormand,5,0.23007314809576
Marius,LtGillenormand,4,0.171730454482767
BaronessT,Gillenormand,1,0.709128271741242
BaronessT,Marius,1,0.709128271741242
Mabeuf,Eponine,1,0.898149773705802
Mabeuf,Gavroche,1,0.898149773705802
Mabeuf,Marius,1,0.898149773705802
Enjolras,Valjean,7,0.167733223432693
Enjolras,Javert,7,0.0863434956241863
Enjolras,Gavroche,6,0.241401081461285
Enjolras,Marius,1,0.916549765843835
Enjolras,Mabeuf,4,0.41811401230826
Combeferre,Gavroche,15,0.00520144867255856
Combeferre,Marius,5,0.409884425000528
Combeferre,Mabeuf,6,0.198588303911873
Combeferre,Enjolras,2,0.781450531713867
Prouvaire,Gavroche,1,0.870707578955306
Prouvaire,Enjolras,4,0.333613608337384
Prouvaire,Combeferre,2,0.681555172512881
Feuilly,Gavroche,2,0.711975892134814
Feuilly,Marius,6,0.166302802913803
Feuilly,Mabeuf,2,0.711975892134814
Feuilly,Enjolras,5,0.25569818988236
Feuilly,Combeferre,1,0.884919356654018
Feuilly,Prouvaire,1,0.870707578955306
Courfeyrac,Eponine,9,0.0843303121386084
Courfeyrac,Gavroche,17,0.00192590104747081
Courfeyrac,Marius,13,0.046203033595045
Courfeyrac,Mabeuf,7,0.130089364816159
Courfeyrac,Enjolras,2,0.781450531713867
Courfeyrac,Combeferre,1,0.929614299745212
Courfeyrac,Prouvaire,6,0.131013815355306
Courfeyrac,Feuilly,3,0.533398545389234
Bahorel,Gavroche,5,0.183214728917594
Bahorel,Marius,5,0.183214728917594
Bahorel,Mabeuf,6,0.108800266940545
Bahorel,Enjolras,2,0.645716339478163
Bahorel,Combeferre,4,0.294941188415544
Bahorel,Prouvaire,3,0.45059467419434
Bahorel,Feuilly,2,0.645716339478163
Bahorel,Courfeyrac,1,0.851406741876488
Bossuet,Valjean,5,0.335171315585587
Bossuet,Gavroche,12,0.0212171767902422
Bossuet,Marius,5,0.428295703121467
Bossuet,Mabeuf,4,0.41811401230826
Bossuet,Enjolras,10,0.05763322004517
Bossuet,Combeferre,6,0.305714617020725
Bossuet,Prouvaire,2,0.681555172512881
Bossuet,Feuilly,9,0.0373970150197444
Bossuet,Courfeyrac,1,0.932902110980088
Bossuet,Bahorel,1,0.851406741876488
Joly,Gavroche,5,0.299244925166795
Joly,Marius,7,0.13505337917538
Joly,Mabeuf,3,0.570812968863653
Joly,Enjolras,5,0.299244925166795
Joly,Combeferre,5,0.299244925166795
