source,target,weight,p_values
27,132,49,0.448554042316142
132,40,31,0.113165231352387
132,43,190,0.663345024137066
132,47,264,0.434214072664473
132,48,94,0.199004988385092
132,52,24,0.375630538123485
132,53,873,0.329308395205253
132,79,221,0.43842400293675
132,88,706,0.691899848050697
132,89,548,0.264862783274364
132,94,126,0.525046090595015
132,98,72,0.823594779772053
132,99,151,0.383608808291147
132,108,246,0.540763162379139
132,109,236,0.521482188707387
132,114,49,0.4941249478084
132,128,265,0.494631135994718
132,134,239,0.385889702407023
132,2054,124,0.441682736141602
132,138,162,0.584657437026876
132,139,147,0.415462033034785
132,140,183,0.423444636727657
132,145,350,0.888255406804362
132,1984,203,0.274622993834879
132,148,164,0.726013064480574
132,150,1164,0.467869168794793
132,2055,110,0.12118988947229
132,2056,107,0.233229207862733
132,153,853,0.352110971106243
132,157,1229,0.217982881816786
132,2057,44,0.307695335837324
132,2058,58,0.5
132,2059,26,0.389021827365453
132,574,178,0.494861577303318
132,575,193,0.397069017356069
132,591,4997,0.36204379302939
132,627,2221,0.511417017604605
132,645,2007,0.774147071326444
132,647,196,0.506311952816864
132,648,606,0.372821883585889
132,682,1052,0.0604365641588101
132,691,336,0.528882937382554
132,697,296,0.210700509594026
132,702,360,0.450107629831947
132,712,652,0.383105167054699
132,730,799,0.609049283080885
132,733,473,0.558225568663796
132,736,573,0.650721629162223
132,738,971,0.856293968197433
132,965,170,0.13419672315348
132,971,788,0.61061788377073
132,974,384,0.0998183199512193
132,981,91,0.959666629709491
132,1183,366,0.797842106455026
132,1184,400,0.235705265844385
132,1187,1312,0.862535474045401
132,1189,829,0.591344225071534
132,1857,5,0.346592631276109
28,2027,8,0.548251179488434
28,154,5,0.5
28,1953,8,0.104850669076955
2027,1953,2,0.108337658092578
154,45,25,0.491883662263946
154,50,83,0.805899073932103
154,51,19,0.824359592488966
154,77,34,0.529172230190728
154,112,60,0.559343608236125
154,136,58,0.451082037707143
154,155,57,0.633275857906696
154,2061,22,0.485209423138419
154,38,11,0.756168723895804
29,144,5,0.714016478544206
144,30,10,0.915640229670283
144,35,22,0.293762496759072
144,110,114,0.265739309349177
144,117,30,0.849138851564869
144,124,25,0.263166244176414
144,141,7,0.155548003373066
144,142,3,0.15620808989268
144,33,1,0.629415073092517
144,143,15,0.107708704139367
144,2062,7,0.348019849115399
144,2063,6,0.40507013083606
144,2064,13,0.333033866269604
144,116,3,0.038066037557184
144,1863,7,0.0300072545035766
144,1864,7,0.519985954626596
144,2661,6,0.389021827365453
31,68,18,0.124091437221426
31,84,15,0.304516871595502
31,2028,24,0.0288099012567443
31,1861,7,0.739890223309325
68,63,28,0.0346821188605062
68,92,32,0.492733248576971
68,128,48,0.404339896696943
68,2658,12,0.02393218245785
68,129,1,0.962056413844421
84,2028,33,0.16279902719585
84,1860,8,0.254691127502599
84,2659,12,0.402085718900754
84,91,2,0.977090758338732
2028,75,20,1.02814694891504
2028,128,171,0.171258793639487
2028,129,91,0.61361051072407
32,93,7,0.251976596611304
93,74,15,0.0812275058812498
93,2032,25,0.185330076704984
33,110,19,0.234426377375435
110,59,23,0.156864190927295
110,71,20,0.179962886895188
110,96,17,0.816681321211276
110,127,180,0.922533085878238
110,134,156,0.774137613978515
110,2047,2,0.295538421109424
110,157,337,0.247456525266703
110,119,18,0.0800196810896783
110,34,3,0.612374912209659
34,119,19,0.4496984502219
34,127,87,0.277119575742622
34,157,131,0.00943900530922014
119,126,16,1.02013593953181
119,127,77,0.525193461521953
119,157,263,0.149167967058194
119,149,7,0.847674156166123
127,94,473,0.0366249594047332
127,102,472,0.0270508020240042
127,105,116,0.0067643797541259
127,126,70,0.466588710895698
127,128,884,1.01509659133452
127,529,209,0.584033531280692
127,591,394,0.774147071326444
127,625,113,0.686198518251313
127,665,172,0.529675557909877
127,685,4,0.205550101240549
157,50,309,0.830513447032333
157,53,692,0.233565877572378
157,58,152,0.508343794683776
157,62,155,0.470479699263773
157,77,692,0.540114355520111
157,88,1209,0.903815557129756
157,89,775,0.0127024381462568
157,94,1025,0.748869705941984
157,102,460,0.571100868354215
157,105,160,0.941927520570415
157,107,299,0.125027035496399
157,109,224,0.000302626759073461
157,113,248,0.622659274103335
157,120,102,0.0133435422600305
157,126,162,0.112069681569214
157,128,1609,0.668487585254142
157,134,601,0.83922873390962
157,139,218,0.422206269695734
157,146,291,0.717425016185941
157,149,123,0.717425016185941
157,150,928,0.000493943598714336
157,151,336,0.660785954100067
157,153,1546,0.271092603135826
157,155,402,0.286858033712827
157,2066,181,0.448967093452883
157,506,636,0.509435508256075
157,514,177,0.351486566803288
157,527,120,0.161369492671309
157,529,412,0.910210102583565
157,539,169,1.02759779282598
157,552,160,0.364117959571986
157,554,279,0.764058067143954
157,555,140,0.0656374822943355
157,565,177,0.371778036048338
157,571,288,0.033421867798641
157,574,196,0.341491693239537
157,575,389,1.01607782756465
157,579,403,1.07238545804498
157,591,401,0.345715530568014
157,597,162,0.44000882059914
157,625,268,0.73684016264793
157,627,255,0.518124724667599
157,632,168,0.258531284187069
157,645,328,0.663218465664709
157,647,276,0.701391033524516
157,648,576,0.118037376885943
157,651,1251,0.414572285904243
157,661,969,0.539891865552367
157,663,282,0.0591566345681911
157,664,121,0.328151737896547
157,673,291,0.392896716571437
157,674,918,0.168510804621991
157,682,267,0.465825114806671
157,683,2938,0.655539023828731
157,685,388,0.326170641618792
157,691,1202,0.55618311576999
157,700,460,0.381176391468722
