source,target,weight,p_values
"Alexander, L. (TN-R)","Boxer, B. (CA-D)",10,0.866427003957203
"Alexander, L. (TN-R)","Cantwell, M. (WA-D)",15,0.747826037274041
"Alexander, L. (TN-R)","Carper, T. (DE-D)",12,0.0634727965392797
"Alexander, L. (TN-R)","Cochran, T. (MS-R)",40,0.820663022916076
"Alexander, L. (TN-R)","Collins, S. (ME-R)",48,0.0880556537465343
"Alexander, L. (TN-R)","Cornyn, J. (TX-R)",48,0.229131720420476
"Alexander, L. (TN-R)","Crapo, M. (ID-R)",42,0.166148264908907
"Alexander, L. (TN-R)","Durbin, R. (IL-D)",16,0.328507325662464
"Alexander, L. (TN-R)","Enzi, M. (WY-R)",52,0.332933460825029
"Alexander, L. (TN-R)","Feinstein, D. (CA-D)",18,0.716923908649059
"Alexander, L. (TN-R)","Graham, L. (SC-R)",37,0.112112481152288
"Alexander, L. (TN-R)","Grassley, C. (IA-R)",32,0.21506673463898
"Alexander, L. (TN-R)","Hatch, O. (UT-R)",52,0.145672118437138
"Alexander, L. (TN-R)","Inhofe, J. (OK-R)",48,0.172521615165815
"Alexander, L. (TN-R)","Leahy, P. (VT-D)",9,0.121257763037626
"Alexander, L. (TN-R)","McCain, J. (AZ-R)",40,0.112112481152288
"Alexander, L. (TN-R)","McConnell, M. (KY-R)",30,0.879127307840738
"Alexander, L. (TN-R)","Mikulski, B. (MD-D)",11,0.926390768844835
"Alexander, L. (TN-R)","Murkowski, L. (AK-R)",46,0.787702720510595
"Alexander, L. (TN-R)","Murray, P. (WA-D)",27,0.174312949963988
"Alexander, L. (TN-R)","Nelson, B. (FL-D)",17,0.240858391840933
"Alexander, L. (TN-R)","Reed, J. (RI-D)",9,0.151219544385106
"Alexander, L. (TN-R)","Reid, H. (NV-D)",4,0.826286294893225
"Alexander, L. (TN-R)","Roberts, P. (KS-R)",57,0.784139107390615
"Alexander, L. (TN-R)","Schumer, C. (NY-D)",11,0.740670696357773
"Alexander, L. (TN-R)","Sessions, J. (AL-R)",30,0.139006729472016
"Alexander, L. (TN-R)","Shelby, R. (AL-R)",21,0.197782599382846
"Alexander, L. (TN-R)","Stabenow, D. (MI-D)",19,0.132331335325677
"Alexander, L. (TN-R)","Wyden, R. (OR-D)",15,0.72303848824993
"Alexander, L. (TN-R)","Baldwin, T. (WI-D)",23,0.038357002282885
"Alexander, L. (TN-R)","Blunt, R. (MO-R)",50,0.135861083079003
"Alexander, L. (TN-R)","Boozman, J. (AR-R)",48,0.102628790892905
"Alexander, L. (TN-R)","Brown, S. (OH-D)",17,0.747220631170279
"Alexander, L. (TN-R)","Burr, R. (NC-R)",38,0.210459732590832
"Alexander, L. (TN-R)","Capito, S. (WV-R)",46,0.331140969603986
"Alexander, L. (TN-R)","Cardin, B. (MD-D)",15,0.871492420102541
"Alexander, L. (TN-R)","Flake, J. (AZ-R)",43,0.0907571958268835
"Alexander, L. (TN-R)","Isakson, J. (GA-R)",78,0.859357110798389
"Alexander, L. (TN-R)","Kirk, M. (IL-R)",52,0.893872571534033
"Alexander, L. (TN-R)","Markey, E. (MA-D)",12,0.764301482116781
"Alexander, L. (TN-R)","Menéndez, R. (NJ-D)",11,0.127886952904246
"Alexander, L. (TN-R)","Moran, J. (KS-R)",39,0.263098987924527
"Alexander, L. (TN-R)","Portman, R. (OH-R)",35,0.0879173947523297
"Alexander, L. (TN-R)","Sanders, B. (VT-I)",4,0.0675120159856935
"Alexander, L. (TN-R)","Toomey, P. (PA-R)",26,0.764327828494388
"Alexander, L. (TN-R)","Udall, T. (NM-D)",17,0.673442699413097
"Alexander, L. (TN-R)","Vitter, D. (LA-R)",43,0.0115731860525468
"Alexander, L. (TN-R)","Wicker, R. (MS-R)",53,0.0744914375818999
"Alexander, L. (TN-R)","Thune, J. (SD-R)",41,0.102628790892905
"Alexander, L. (TN-R)","Coats, D. (IN-R)",41,0.324711562154923
"Alexander, L. (TN-R)","Murphy, C. (CT-D)",20,0.167940570914092
"Alexander, L. (TN-R)","Hirono, M. (HI-D)",12,0.2882315617412
"Alexander, L. (TN-R)","Donnelly, J. (IN-D)",21,0.810571771022296
"Alexander, L. (TN-R)","Heller, D. (NV-R)",34,0.0471145354190229
"Alexander, L. (TN-R)","Gillibrand, K. (NY-D)",17,0.783969576383501
"Alexander, L. (TN-R)","Klobuchar, A. (MN-D)",24,0.190165951968631
"Alexander, L. (TN-R)","McCaskill, C. (MO-D)",13,0.322724806507806
"Alexander, L. (TN-R)","Tester, J. (MT-D)",15,0.768789929939029
"Alexander, L. (TN-R)","Casey, R. (PA-D)",19,0.693163284452023
"Alexander, L. (TN-R)","Whitehouse, S. (RI-D)",15,0.158533034504475
"Alexander, L. (TN-R)","Corker, B. (TN-R)",34,0.169913141862537
"Alexander, L. (TN-R)","Barrasso, J. (WY-R)",41,0.113776441322635
"Alexander, L. (TN-R)","Cassidy, B. (LA-R)",44,0.20037336761682
"Alexander, L. (TN-R)","Heinrich, M. (NM-D)",17,0.308582480526471
"Alexander, L. (TN-R)","Peters, G. (MI-D)",18,0.220503192172299
"Alexander, L. (TN-R)","Warner, M. (VA-D)",23,0.291553162299589
"Alexander, L. (TN-R)","Risch, J. (ID-R)",41,0.233510348239882
"Alexander, L. (TN-R)","Shaheen, J. (NH-D)",27,0.332843735488706
"Alexander, L. (TN-R)","Merkley, J. (OR-D)",11,0.333345148208643
"Alexander, L. (TN-R)","Bennet, M. (CO-D)",27,0.309821321913314
"Alexander, L. (TN-R)","Franken, A. (MN-D)",20,0.16369391989488
"Alexander, L. (TN-R)","Coons, C. (DE-D)",29,0.165189284683834
"Alexander, L. (TN-R)","Manchin, J. (WV-D)",22,0.0931713821210076
"Alexander, L. (TN-R)","Gardner, C. (CO-R)",42,0.16093368164433
"Alexander, L. (TN-R)","Lankford, J. (OK-R)",33,0.273053176142201
"Alexander, L. (TN-R)","Scott, T. (SC-R)",49,0.155355245522922
"Alexander, L. (TN-R)","Blumenthal, R. (CT-D)",17,0.288263943269627
"Alexander, L. (TN-R)","Rubio, M. (FL-R)",43,0.158533034504475
"Alexander, L. (TN-R)","Paul, R. (KY-R)",28,0.0907571958268835
"Alexander, L. (TN-R)","Ayotte, K. (NH-R)",50,0.87495507672607
"Alexander, L. (TN-R)","Hoeven, J. (ND-R)",32,0.912895639859131
"Alexander, L. (TN-R)","Lee, M. (UT-R)",29,0.810748898820057
"Alexander, L. (TN-R)","Johnson, R. (WI-R)",36,0.216931751493288
"Alexander, L. (TN-R)","Schatz, B. (HI-D)",14,0.187453512869786
"Alexander, L. (TN-R)","Cotton, T. (AR-R)",38,0.0400942870099328
"Alexander, L. (TN-R)","Warren, E. (MA-D)",13,0.122228389752813
"Alexander, L. (TN-R)","King, A. (ME-I)",22,0.321438774114261
"Alexander, L. (TN-R)","Daines, S. (MT-R)",44,0.0879173947523297
"Alexander, L. (TN-R)","Heitkamp, H. (ND-D)",22,0.315283420006619
"Alexander, L. (TN-R)","Fischer, D. (NE-R)",44,0.142420214569095
"Alexander, L. (TN-R)","Cruz, T. (TX-R)",27,0.0985385217837694
"Alexander, L. (TN-R)","Kaine, T. (VA-D)",19,0.112112481152288
"Alexander, L. (TN-R)","Booker, C. (NJ-D)",11,0.331237357033383
"Alexander, L. (TN-R)","Sullivan, D. (AK-R)",21,0.835616810603516
"Alexander, L. (TN-R)","Perdue, D. (GA-R)",45,0.764301482116781
"Alexander, L. (TN-R)","Ernst, J. (IA-R)",26,0.139006729472016
"Alexander, L. (TN-R)","Tillis, T. (NC-R)",35,0.247473596518319
"Alexander, L. (TN-R)","Rounds, M. (SD-R)",38,0.050747498000087
"Alexander, L. (TN-R)","Sasse, B. (NE-R)",16,0.0636855137495413
"Boxer, B. (CA-D)","Cantwell, M. (WA-D)",82,0.878843987020813
"Boxer, B. (CA-D)","Carper, T. (DE-D)",55,0.0841919625527467
"Boxer, B. (CA-D)","Cochran, T. (MS-R)",25,0.789944567905777
"Boxer, B. (CA-D)","Collins, S. (ME-R)",64,0.153032022472793
"Boxer, B. (CA-D)","Cornyn, J. (TX-R)",14,0.161684681420984
"Boxer, B. (CA-D)","Crapo, M. (ID-R)",18,0.0576796993092051
"Boxer, B. (CA-D)","Durbin, R. (IL-D)",126,0.887934134291392
"Boxer, B. (CA-D)","Enzi, M. (WY-R)",13,0.0616981286064779
"Boxer, B. (CA-D)","Feinstein, D. (CA-D)",152,0.122060082556652
"Boxer, B. (CA-D)","Graham, L. (SC-R)",28,0.157883426194828
"Boxer, B. (CA-D)","Grassley, C. (IA-R)",31,0.324711562154923
"Boxer, B. (CA-D)","Hatch, O. (UT-R)",14,0.196559082103219
"Boxer, B. (CA-D)","Inhofe, J. (OK-R)",26,0.335819939793861
"Boxer, B. (CA-D)","Leahy, P. (VT-D)",96,0.778477335225728
"Boxer, B. (CA-D)","McCain, J. (AZ-R)",9,0.0321938315888569
"Boxer, B. (CA-D)","McConnell, M. (KY-R)",4,0.925148641035884
"Boxer, B. (CA-D)","Mikulski, B. (MD-D)",90,0.0958766620813855
"Boxer, B. (CA-D)","Murkowski, L. (AK-R)",41,0.322724806507806
"Boxer, B. (CA-D)","Murray, P. (WA-D)",109,0.266911943853868
"Boxer, B. (CA-D)","Nelson, B. (FL-D)",60,0.332426333740324
"Boxer, B. (CA-D)","Reed, J. (RI-D)",90,0.929647696069441
"Boxer, B. (CA-D)","Reid, H. (NV-D)",49,0.166148264908907
"Boxer, B. (CA-D)","Roberts, P. (KS-R)",22,0.923151233229838
"Boxer, B. (CA-D)","Schumer, C. (NY-D)",126,0.907619649837953
"Boxer, B. (CA-D)","Sessions, J. (AL-R)",8,0.855211270431642
"Boxer, B. (CA-D)","Shelby, R. (AL-R)",3,0.162936596165476
"Boxer, B. (CA-D)","Stabenow, D. (MI-D)",108,0.209174330759654
"Boxer, B. (CA-D)","Wyden, R. (OR-D)",95,0.104700421107634
"Boxer, B. (CA-D)","Baldwin, T. (WI-D)",137,0.100334322091173
"Boxer, B. (CA-D)","Blunt, R. (MO-R)",40,0.739018173219225
"Boxer, B. (CA-D)","Boozman, J. (AR-R)",31,0.150952233645642
"Boxer, B. (CA-D)","Brown, S. (OH-D)",129,0.718823743236676
"Boxer, B. (CA-D)","Burr, R. (NC-R)",30,0.162936596165476
"Boxer, B. (CA-D)","Capito, S. (WV-R)",36,0.169150532461115
"Boxer, B. (CA-D)","Cardin, B. (MD-D)",101,0.104700421107634
"Boxer, B. (CA-D)","Flake, J. (AZ-R)",9,0.0737904541517675
"Boxer, B. (CA-D)","Isakson, J. (GA-R)",20,0.855902960056288
"Boxer, B. (CA-D)","Kirk, M. (IL-R)",53,0.220197681705744
"Boxer, B. (CA-D)","Markey, E. (MA-D)",144,0.947302454817625
"Boxer, B. (CA-D)","Menéndez, R. (NJ-D)",98,0.983764053844204
"Boxer, B. (CA-D)","Moran, J. (KS-R)",32,0.99465162768395
"Boxer, B. (CA-D)","Portman, R. (OH-R)",24,0.162783674026199
"Boxer, B. (CA-D)","Sanders, B. (VT-I)",101,0.529986513150972
"Boxer, B. (CA-D)","Toomey, P. (PA-R)",11,0.0373149975355433
"Boxer, B. (CA-D)","Udall, T. (NM-D)",67,0.150678668568701
"Boxer, B. (CA-D)","Vitter, D. (LA-R)",23,0.923038158839413
"Boxer, B. (CA-D)","Wicker, R. (MS-R)",30,0.139384096893994
"Boxer, B. (CA-D)","Thune, J. (SD-R)",11,0.895651219980165
"Boxer, B. (CA-D)","Coats, D. (IN-R)",6,0.17574341294204
"Boxer, B. (CA-D)","Murphy, C. (CT-D)",111,0.162783674026199
"Boxer, B. (CA-D)","Hirono, M. (HI-D)",121,0.0862717414875163
"Boxer, B. (CA-D)","Donnelly, J. (IN-D)",38,0.0794950056277303
"Boxer, B. (CA-D)","Heller, D. (NV-R)",32,0.923038158839413
"Boxer, B. (CA-D)","Gillibrand, K. (NY-D)",158,0.18960258402108
"Boxer, B. (CA-D)","Klobuchar, A. (MN-D)",116,0.843938506320941
"Boxer, B. (CA-D)","McCaskill, C. (MO-D)",57,0.0514368430231847
"Boxer, B. (CA-D)","Tester, J. (MT-D)",77,0.11770383802769
"Boxer, B. (CA-D)","Casey, R. (PA-D)",98,0.150874884397391
"Boxer, B. (CA-D)","Whitehouse, S. (RI-D)",124,0.335872845109744
"Boxer, B. (CA-D)","Corker, B. (TN-R)",3,0.217358275753578
"Boxer, B. (CA-D)","Barrasso, J. (WY-R)",11,0.85993541056173
"Boxer, B. (CA-D)","Cassidy, B. (LA-R)",12,0.875263481246251
"Boxer, B. (CA-D)","Heinrich, M. (NM-D)",84,0.0678065238180495
