source,target,weight,p_values
2191,597,826,0.622748532115111
2191,700,1216,0.0159604784292276
2191,625,90,0.643416734979989
2191,571,661,0.0972957668071354
2191,579,107,0.643201367570634
2191,506,361,0.311215286591473
2191,574,2252,0.269061041686938
2191,691,308,0.350940042261018
2191,554,370,0.634935487122659
2191,627,185,0.33195140831077
2191,591,1266,0.106949741135547
2191,682,1268,0.543829837920834
2191,575,184,0.143062775001436
597,691,526,0.425090806986752
597,571,359,0.499038066395217
597,625,114,0.995531211977964
597,702,5512,0.629669804091715
597,733,240,0.125628605326383
597,627,201,0.322256316677271
597,579,287,0.499953225998874
597,498,1896,0.524697007209554
597,682,2645,0.189053950174399
597,575,411,0.233609038704776
597,730,2933,0.142244827341537
597,554,352,0.0479179811843473
597,720,1054,0.625258047458695
597,700,419,0.643058022284331
597,574,251,0.635561578180485
597,647,170,0.0751863150537659
597,506,1452,0.318302940422738
597,645,445,0.227895769026668
597,648,270,0.350290726596421
597,613,926,0.22106000073732
597,663,449,0.179593527870897
597,591,714,0.242785190391282
597,529,430,0.625587151046709
627,702,497,0.177203429979328
627,571,236,0.305407287175748
627,648,1035,0.340235500602762
627,578,288,0.606170877578564
627,2189,178,0.479105828475622
627,579,516,0.391200612824829
627,663,424,0.0910299430454993
627,2190,93,0.247480237666065
627,712,701,0.0538387585512936
627,554,512,0.200411895992615
627,575,962,0.450372520081477
627,653,144,0.574976279194663
627,591,365,0.596839518315806
627,691,1024,0.59532575971304
627,730,497,0.541483253087926
627,673,509,0.445858778635982
627,506,949,0.317426654938759
627,613,827,0.395987666734588
627,736,295,0.496004426366346
627,574,627,0.320211294342247
627,682,508,0.0370038992722629
627,625,141,0.639655181418391
627,647,437,0.454009942824519
627,529,175,0.130116023565835
627,720,2039,0.575304886205866
627,700,414,0.163288409175366
627,733,387,0.421788266231146
702,682,732,0.283472397153658
702,625,3011,0.294433766874108
702,571,3906,0.388025624073563
702,712,219,0.461682420197191
702,700,444,0.538107118023134
702,578,1460,0.628593448979536
702,645,498,0.643698777538778
702,506,737,0.144400037884667
702,579,377,0.61023528800735
702,554,411,0.35369261629928
702,653,930,0.565818207497065
702,574,1479,0.282611365188122
702,647,880,0.140395796194549
702,2190,344,0.52413906373883
702,2189,957,0.247480237666065
702,736,706,0.462016965481912
702,733,842,0.592298493086844
702,730,1012,0.166147370992234
702,663,312,0.608297665432541
702,691,830,0.344646336367309
702,673,2758,0.164493363487354
702,529,300,0.359652377495185
702,648,1431,0.504866805457528
702,575,669,0.63613823726461
702,591,530,0.634917340726893
529,574,467,0.620277814392026
529,2207,103,0.472715416172608
529,625,329,0.486586011183697
529,700,819,0.107428093744126
529,645,1004,0.346716901820137
529,575,634,0.610021122502089
529,673,353,0.623633913604732
529,682,472,2.4399720643857e-05
529,554,584,0.149478110777719
529,648,1378,0.365983486394925
529,736,137,0.261776663453775
529,730,384,0.310877629410592
529,691,1387,0.568841732371996
529,723,1115,0.643337506961663
529,579,422,0.30803785150775
529,519,113,0.406727190082461
529,591,665,0.188883992153626
529,498,110,0.255437590614816
529,506,1275,0.0792527728995332
529,720,319,0.603777379391973
529,733,995,0.996469217559328
529,571,1227,0.640885041785904
529,663,556,0.0611377594904861
529,647,199,0.134993384851905
574,591,432,0.352987066253334
574,554,407,0.279437830622755
574,673,223,0.627543785551723
574,575,1051,0.148364176759413
574,2190,249,0.119742268635827
574,700,464,0.00222700379927783
574,691,1141,0.045362138701653
574,579,557,0.56258221626234
574,653,144,0.385564045884311
574,625,478,0.0432984031985458
574,645,161,0.640387750687956
574,663,462,0.523459589357751
574,712,132,0.100924858987662
574,506,1218,0.628325520900679
574,578,191,0.211830285392991
574,571,180,0.638748678839346
574,736,1085,0.17067156626972
574,648,1706,0.367810076545363
574,2189,263,0.466621424645602
574,647,1192,0.509003313279351
574,733,950,0.464443486856819
574,567,7,0.414475898329233
574,2219,97,0.363924986183203
574,730,1131,0.236653975445591
574,682,1050,0.54353468466608
591,498,188,0.569420633475036
591,625,214,0.416421199521146
591,673,461,0.272249848572178
591,578,1455,0.643230224280994
591,575,576,0.374865856025886
591,733,956,0.200002437568462
591,720,148,0.504920629181434
591,613,366,0.581753477064428
591,663,898,0.533226479951997
591,736,2659,0.610307251845436
591,647,292,0.490510747075609
591,648,795,0.469147999554686
591,723,153,0.46069608723899
591,682,390,0.574329685612393
591,700,8,0.355714908882036
591,691,787,0.410948550486354
591,579,516,0.631745705904874
591,730,351,0.458978645853509
591,554,669,0.555365682420169
591,506,1072,0.127480972714973
591,2189,1236,0.290051877560544
591,571,228,0.421734768847194
498,700,260,0.5564608091193
498,625,177,0.504945153672584
498,663,118,0.189365496496641
498,554,822,0.373728891241473
498,579,95,0.642222274829094
498,691,211,0.468078611637689
498,571,179,0.506138594517286
498,682,1358,0.0139126142001279
498,506,2532,0.52162665425614
498,647,1501,0.356390887500833
613,625,75,0.598667133355664
613,691,212,0.49172739913805
613,554,317,0.399734649283945
613,579,86,0.580077681277776
613,700,165,0.621857533437181
613,571,540,0.63231130606558
613,506,437,0.0781085302727202
613,575,1390,0.0778347168199157
625,663,183,0.40350955905385
625,645,264,0.268334829475852
625,647,460,0.162830457976351
625,700,138,0.153098344579703
625,579,272,0.506725380600476
625,506,702,0.059256239377222
625,723,191,0.283016187949955
625,673,178,0.510943981335071
625,682,230,0.585590205642632
625,720,127,0.560463040251116
625,575,365,0.122663773980465
625,730,141,0.373440988367613
625,691,192,0.397519341969271
625,648,737,0.122580279073947
625,2189,829,0.590921052960109
625,733,566,0.403829423483778
625,554,493,0.403833003728504
691,712,2113,0.176732339645859
691,723,407,0.611440081417349
691,554,693,0.182786930100152
691,2189,248,0.232043299840149
691,645,610,0.513493204875228
691,720,417,0.62083875689612
691,2190,2470,0.463201329863232
691,579,1005,0.451759233746712
691,663,748,0.227895769026668
691,730,1038,0.994669013304395
691,700,781,0.540458098039028
691,647,778,0.620519664716678
691,673,709,0.641434415422932
691,733,1380,0.610795157759725
691,736,603,0.423971094571348
691,571,1131,0.628891249718376
691,506,2130,0.611635943392363
691,682,1153,0.595252826344443
691,653,265,0.524406571837695
691,575,1423,0.350228759386094
691,648,1777,0.578725834780887
691,578,535,0.529640203006317
