source,target,weight,p_values
1,2,2,0.392965558018329
1,3,4,0.103981254923386
1,4,1,7.29091746428656e-05
1,5,2,0.674998752379665
1,6,1,0.246707025353164
1,7,1,0.0104202197593078
1,8,1,0.392965558018329
1,9,1,0.00542359335856735
1,10,2,0.000615560226151834
1,11,1,0.0293795969066738
1,12,2,0.674998752379665
1,13,1,0.601586946843971
1,14,1,0.177211162767023
1,15,1,0.601586946843971
1,16,1,0.177211162767023
2,3,47,0.674998752379665
2,4,7,0.73496347266359
2,5,29,0.480054607961793
2,6,2,0.674998752379665
2,7,1,0.120792600559164
2,8,5,0.333808316127773
2,10,4,0.521130099313368
2,11,3,0.480054607961793
2,12,6,0.674998752379665
2,14,11,0.526440841693146
2,15,7,0.480054607961793
2,17,2,0.521130099313368
2,18,12,0.392965558018329
2,19,17,0.258051594663489
2,20,5,0.0373638363381507
2,21,1,0.57532819693399
2,22,8,0.00228122610176584
2,24,3,0.795920968045635
2,27,1,0.480054607961793
2,28,3,0.333808316127773
2,29,1,0.765792731575817
2,30,1,0.674998752379665
2,31,2,0.435520095561119
2,32,2,0.435520095561119
2,33,8,0.818125125836275
3,4,17,0.170823325259922
3,5,38,0.204364186938867
3,6,5,0.209893881676965
3,7,2,0.795920968045635
3,8,3,0.392965558018329
3,9,2,0.0503808305908171
3,10,8,0.0942899172188919
3,11,3,0.738764944220348
3,12,5,0.73496347266359
3,14,18,0.738764944220348
3,15,10,0.738764944220348
3,16,2,0.738764944220348
3,17,2,0.483569296985581
3,18,10,0.674998752379665
3,19,28,0.737621607809262
3,20,17,0.479891375868877
3,21,2,0.288781246324842
3,22,16,0.479891375868877
3,23,1,0.737621607809262
3,24,5,0.674998752379665
3,26,3,0.0296420959417306
3,27,6,0.00125180006418679
3,28,5,0.691008455015305
3,32,3,0.14206401321396
3,33,17,0.521130099313368
3,34,1,0.57532819693399
3,35,1,0.818125125836275
3,36,1,0.483569296985581
3,37,1,0.674998752379665
4,5,14,0.12651053253633
4,6,2,0.0348805883076351
4,10,2,0.858507090853118
4,13,1,0.379168877662212
4,14,2,0.813689810225931
4,15,1,0.795920968045635
4,17,1,0.683554294407137
4,18,1,0.674998752379665
4,19,15,0.439808332906539
4,20,4,0.70926910059415
4,29,1,0.70926910059415
4,32,1,0.251351846215045
4,33,6,0.70926910059415
4,35,1,0.251351846215045
5,6,5,0.70926910059415
5,8,2,0.439808332906539
5,10,13,0.465122620543311
5,11,1,0.465122620543311
5,12,1,0.733162829692407
5,14,7,0.0355349329915831
5,15,4,0.0731475540679991
5,18,6,0.888894570954489
5,19,20,0.267777459941056
5,20,8,0.762639825582653
5,22,1,0.738764944220348
5,23,1,0.737621607809262
5,24,1,0.691008455015305
5,25,1,0.733162829692407
5,27,2,0.0388910624195903
5,28,2,0.0021351531446625
5,29,2,0.0209551236037901
5,30,2,0.0182812831875311
5,32,1,0.0653136178934031
5,33,16,0.73496347266359
5,35,1,0.521130099313368
6,10,1,0.164511635041309
6,15,1,0.170151867094638
6,19,7,0.285728306413776
6,20,1,0.683554294407137
6,21,2,0.70926910059415
6,31,1,0.26599876525458
7,8,2,0.00314816187060352
7,9,2,0.349587983912639
7,10,2,0.00491539195308455
7,11,4,0.459294332517465
7,12,1,0.139744892121083
7,13,2,0.813689810225931
7,16,1,0.57532819693399
7,19,1,0.691008455015305
7,24,1,0.683554294407137
7,28,1,0.465122620543311
7,29,6,0.885567373862753
7,30,2,0.100277727407255
7,31,3,0.718941515821022
7,32,1,0.44813426670609
7,34,1,0.44813426670609
7,35,2,0.718941515821022
7,36,3,0.718941515821022
7,37,1,0.132818886249584
7,38,2,0.718941515821022
7,39,2,0.0980577465102891
7,41,2,0.00302693311979174
7,42,2,0.863304695646327
7,43,1,0.762639825582653
8,9,2,0.795920968045635
8,10,3,0.738764944220348
8,11,4,0.393930375804301
8,12,1,0.858507090853118
8,14,2,0.863304695646327
8,16,1,0.142746585310229
8,18,1,0.142746585310229
8,19,2,0.44813426670609
8,22,1,0.731429022316972
8,25,3,0.731429022316972
8,28,2,0.731429022316972
8,32,4,0.256775423778246
8,35,1,0.256775423778246
8,36,1,0.731429022316972
8,38,1,0.272546561166329
8,43,2,0.0724542355576653
9,10,1,0.734418411225238
9,11,4,0.734418411225238
9,12,1,0.734418411225238
9,13,3,0.734418411225238
9,16,3,0.734418411225238
9,28,2,0.656523803247625
9,29,1,0.168529443027708
9,30,1,0.656523803247625
9,31,1,0.656523803247625
9,32,1,0.656523803247625
9,34,1,0.656523803247625
9,35,3,0.234214824813403
9,36,2,0.710826145596651
9,38,4,0.710826145596651
9,39,4,0.431935311328525
9,40,1,0.431935311328525
9,41,1,0.75294803970087
9,42,1,0.0389752112375655
9,43,7,0.495740309590846
10,11,1,0.75294803970087
10,12,1,0.75294803970087
10,14,2,0.710826145596651
10,15,1,0.345403326736206
10,16,1,0.125352775974863
10,19,5,0.534402363415219
10,20,2,0.73496347266359
10,22,1,0.521130099313368
10,23,1,0.526440841693146
10,28,2,0.534402363415219
10,29,3,0.479891375868877
10,30,1,0.534402363415219
10,32,1,0.70926910059415
10,35,1,0.345403326736206
10,36,1,0.345403326736206
10,38,1,0.710826145596651
11,12,2,0.839725649364808
11,13,2,0.839725649364808
11,14,1,0.650469398650738
11,16,3,0.0525039652261022
11,21,1,0.765792731575817
11,25,1,0.392924461761506
11,29,1,0.818125125836275
11,30,2,0.650469398650738
11,32,8,0.772453425120765
11,34,2,0.827921844797531
11,35,3,0.62725019097846
11,36,3,0.480054607961793
11,37,2,0.765792731575817
11,38,6,0.795920968045635
11,40,1,0.612869157611188
11,43,6,0.827921844797531
12,13,1,0.204466595176823
12,14,2,0.556884897751674
12,16,1,0.785653913369454
12,18,1,0.293076818138857
12,19,4,0.765792731575817
12,22,1,0.556884897751674
12,33,1,0.236248285358385
12,38,1,0.0867018583656989
13,16,2,0.61888557613411
13,18,1,0.441676596344041
13,28,2,0.822003960219632
13,35,2,0.822003960219632
13,36,2,0.73496347266359
13,38,3,0.204364186938867
13,43,2,0.765792731575817
14,15,2,0.795920968045635
14,18,2,0.0520171750207309
14,19,5,0.822003960219632
14,20,2,0.718941515821022
14,22,4,0.656523803247625
14,24,1,0.202545204156824
14,26,1,0.0299747360647453
14,27,1,0.0867018583656989
14,28,2,0.260799186724301
14,33,1,0.0223671414742155
14,37,1,0.320923258607444
15,19,2,0.0303762467362428
15,20,2,0.738764944220348
15,22,1,0.861531649573779
15,33,7,0.12651053253633
16,19,1,0.599816781857028
16,28,1,0.737411772024988
16,35,2,0.863304695646327
16,36,2,0.75294803970087
16,38,2,0.785653913369454
16,43,2,0.877373917865349
17,18,1,0.73496347266359
17,19,3,0.765792731575817
17,20,2,0.612869157611188
17,21,1,0.785653913369454
18,19,18,0.908349740104331
18,20,1,0.904780212555155
18,22,1,0.908349740104331
18,23,3,0.480054607961793
18,24,1,0.762639825582653
18,25,1,0.339763874088041
19,20,9,0.795920968045635
19,21,4,0.435520095561119
19,22,7,0.479891375868877
19,23,3,0.439808332906539
19,24,1,0.783948612500367
19,25,1,0.236232456300256
19,26,1,0.236248285358385
19,30,1,0.61888557613411
19,31,2,0.0737358074013065
19,32,1,0.89218343969936
19,33,4,0.293076818138857
19,35,2,0.762639825582653
19,36,2,0.526440841693146
19,38,1,0.795920968045635
20,21,1,0.435520095561119
20,22,7,0.479891375868877
20,26,2,0.439808332906539
20,28,3,0.750870137535481
20,29,2,0.236232456300256
20,33,2,0.556884897751674
20,42,1,0.61888557613411
21,22,2,0.109257648152398
21,32,1,0.000930585354221414
22,23,1,0.614261556467239
22,26,2,0.614261556467239
22,27,1,0.307699992359231
22,28,3,0.614261556467239
22,33,1,0.614261556467239
24,25,1,0.614261556467239
25,32,1,0.614261556467239
26,27,1,0.614261556467239
26,28,1,0.480054607961793
27,33,1,0.762639825582653
28,29,1,0.209893881676965
29,30,5,0.795920968045635
29,31,4,0.129515726774119
29,32,5,0.738764944220348
29,35,5,0.288781246324842
29,36,5,0.439808332906539
29,37,1,0.906951974625635
29,38,3,0.479432996843049
29,39,2,0.785653913369454
29,41,5,0.225778446840906
29,42,4,0.0236570451513158
30,31,6,0.0299710443341633
30,32,9,0.480054607961793
30,41,2,0.209893881676965
30,42,1,0.597141369020723
