source,target,weight,score,ds_backbone
MlleBaptistine,MmeMagloire,6,0.9605885332639655,True
Jondrette,MmeBurgon,1,0.9402027601553025,True
Child1,Child2,3,0.9150161442394298,True
Perpetue,Simplice,1,0.8911215312835149,True
MmePontmercy,Pontmercy,1,0.7777971785357017,True
Mabeuf,MotherPlutarch,3,0.7623362502690602,True
Fantine,Marguerite,3,0.6839119889097065,True
MlleGillenormand,MlleVaubois,1,0.6291978623999921,True
Fauchelevent,Gribier,2,0.6097375681112894,True
Boulatruelle,Thenardier,1,0.5078941364857887,True
BaronessT,Gillenormand,1,0.4558932098855433,True
Fauchelevent,MotherInnocent,1,0.3875484624930301,True
Magnon,MmeThenardier,1,0.3711844393350952,True
Javert,Woman1,1,0.3644901310750311,True
Gillenormand,Magnon,1,0.3624658402428135,True
Anzelma,Eponine,1,0.3317335907380345,True
Anzelma,MmeThenardier,2,0.31830919835139004,True
Cosette,Toussaint,1,0.312474417671288,True
LtGillenormand,Marius,4,0.3041175840170277,True
Cosette,Woman2,1,0.3035067101336518,True
Labarre,Valjean,5,0.28107612020154366,True
Brevet,Cochepaille,2,0.2690483888615561,True
Grantaire,MmeHucheloup,1,0.2658904469511536,True
Bossuet,Feuilly,9,0.26439428469642023,True
Javert,Toussaint,1,0.2506076778657502,True
Champmathieu,Chenildieu,2,0.24551031672141763,True
Javert,Woman2,1,0.24341548473027766,True
Anzelma,Thenardier,2,0.23577682337456013,True
Bamatabois,Champmathieu,3,0.23479079120714103,True
Chenildieu,Judge,2,0.23346277911142596,True
Dahlia,Favourite,5,0.23035235283628128,True
Brevet,Judge,2,0.2296356652926972,True
Gueulemer,Montparnasse,1,0.22751195006070277,True
Count,Myriel,2,0.21967254525986113,True
BaronessT,Marius,1,0.2090783315680733,True
Champmathieu,Cochepaille,2,0.20725282047023233,True
LtGillenormand,MlleGillenormand,1,0.20674941805462463,True
Bamatabois,Chenildieu,2,0.2065880969807359,True
Bamatabois,Brevet,2,0.2032015350467444,True
Brujon,Gueulemer,1,0.2028283511692669,True
Cosette,LtGillenormand,2,0.20153084786521275,True
Claquesous,Gueulemer,1,0.2008910863780138,True
Dahlia,Zephine,4,0.198302603274717,True
Fameuil,Listolier,4,0.1978543864150312,True
Cochepaille,Judge,2,0.19708263217545033,True
Babet,Gueulemer,1,0.1966525793920641,True
Marius,Pontmercy,21,0.19243689927850655,True
Bahorel,MmeHucheloup,1,0.18993079968916327,True
Brujon,Montparnasse,1,0.1890297296113381,True
Blacheville,Listolier,4,0.18732467112907084,True
Claquesous,Montparnasse,1,0.1872242589384019,True
Joly,Prouvaire,5,0.18676135045684517,True
Blacheville,Fameuil,4,0.1857380168171821,True
Favourite,Zephine,4,0.18386978277903315,True
Babet,Montparnasse,1,0.18327410194658575,True
Courfeyrac,Prouvaire,6,0.18308487274614083,True
Champmathieu,Judge,2,0.17689248954008613,True
Bahorel,Combeferre,4,0.174916222765255,True
Bamatabois,Cochepaille,2,0.17439579055824006,True
Blacheville,Favourite,4,0.1733438464384636,True
Cosette,Tholomyes,31,0.16822197457445312,True
Combeferre,Gavroche,15,0.16707467600563705,True
Brujon,Claquesous,1,0.16691161817754244,True
Gillenormand,LtGillenormand,1,0.16579377050449443,True
Babet,Brujon,1,0.16339002808400838,True
Babet,Claquesous,1,0.16182944867369561,True
Brevet,Chenildieu,1,0.15936443604372175,True
Combeferre,Joly,5,0.1591816385671973,True
Bossuet,Enjolras,10,0.15613800088281543,True
Bahorel,Prouvaire,3,0.15391785681568285,True
Bossuet,Combeferre,6,0.15024695950123246,True
Dahlia,Listolier,3,0.1493606665237781,True
Listolier,Zephine,3,0.14902591432310908,True
Bamatabois,Judge,2,0.1488486645786774,True
