source,target,weight,is_backbone,bridge
Napoleon,Myriel,1,False,0.987
Myriel,MlleBaptistine,8,False,0.0
Myriel,MmeMagloire,10,False,0.0
Myriel,CountessDeLo,1,False,0.987
Myriel,Geborand,1,False,0.987
Myriel,Champtercier,1,False,0.987
Myriel,Cravatte,1,False,0.987
Myriel,Count,2,False,0.987
Myriel,OldMan,1,False,0.987
Myriel,Valjean,1,True,7.169
MlleBaptistine,MmeMagloire,6,False,0.006
MlleBaptistine,Valjean,3,False,0.981
MmeMagloire,Valjean,3,False,0.981
Valjean,Labarre,5,False,0.987
Valjean,Marguerite,1,False,0.923
Valjean,MmeDeR,1,False,0.987
Valjean,Isabeau,1,False,0.987
Valjean,Gervais,1,False,0.987
Valjean,Fantine,3,False,0.0
Valjean,MmeThenardier,2,False,0.92
Valjean,Thenardier,13,True,0.0
Valjean,Cosette,4,False,0.0
Valjean,Javert,17,True,0.0
Valjean,Fauchelevent,8,False,0.0
Valjean,Bamatabois,1,False,2.753
Valjean,Simplice,2,False,0.43
Valjean,Scaufflaire,1,False,0.987
Valjean,Woman1,2,False,0.359
Valjean,Judge,3,False,0.25
Valjean,Champmathieu,3,False,0.34
Valjean,Brevet,2,False,1.02
Valjean,Chenildieu,2,False,0.68
Valjean,Cochepaille,2,False,0.68
Valjean,Woman2,3,False,0.247
Valjean,MotherInnocent,3,False,0.334
Valjean,Gavroche,2,False,2.716
Valjean,Gillenormand,3,False,0.93
Valjean,MlleGillenormand,9,False,0.0
Valjean,Marius,6,False,0.0
Valjean,Enjolras,7,False,0.0
Valjean,Bossuet,5,False,0.0
Valjean,Gueulemer,5,False,0.0
Valjean,Babet,6,False,0.0
Valjean,Claquesous,4,False,0.0
Valjean,Montparnasse,1,True,5.727
Valjean,Toussaint,2,False,0.607
Marguerite,Fantine,3,False,0.064
Listolier,Tholomyes,4,False,0.013
Listolier,Fameuil,4,False,0.013
Listolier,Blacheville,4,False,0.013
Listolier,Favourite,3,False,0.013
Listolier,Dahlia,3,False,0.013
Listolier,Zephine,3,False,0.316
Listolier,Fantine,3,False,1.212
Tholomyes,Fameuil,4,False,0.013
Tholomyes,Blacheville,4,False,0.013
Tholomyes,Favourite,3,False,0.013
Tholomyes,Dahlia,3,False,0.013
Tholomyes,Zephine,3,False,0.316
Tholomyes,Fantine,3,False,1.212
Tholomyes,Cosette,31,True,0.0
Tholomyes,Marius,12,True,0.0
Fameuil,Blacheville,4,False,0.013
Fameuil,Favourite,3,False,0.013
Fameuil,Dahlia,3,False,0.013
Fameuil,Zephine,3,False,0.013
Fameuil,Fantine,4,False,0.909
Blacheville,Favourite,4,False,0.013
Blacheville,Dahlia,3,False,0.013
Blacheville,Zephine,3,False,0.013
Blacheville,Fantine,4,False,0.909
Favourite,Dahlia,5,False,0.013
Favourite,Zephine,4,False,0.013
Favourite,Fantine,4,False,0.909
Dahlia,Zephine,4,False,0.316
Dahlia,Fantine,2,False,1.212
Zephine,Fantine,9,False,0.0
Fantine,MmeThenardier,7,False,0.0
Fantine,Thenardier,1,True,5.911
Fantine,Javert,5,False,0.0
Fantine,Bamatabois,1,False,3.352
Fantine,Perpetue,1,False,0.97
Fantine,Simplice,3,False,0.0
MmeThenardier,Thenardier,12,True,0.0
