source,target,nij,score
Napoleon,Myriel,1,1.0
MlleBaptistine,Myriel,8,0.1168831168831169
MmeMagloire,Myriel,10,0.987012987012987
MmeMagloire,MlleBaptistine,6,0.025974025974025976
CountessDeLo,Myriel,1,1.0
Geborand,Myriel,1,1.0
Champtercier,Myriel,1,1.0
Cravatte,Myriel,1,1.0
Count,Myriel,2,1.0
OldMan,Myriel,1,1.0
Valjean,Myriel,1,0.0
Valjean,MlleBaptistine,3,0.8831168831168831
Valjean,MmeMagloire,3,0.987012987012987
Valjean,Labarre,5,1.0
Marguerite,Valjean,1,0.0
MmeDeR,Valjean,1,1.0
Isabeau,Valjean,1,1.0
Gervais,Valjean,1,1.0
Listolier,Tholomyes,4,0.7662337662337663
Fameuil,Tholomyes,4,0.7532467532467533
Fameuil,Listolier,4,0.025974025974025976
Blacheville,Tholomyes,4,0.7532467532467533
Blacheville,Listolier,4,0.025974025974025976
Blacheville,Fameuil,4,0.025974025974025976
Favourite,Tholomyes,3,0.36363636363636365
Favourite,Listolier,3,0.025974025974025976
Favourite,Fameuil,3,0.025974025974025976
Favourite,Blacheville,4,0.025974025974025976
Dahlia,Tholomyes,3,0.7532467532467533
Dahlia,Listolier,3,0.025974025974025976
Dahlia,Fameuil,3,0.025974025974025976
Dahlia,Blacheville,3,0.025974025974025976
Dahlia,Favourite,5,0.025974025974025976
Zephine,Tholomyes,3,0.2857142857142857
Zephine,Listolier,3,0.025974025974025976
Zephine,Fameuil,3,0.025974025974025976
Zephine,Blacheville,3,0.025974025974025976
Zephine,Favourite,4,0.025974025974025976
Zephine,Dahlia,4,0.2077922077922078
Fantine,Valjean,3,0.0
Fantine,Marguerite,3,1.0
Fantine,Tholomyes,3,0.16883116883116883
Fantine,Listolier,3,0.18181818181818182
Fantine,Fameuil,4,0.19480519480519481
Fantine,Blacheville,4,0.19480519480519481
Fantine,Favourite,4,0.5844155844155844
Fantine,Dahlia,2,0.0
Fantine,Zephine,9,0.6753246753246753
MmeThenardier,Valjean,2,0.0
MmeThenardier,Fantine,7,0.23376623376623376
Thenardier,Valjean,13,0.8441558441558442
Thenardier,Fantine,1,0.0
Thenardier,MmeThenardier,12,0.9350649350649352
Cosette,Valjean,4,0.5064935064935064
Cosette,Tholomyes,31,0.5064935064935064
Cosette,MmeThenardier,1,0.0
Cosette,Thenardier,1,0.0
Javert,Valjean,17,0.7142857142857143
Javert,Fantine,5,0.7662337662337663
Javert,MmeThenardier,5,0.05194805194805195
Javert,Thenardier,1,0.0
Javert,Cosette,1,0.0
Fauchelevent,Valjean,8,1.0
Fauchelevent,Javert,1,0.0
Bamatabois,Valjean,1,0.0
Bamatabois,Fantine,1,0.0
Bamatabois,Javert,2,0.935064935064935
Perpetue,Fantine,1,0.987012987012987
Simplice,Valjean,2,0.7142857142857143
Simplice,Fantine,3,0.24675324675324675
Simplice,Javert,2,0.1038961038961039
Simplice,Perpetue,1,0.025974025974025976
Scaufflaire,Valjean,1,1.0
Woman1,Valjean,2,1.0
Woman1,Javert,1,0.0
Judge,Valjean,3,0.935064935064935
Judge,Bamatabois,2,0.025974025974025976
Champmathieu,Valjean,3,0.948051948051948
Champmathieu,Bamatabois,3,0.03896103896103896
Champmathieu,Judge,2,0.025974025974025976
Brevet,Valjean,2,0.961038961038961
Brevet,Bamatabois,2,0.05194805194805195
Brevet,Judge,2,0.03896103896103896
Brevet,Champmathieu,1,0.0
Chenildieu,Valjean,2,0.961038961038961
Chenildieu,Bamatabois,2,0.05194805194805195
Chenildieu,Judge,2,0.05194805194805195
Chenildieu,Champmathieu,2,0.03896103896103896
Chenildieu,Brevet,1,0.025974025974025976
Cochepaille,Valjean,2,0.948051948051948
Cochepaille,Bamatabois,2,0.03896103896103896
Cochepaille,Judge,2,0.03896103896103896
Cochepaille,Champmathieu,2,0.03896103896103896
Cochepaille,Brevet,2,0.025974025974025976
Cochepaille,Chenildieu,1,0.025974025974025976
Pontmercy,Thenardier,1,0.0
Boulatruelle,Thenardier,1,1.0
Eponine,MmeThenardier,2,0.0
Eponine,Thenardier,3,0.0
Anzelma,MmeThenardier,2,0.19480519480519481
Anzelma,Thenardier,2,0.8311688311688312
Anzelma,Eponine,1,0.0
Woman2,Valjean,3,1.0
