source,target,score
Napoleon,Myriel,0.00168208087679793
MlleBaptistine,Myriel,6.84689419212475e-05
MmeMagloire,Myriel,1.80641747461557e-05
MmeMagloire,MlleBaptistine,0.000949784223611211
CountessDeLo,Myriel,0.00168208087679793
Geborand,Myriel,0.00168208087679793
Champtercier,Myriel,0.00168208087679793
Cravatte,Myriel,0.00168208087679793
Count,Myriel,0.00128345084454697
OldMan,Myriel,0.00168208087679793
Valjean,Myriel,0.00168208087679793
Valjean,MlleBaptistine,0.0011795690629374
Valjean,MmeMagloire,0.0011795690629374
Valjean,Labarre,0.000659339763199881
Marguerite,Valjean,0.00171475147637795
MmeDeR,Valjean,0.00177938489570188
Isabeau,Valjean,0.00177938489570188
Gervais,Valjean,0.00177938489570188
Listolier,Tholomyes,0.00082850296528181
Fameuil,Tholomyes,0.00082850296528181
Fameuil,Listolier,0.000869020635338506
Blacheville,Tholomyes,0.00082850296528181
Blacheville,Listolier,0.000908021601168471
Blacheville,Fameuil,0.000869020635338506
Favourite,Tholomyes,0.00113422720298236
Favourite,Listolier,0.00120461392629447
Favourite,Fameuil,0.00117039173493379
Favourite,Blacheville,0.000908021601168471
Dahlia,Tholomyes,0.00109601167326978
Dahlia,Listolier,0.00109601167326978
Dahlia,Fameuil,0.00109601167326978
Dahlia,Blacheville,0.00109601167326978
Dahlia,Favourite,0.000536097963672252
Zephine,Tholomyes,0.00113422720298236
Zephine,Listolier,0.00129667673324227
Zephine,Fameuil,0.00117039173493379
Zephine,Blacheville,0.00120461392629447
Zephine,Favourite,0.000908021601168471
Zephine,Dahlia,0.000786465882597975
Fantine,Valjean,0.00113063676375316
Fantine,Marguerite,0.000715120570866143
Fantine,Tholomyes,0.00113063676375316
Fantine,Listolier,0.00113063676375316
Fantine,Fameuil,0.000836714925761062
Fantine,Blacheville,0.000836714925761062
Fantine,Favourite,0.000836714925761062
Fantine,Dahlia,0.0014399514406829
Fantine,Zephine,0.000116265771392171
MmeThenardier,Valjean,0.00148957159974076
MmeThenardier,Fantine,0.000276440303204781
Thenardier,Valjean,6.29004391362449e-06
Thenardier,Fantine,0.0017107610502076
Thenardier,MmeThenardier,1.16297036499182e-05
Cosette,Valjean,0.000896158165859878
Cosette,Tholomyes,4.04235833782729e-10
Cosette,MmeThenardier,0.00179961954507204
Cosette,Thenardier,0.0017107610502076
Javert,Valjean,3.94972813163157e-07
Javert,Fantine,0.00043774586215559
Javert,MmeThenardier,0.00043774586215559
Javert,Thenardier,0.00170260014910244
Javert,Cosette,0.00170260014910244
Fauchelevent,Valjean,6.21122638071642e-05
Fauchelevent,Javert,0.00170260014910244
Bamatabois,Valjean,0.00152965454963481
Bamatabois,Fantine,0.00152965454963481
Bamatabois,Javert,0.00100721480276211
Perpetue,Fantine,0.00139435695538058
Simplice,Valjean,0.00111346751292315
Simplice,Fantine,0.000663689898536124
Simplice,Javert,0.00111346751292315
Simplice,Perpetue,0.00139435695538058
Scaufflaire,Valjean,0.00177938489570188
Woman1,Valjean,0.000984251968503937
Woman1,Javert,0.0015994094488189
Judge,Valjean,0.000720000754500624
Judge,Bamatabois,0.00100721480276211
Champmathieu,Valjean,0.000720000754500624
Champmathieu,Bamatabois,0.000587550088061096
Champmathieu,Judge,0.00114141688806204
Brevet,Valjean,0.000926864058703222
Brevet,Bamatabois,0.000926864058703222
Brevet,Judge,0.000926864058703222
Brevet,Champmathieu,0.00148688549865196
Chenildieu,Valjean,0.000926864058703222
Chenildieu,Bamatabois,0.000926864058703222
Chenildieu,Judge,0.000926864058703222
