source,target,score
Napoleon,Myriel,0.00147637795275591
MlleBaptistine,Myriel,0.000144420927787078
MmeMagloire,Myriel,6.53332768560524e-05
MmeMagloire,MlleBaptistine,0.000897914076529906
CountessDeLo,Myriel,0.00147637795275591
Geborand,Myriel,0.00147637795275591
Champtercier,Myriel,0.00147637795275591
Cravatte,Myriel,0.00147637795275591
Count,Myriel,0.00109673790776153
OldMan,Myriel,0.00147637795275591
Valjean,Myriel,0.00147637795275591
Valjean,MlleBaptistine,0.000990275542362617
Valjean,MmeMagloire,0.000990275542362617
Valjean,Labarre,0.000621607872498822
Marguerite,Valjean,0.00156793627540748
MmeDeR,Valjean,0.00156793627540748
Isabeau,Valjean,0.00156793627540748
Gervais,Valjean,0.00156793627540748
Listolier,Tholomyes,0.000763266660632927
Fameuil,Tholomyes,0.000763266660632927
Fameuil,Listolier,0.000791405523697743
Blacheville,Tholomyes,0.000763266660632927
Blacheville,Listolier,0.000818385257460177
Blacheville,Fameuil,0.000791405523697743
Favourite,Tholomyes,0.000981342849385196
Favourite,Listolier,0.00103187706375413
Favourite,Fameuil,0.00100724339379713
Favourite,Blacheville,0.000818385257460177
Dahlia,Tholomyes,0.000954083325791173
Dahlia,Listolier,0.000954083325791173
Dahlia,Fameuil,0.000954083325791173
Dahlia,Blacheville,0.000954083325791173
Dahlia,Favourite,0.000557771790462533
Zephine,Tholomyes,0.000981342849385196
Zephine,Listolier,0.00109899364183755
Zephine,Fameuil,0.00100724339379713
Zephine,Blacheville,0.00103187706375413
Zephine,Favourite,0.000818385257460177
Zephine,Dahlia,0.000733910250608595
Fantine,Valjean,0.000962617121977794
Fantine,Marguerite,0.000787401574803149
Fantine,Tholomyes,0.000962617121977794
Fantine,Listolier,0.000962617121977794
Fantine,Fameuil,0.000752044626545151
Fantine,Blacheville,0.000752044626545151
Fantine,Favourite,0.000752044626545151
Fantine,Dahlia,0.00122667856173151
Fantine,Zephine,0.000204025192986117
MmeThenardier,Valjean,0.00124701364593812
MmeThenardier,Fantine,0.000348912648874812
Thenardier,Valjean,3.62785880888672e-05
Thenardier,Fantine,0.00149981252343456
Thenardier,MmeThenardier,5.13946664592315e-05
Cosette,Valjean,0.000785188891577462
Cosette,Tholomyes,2.42136175051585e-07
Cosette,MmeThenardier,0.00159708809983657
Cosette,Thenardier,0.00149981252343456
Javert,Valjean,7.70470742813718e-06
Javert,Fantine,0.000466691395698267
Javert,MmeThenardier,0.000466691395698267
Javert,Thenardier,0.0014912908613696
Javert,Cosette,0.0014912908613696
Fauchelevent,Valjean,0.000151423379769837
Fauchelevent,Javert,0.0014912908613696
Bamatabois,Valjean,0.00134216177523264
Bamatabois,Fantine,0.00134216177523264
Bamatabois,Javert,0.000894774516821765
Perpetue,Fantine,0.00131233595800525
Simplice,Valjean,0.00100214745884037
Simplice,Fantine,0.000668098305893582
Simplice,Javert,0.00100214745884037
Simplice,Perpetue,0.00131233595800525
Scaufflaire,Valjean,0.00156793627540748
Woman1,Valjean,0.000984251968503937
Woman1,Javert,0.00147637795275591
Judge,Valjean,0.000689941330863052
Judge,Bamatabois,0.000894774516821765
Champmathieu,Valjean,0.000689941330863052
Champmathieu,Bamatabois,0.000581603435934149
Champmathieu,Judge,0.00100355102670989
Brevet,Valjean,0.000843644544431945
Brevet,Bamatabois,0.000843644544431945
Brevet,Judge,0.000843644544431945
Brevet,Champmathieu,0.00131233595800525
Chenildieu,Valjean,0.000843644544431945
Chenildieu,Bamatabois,0.000843644544431945
Chenildieu,Judge,0.000843644544431945
Chenildieu,Champmathieu,0.000843644544431945
Chenildieu,Brevet,0.00131233595800525
Cochepaille,Valjean,0.00090223097112861
Cochepaille,Bamatabois,0.000894774516821765
Cochepaille,Judge,0.00090223097112861
Cochepaille,Champmathieu,0.00090223097112861
Cochepaille,Brevet,0.000843644544431945
Cochepaille,Chenildieu,0.00131233595800525
Pontmercy,Thenardier,0.00149981252343456
Boulatruelle,Thenardier,0.00149981252343456
Eponine,MmeThenardier,0.00128995577294492
Eponine,Thenardier,0.000857375641371096
Anzelma,MmeThenardier,0.000937382827146607
Anzelma,Thenardier,0.000937382827146607
Anzelma,Eponine,0.00140607424071991
Woman2,Valjean,0.000562429696287965
Woman2,Cosette,0.00140607424071991
Woman2,Javert,0.00140607424071991
MotherInnocent,Valjean,0.000787401574803149
MotherInnocent,Fauchelevent,0.0015748031496063
Gribier,Fauchelevent,0.00123734533183352
MmeBurgon,Jondrette,0.00131233595800525
Gavroche,Valjean,0.00124701364593812
Gavroche,Thenardier,0.00149981252343456
Gavroche,Javert,0.0014912908613696
Gavroche,MmeBurgon,0.00131233595800525
Gillenormand,Valjean,0.000530724100663887
Gillenormand,Cosette,0.000849158561062219
Magnon,MmeThenardier,0.00131233595800525
Magnon,Gillenormand,0.00131233595800525
MlleGillenormand,Valjean,0.000123452947828173
MlleGillenormand,Cosette,0.00117773739820984
MlleGillenormand,Gillenormand,0.000849158561062219
MmePontmercy,Pontmercy,0.00131233595800525
MmePontmercy,MlleGillenormand,0.00131233595800525
MlleVaubois,MlleGillenormand,0.00153105861767279
LtGillenormand,Cosette,0.00100214745884037
LtGillenormand,Gillenormand,0.00131233595800525
LtGillenormand,MlleGillenormand,0.00143163922691482
Marius,Valjean,0.000491330773472121
Marius,Tholomyes,0.000321353119437569
Marius,Thenardier,0.00149981252343456
Marius,Cosette,0.00162315236911176
Marius,Pontmercy,3.93700787401475e-05
Marius,Eponine,1.5100960895393e-05
Marius,Gavroche,0.00157480314960629
Marius,Gillenormand,0.000849158561062219
Marius,MlleGillenormand,0.000496185886463198
Marius,LtGillenormand,0.000417561441183489
BaronessT,Gillenormand,0.00131233595800525
BaronessT,Marius,0.00131233595800525
Mabeuf,Eponine,0.00155839895013124
Mabeuf,Gavroche,0.00155839895013124
Mabeuf,Marius,0.00155839895013124
Enjolras,Valjean,0.000387736935691839
Enjolras,Javert,0.000252472394394158
Enjolras,Gavroche,0.000497196665203546
Enjolras,Marius,0.00159608427324963
Enjolras,Mabeuf,0.000746762864170185
Combeferre,Gavroche,5.23798187047543e-05
Combeferre,Marius,0.000735615852011266
Combeferre,Mabeuf,0.000442847745031151
Combeferre,Enjolras,0.00128998591947572
Prouvaire,Gavroche,0.00150532654006485
Prouvaire,Enjolras,0.000634576803912971
Prouvaire,Combeferre,0.00114039889398852
Feuilly,Gavroche,0.00118309075001988
Feuilly,Marius,0.000392286471848418
Feuilly,Mabeuf,0.00118309075001988
Feuilly,Enjolras,0.000523048629131227
Feuilly,Combeferre,0.00153105861767279
Feuilly,Prouvaire,0.00150532654006485
Courfeyrac,Eponine,0.000262419936575716
Courfeyrac,Gavroche,3.06824106570022e-05
Courfeyrac,Marius,0.000189235979435541
Courfeyrac,Mabeuf,0.000337407805738017
Courfeyrac,Enjolras,0.00128998591947572
Courfeyrac,Combeferre,0.00162910670648928
Courfeyrac,Prouvaire,0.000336982164836545
Courfeyrac,Feuilly,0.000907953366294327
Bahorel,Gavroche,0.000411812042845402
Bahorel,Marius,0.000411812042845402
Bahorel,Mabeuf,0.000292603293600681
Bahorel,Enjolras,0.0010812601913133
Bahorel,Combeferre,0.000573595345391809
Bahorel,Prouvaire,0.000791165993643874
Bahorel,Feuilly,0.0010812601913133
Bahorel,Courfeyrac,0.00146493316242447
Bossuet,Valjean,0.000621607872498822
Bossuet,Gavroche,0.0001139691407452
Bossuet,Marius,0.00075692468750597
Bossuet,Mabeuf,0.000746762864170185
Bossuet,Enjolras,0.000206586863147837
Bossuet,Combeferre,0.000596820408235564
Bossuet,Prouvaire,0.00114039889398852
Bossuet,Feuilly,0.000156845909632795
Bossuet,Courfeyrac,0.00163579904624598
Bossuet,Bahorel,0.00146493316242447
Joly,Gavroche,0.000583528612752479
Joly,Marius,0.000344530191571944
Joly,Mabeuf,0.000960123682504528
Joly,Enjolras,0.000583528612752479
Joly,Combeferre,0.000583528612752479
Joly,Prouvaire,0.000465356322869514
Joly,Feuilly,0.00118309075001988
Joly,Courfeyrac,0.000583528612752479
Joly,Bahorel,0.00146493316242447
Joly,Bossuet,0.00122995783001725
Grantaire,Gavroche,0.000479287915097564
Grantaire,Enjolras,0.000479287915097564
Grantaire,Combeferre,0.00125984251968504
Grantaire,Prouvaire,0.000787401574803147
Grantaire,Feuilly,0.000787401574803147
Grantaire,Courfeyrac,0.00125984251968504
Grantaire,Bahorel,0.00125984251968504
Grantaire,Bossuet,0.00125984251968504
Grantaire,Joly,0.00125984251968504
MotherPlutarch,Mabeuf,0.000960123682504528
Gueulemer,Valjean,0.000117119227373473
Gueulemer,MmeThenardier,0.00119821978774392
Gueulemer,Thenardier,0.00119821978774392
Gueulemer,Javert,0.00119821978774392
Gueulemer,Eponine,0.00119821978774392
Gueulemer,Gavroche,0.00119821978774392
Babet,Valjean,0.000179897937161022
Babet,MmeThenardier,0.000179897937161022
Babet,Thenardier,0.00137795275590551
Babet,Javert,0.00137795275590551
Babet,Eponine,0.000950312245452067
Babet,Gavroche,0.00137795275590551
Babet,Gueulemer,0.00119821978774392
Claquesous,Valjean,0.000372645726976441
Claquesous,MmeThenardier,0.000372645726976441
Claquesous,Thenardier,0.000372645726976441
Claquesous,Javert,0.00133577052868391
Claquesous,Eponine,0.00133577052868391
Claquesous,Enjolras,0.00133577052868391
Claquesous,Gueulemer,0.00119821978774392
Claquesous,Babet,0.00133577052868391
Montparnasse,Valjean,0.00118110236220472
Montparnasse,Thenardier,0.000683796104434315
Montparnasse,Javert,0.000683796104434315
Montparnasse,Eponine,0.000683796104434315
Montparnasse,Gavroche,0.00118110236220472
Montparnasse,Gueulemer,0.00118110236220472
Montparnasse,Babet,0.00118110236220472
Montparnasse,Claquesous,0.00118110236220472
Toussaint,Valjean,0.00078740157480315
Toussaint,Cosette,0.00131233595800525
Toussaint,Javert,0.00131233595800525
Child1,Gavroche,0.00125681405208963
Child2,Gavroche,0.00125681405208963
Child2,Child1,0.000984251968503937
Brujon,Thenardier,0.000581003225989939
Brujon,Eponine,0.000581003225989939
Brujon,Gavroche,0.000581003225989939
Brujon,Gueulemer,0.00119821978774392
Brujon,Babet,0.00134687111479486
Brujon,Claquesous,0.00133577052868391
Brujon,Montparnasse,0.00118110236220472
MmeHucheloup,Gavroche,0.00105996365838886
MmeHucheloup,Enjolras,0.00105996365838886
MmeHucheloup,Courfeyrac,0.00105996365838886
MmeHucheloup,Bahorel,0.00105996365838886
MmeHucheloup,Bossuet,0.00105996365838886
MmeHucheloup,Joly,0.00105996365838886
MmeHucheloup,Grantaire,0.00105996365838886
