source,target,weight,ultrametric_distance,is_ultrametric
Napoleon,Myriel,inf,inf,True
Myriel,MlleBaptistine,4.285714285714286,4.285714285714286,True
Myriel,MmeMagloire,4.571428571428571,4.285714285714286,False
Myriel,CountessDeLo,inf,inf,True
Myriel,Geborand,inf,inf,True
Myriel,Champtercier,inf,inf,True
Myriel,Cravatte,inf,inf,True
Myriel,Count,inf,inf,True
Myriel,OldMan,inf,inf,True
Myriel,Valjean,25.333333333333332,25.333333333333332,True
MlleBaptistine,MmeMagloire,1.272727272727273,1.272727272727273,True
MlleBaptistine,Valjean,36.5,25.333333333333332,False
MmeMagloire,Valjean,37.0,25.333333333333332,False
Valjean,Labarre,inf,inf,True
Valjean,Marguerite,45.0,45.0,True
Valjean,MmeDeR,inf,inf,True
Valjean,Isabeau,inf,inf,True
Valjean,Gervais,inf,inf,True
Valjean,Fantine,13.833333333333334,6.583333333333333,False
Valjean,MmeThenardier,3.625,3.625,True
Valjean,Thenardier,11.214285714285715,4.066666666666666,False
Valjean,Cosette,16.4,5.928571428571429,False
Valjean,Javert,5.1923076923076925,4.066666666666666,False
Valjean,Fauchelevent,72.5,5.75,False
Valjean,Bamatabois,8.857142857142856,8.857142857142856,True
Valjean,Simplice,27.0,9.6,False
Valjean,Scaufflaire,inf,inf,True
Valjean,Woman1,138.0,24.5,False
Valjean,Judge,14.666666666666668,8.857142857142856,False
Valjean,Champmathieu,16.75,8.857142857142856,False
Valjean,Brevet,19.0,8.857142857142856,False
Valjean,Chenildieu,19.0,8.857142857142856,False
Valjean,Cochepaille,16.5,8.857142857142856,False
Valjean,Woman2,69.0,11.0,False
Valjean,MotherInnocent,139.0,5.75,False
Valjean,Gavroche,11.0,5.928571428571429,False
Valjean,Gillenormand,22.833333333333332,6.428571428571429,False
Valjean,MlleGillenormand,15.555555555555554,6.428571428571429,False
Valjean,Marius,13.812500000000002,5.928571428571429,False
Valjean,Enjolras,10.3125,5.928571428571429,False
Valjean,Bossuet,12.0,5.928571428571429,False
Valjean,Gueulemer,19.57142857142857,4.066666666666666,False
Valjean,Babet,17.75,4.066666666666666,False
