source,target,weight,infection_participation
Aemon,Grenn,5,0.12
Aemon,Samwell,31,0.27
Aemon,Jon,30,0.2
Aemon,Robert,4,0.21
Aemon,Stannis,4,0.13
Grenn,Eddison,8,0.23
Grenn,Jon,25,0.15
Grenn,Samwell,43,0.33
Samwell,Bran,11,0.07
Samwell,Jojen,11,0.19
Samwell,Jon,52,0.21
Samwell,Meera,7,0.11
Samwell,Melisandre,5,0.08
Samwell,Bowen,6,0.12
Samwell,Craster,34,0.29
Samwell,Eddison,12,0.2
Samwell,Gilly,36,0.34
Samwell,Janos,6,0.1
Samwell,Mance,10,0.05
Samwell,Qhorin,5,0.09
Samwell,Stannis,13,0.19
Aerys,Jaime,18,0.24
Aerys,Robert,6,0.24
Aerys,Tyrion,5,0.04
Aerys,Tywin,8,0.15
Jaime,Arya,11,0.06
Jaime,Catelyn,19,0.08
Jaime,Cersei,36,0.15
Jaime,Eddard,6,0.09
Jaime,Balon,6,0.1
Jaime,Barristan,4,0.13
Jaime,Brienne,88,0.43
Jaime,Edmure,5,0.11
Jaime,Elia,4,0.06
Jaime,Gregor,6,0.05
Jaime,Joffrey,15,0.07
Jaime,Loras,16,0.11
Jaime,Meryn,11,0.11
Jaime,Qyburn,11,0.17
Jaime,Renly,7,0.05
Jaime,Robert,17,0.09
Jaime,Stannis,5,0.08
Jaime,Tommen,8,0.09
Jaime,Tyrion,31,0.06
Jaime,Robb,15,0.1
Jaime,Sansa,10,0.03
Jaime,Tywin,13,0.03
Jaime,Walton,10,0.16
Robert,Arya,4,0.06
Robert,Cersei,16,0.18
Robert,Daenerys,5,0.18
Robert,Eddard,10,0.2
Robert,Jon,5,0.11
Robert,Jon Arryn,6,0.24
Robert,Rhaegar,6,0.21
Robert,Barristan,5,0.14
Robert,Renly,4,0.09
Robert,Stannis,5,0.12
Robert,Thoros,4,0.13
Robert,Sandor,6,0.09
Robert,Sansa,5,0.07
Robert,Tyrion,9,0.08
Robert,Tywin,11,0.15
Tyrion,Arya,5,0.05
Tyrion,Catelyn,5,0.02
Tyrion,Cersei,46,0.17
Tyrion,Joffrey,54,0.21
Tyrion,Lysa,5,0.04
Tyrion,Myrcella,4,0.04
Tyrion,Robb,12,0.02
Tyrion,Sansa,77,0.2
Tyrion,Balon,4,0.02
Tyrion,Bronn,31,0.16
Tyrion,Chataya,5,0.06
Tyrion,Doran,5,0.04
Tyrion,Elia,5,0.0
Tyrion,Ellaria,4,0.05
Tyrion,Gregor,22,0.08
Tyrion,Ilyn,5,0.01
Tyrion,Janos,5,0.05
Tyrion,Kevan,11,0.07
Tyrion,Loras,6,0.04
Tyrion,Mace,9,0.07
Tyrion,Margaery,7,0.05
Tyrion,Meryn,5,0.06
Tyrion,Oberyn,25,0.21
Tyrion,Petyr,12,0.13
Tyrion,Podrick,28,0.19
Tyrion,Pycelle,11,0.13
Tyrion,Renly,6,0.05
Tyrion,Sandor,4,0.04
Tyrion,Shae,21,0.11
Tyrion,Stannis,6,0.02
Tyrion,Varys,18,0.13
Tyrion,Tywin,39,0.11
Tyrion,Viserys,4,0.11
Tywin,Lysa,4,0.11
Tywin,Robb,12,0.06
