source,target,weight,infection_participation
Aemon,Grenn,5,0.15612
Aemon,Samwell,31,0.31342
Aemon,Jon,30,0.2338
Aemon,Robert,4,0.12809
Aemon,Stannis,4,0.11031
Grenn,Eddison,8,0.26992
Grenn,Jon,25,0.18411
Grenn,Samwell,43,0.35204
Samwell,Bran,11,0.09511
Samwell,Jojen,11,0.14911
Samwell,Jon,52,0.20858
Samwell,Meera,7,0.09217
Samwell,Melisandre,5,0.09658
Samwell,Bowen,6,0.11462
Samwell,Craster,34,0.30365
Samwell,Eddison,12,0.17493
Samwell,Gilly,36,0.31875
Samwell,Janos,6,0.10529
Samwell,Mance,10,0.08394
Samwell,Qhorin,5,0.07492
Samwell,Stannis,13,0.17505
Aerys,Jaime,18,0.20616
Aerys,Robert,6,0.1961
Aerys,Tyrion,5,0.05007
Aerys,Tywin,8,0.16982
Jaime,Arya,11,0.069
Jaime,Catelyn,19,0.13091
Jaime,Cersei,36,0.17944
Jaime,Eddard,6,0.06004
Jaime,Balon,6,0.08564
Jaime,Barristan,4,0.06993
Jaime,Brienne,88,0.45128
Jaime,Edmure,5,0.05262
Jaime,Elia,4,0.06368
Jaime,Gregor,6,0.05162
Jaime,Joffrey,15,0.07898
Jaime,Loras,16,0.13747
Jaime,Meryn,11,0.1225
Jaime,Qyburn,11,0.16105
Jaime,Renly,7,0.07888
Jaime,Robert,17,0.13476
Jaime,Stannis,5,0.04731
Jaime,Tommen,8,0.10749
Jaime,Tyrion,31,0.10446
Jaime,Robb,15,0.08073
Jaime,Sansa,10,0.0439
Jaime,Tywin,13,0.07846
Jaime,Walton,10,0.15131
Robert,Arya,4,0.04973
Robert,Cersei,16,0.17431
Robert,Daenerys,5,0.12606
Robert,Eddard,10,0.19457
Robert,Jon,5,0.06981
Robert,Jon Arryn,6,0.22588
Robert,Rhaegar,6,0.19251
Robert,Barristan,5,0.16183
Robert,Renly,4,0.11617
Robert,Stannis,5,0.09633
Robert,Thoros,4,0.11051
Robert,Sandor,6,0.10348
Robert,Sansa,5,0.04564
Robert,Tyrion,9,0.06136
Robert,Tywin,11,0.13667
Tyrion,Arya,5,0.02528
Tyrion,Catelyn,5,0.03075
Tyrion,Cersei,46,0.16321
Tyrion,Joffrey,54,0.18042
Tyrion,Lysa,5,0.03412
Tyrion,Myrcella,4,0.04499
Tyrion,Robb,12,0.05539
Tyrion,Sansa,77,0.21776
Tyrion,Balon,4,0.04262
Tyrion,Bronn,31,0.1975
Tyrion,Chataya,5,0.05569
Tyrion,Doran,5,0.06183
Tyrion,Elia,5,0.05463
Tyrion,Ellaria,4,0.04605
Tyrion,Gregor,22,0.11301
Tyrion,Ilyn,5,0.04496
Tyrion,Janos,5,0.07724
Tyrion,Kevan,11,0.08867
Tyrion,Loras,6,0.04346
Tyrion,Mace,9,0.0855
Tyrion,Margaery,7,0.04184
Tyrion,Meryn,5,0.04011
Tyrion,Oberyn,25,0.15514
Tyrion,Petyr,12,0.08356
Tyrion,Podrick,28,0.17784
Tyrion,Pycelle,11,0.09955
Tyrion,Renly,6,0.04978
Tyrion,Sandor,4,0.02335
Tyrion,Shae,21,0.15324
Tyrion,Stannis,6,0.04364
Tyrion,Varys,18,0.12338
Tyrion,Tywin,39,0.14923
Tyrion,Viserys,4,0.06237
Tywin,Lysa,4,0.06146
Tywin,Robb,12,0.09404
Tywin,Balon,5,0.12068
Tywin,Brynden,4,0.0834
Tywin,Cersei,16,0.12214
Tywin,Gregor,7,0.09041
Tywin,Joffrey,13,0.09732
Tywin,Kevan,14,0.24071
Tywin,Mace,5,0.1261
Tywin,Oberyn,6,0.10039
Tywin,Petyr,4,0.06686
Tywin,Podrick,5,0.0971
Tywin,Pycelle,5,0.11985
Tywin,Stannis,15,0.18704
Tywin,Tommen,4,0.09533
Tywin,Val,4,0.11997
Tywin,Varys,6,0.10867
Tywin,Walder,4,0.06985
Alliser,Mance,5,0.13314
Alliser,Janos,9,0.326
Alliser,Jon,15,0.15137
Mance,Janos,4,0.1075
