source,target,weight,infection_participation
1,2,4,0.24
1,3,5,0.24
1,4,3,0.16
1,5,3,0.4
1,6,3,0.23
1,7,3,0.22
1,8,2,0.18
1,9,2,0.22
1,11,2,0.26
1,12,3,0.54
1,13,1,0.15
1,14,3,0.16
1,20,2,0.39
1,22,2,0.32
1,23,2,0.27
1,32,2,0.16
2,3,6,0.32
2,4,3,0.23
2,8,4,0.39
2,14,5,0.37
2,20,1,0.24
2,22,2,0.41
2,23,2,0.36
2,31,2,0.29
3,4,3,0.24
3,8,4,0.37
3,9,5,0.44
3,10,1,0.26
3,14,3,0.3
3,26,2,0.24
3,28,2,0.34
3,17,2,0.12
4,8,3,0.37
4,13,3,0.55
4,14,3,0.31
5,7,2,0.41
5,11,3,0.48
6,7,5,0.38
6,11,3,0.39
6,19,3,0.35
7,19,3,0.39
9,31,3,0.37
9,17,3,0.22
9,15,4,0.29
14,15,3,0.29
22,15,1,0.17
32,15,4,0.18
32,17,4,0.29
32,25,7,0.55
32,27,2,0.36
32,28,2,0.45
31,15,3,0.26
31,17,3,0.33
10,15,2,0.3
26,15,4,0.3
26,24,4,0.51
26,27,3,0.52
28,15,2,0.22
17,15,5,0.12
17,16,3,0.4
17,18,3,0.42
17,21,1,0.22
17,33,3,0.43
17,34,2,0.3
17,24,5,0.29
17,29,4,0.48
15,16,2,0.3
15,18,4,0.45
15,21,2,0.31
15,33,1,0.18
15,34,3,0.43
15,24,4,0.28
15,30,2,0.24
15,29,2,0.12
24,25,5,0.52
24,29,3,0.36
30,29,4,0.63
25,27,2,0.44
