source,target,weight,infection_participation
1,2,2,0.07
1,3,4,0.02
1,4,1,0.07
1,5,2,0.04
1,6,1,0.1
1,7,1,0.03
1,8,1,0.01
1,9,1,0.13
1,10,2,0.07
1,11,1,0.08
1,12,2,0.14
1,13,1,0.07
1,14,1,0.07
1,15,1,0.13
1,16,1,0.08
2,3,47,0.18
2,4,7,0.07
2,5,29,0.12
2,6,2,0.04
2,7,1,0.01
2,8,5,0.08
2,10,4,0.05
2,11,3,0.04
2,12,6,0.09
2,14,11,0.14
2,15,7,0.16
2,17,2,0.05
2,18,12,0.22
2,19,17,0.11
2,20,5,0.03
2,21,1,0.05
2,22,8,0.07
2,24,3,0.11
2,27,1,0.03
2,28,3,0.04
2,29,1,0.02
2,30,1,0.04
2,31,2,0.03
2,32,2,0.06
2,33,8,0.09
3,4,17,0.11
3,5,38,0.15
3,6,5,0.06
3,7,2,0.05
3,8,3,0.05
3,9,2,0.03
3,10,8,0.04
3,11,3,0.03
3,12,5,0.05
3,14,18,0.13
3,15,10,0.11
3,16,2,0.03
3,17,2,0.04
3,18,10,0.07
3,19,28,0.12
3,20,17,0.15
3,21,2,0.04
3,22,16,0.13
3,23,1,0.02
3,24,5,0.07
3,26,3,0.03
3,27,6,0.15
3,28,5,0.09
3,32,3,0.04
3,33,17,0.15
3,34,1,0.02
3,35,1,0.02
3,36,1,0.02
3,37,1,0.02
4,5,14,0.15
4,6,2,0.15
4,10,2,0.07
4,13,1,0.08
4,14,2,0.05
4,15,1,0.03
4,17,1,0.07
4,18,1,0.04
4,19,15,0.11
4,20,4,0.11
4,29,1,0.05
4,32,1,0.05
4,33,6,0.17
4,35,1,0.04
5,6,5,0.1
5,8,2,0.03
5,10,13,0.18
5,11,1,0.03
5,12,1,0.02
5,14,7,0.07
5,15,4,0.06
5,18,6,0.07
5,19,20,0.12
5,20,8,0.05
5,22,1,0.01
5,23,1,0.02
5,24,1,0.04
5,25,1,0.05
5,27,2,0.05
5,28,2,0.05
5,29,2,0.04
